accession	plsdb_mpf_type	replicons	n_cds	dual_system	dual_system_both_tierA	family_call_mode	mpft_admitted	mpft_VirB1	mpft_VirB2	mpft_VirB3	mpft_VirB4	mpft_VirB4b	mpft_VirB5	mpft_VirB6	mpft_VirB7	mpft_VirB8	mpft_VirB9	mpft_VirB10	mpft_VirB11	mpft_VirD4	mpft_TraN	mpft_tier	mpft_core_completeness_ga	mpft_architecture	mpft_slot_ready__virb5_virb6	mpft_fused_virB3_virB4	mpft_virB7_status	mpft_n_gap_genes_le10kb	mpft_carries_novel84	mpff_admitted	mpff_TraU	mpff_TraH	mpff_TraF	mpff_TraC_F_IV	mpff_TraG_N	mpff_TrbI	mpff_P-loop_TraG	mpff_TraE	mpff_TrbC_Ftype	mpff_F_T4SS_TraN	mpff_TrwB_AAD_bind	mpff_TraV	mpff_TraG-D_C	mpff_tier	mpff_core_completeness_fspecific	mpff_layout	mpff_anchor_span_bp	mpff_slot_ready__traG	mpff_traN_present	mpff_slot_occupant
NZ_CP085064.1	MPF_F	IncFIA;IncFIB(AP001918);IncFII	148	0	0	GA	0															not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	1	82;75397;76389;-;371.6	73;68580;69953;-;381.7	78;71883;72626;-;234.4	85;77398;80025;-;303.5	72;65761;68583;-;374.0	91;82184;83611;-;91.9	85;77398;80025;-;99.0	93;84326;84892;-;182.9	81;74750;75388;-;68.7	80;72903;74753;-;266.1	68;61219;63489;-;391.1	86;80541;81056;-;76.4	68;61219;63489;-;70.3	A	9/9	contiguous	23107	1	1	65260..65739-;159;TraS;0
NZ_CP085066.1	MPF_T	IncI2(Delta)	85	0	0	GA	1	47;33431;33913;-;81.1		61;49490;49774;-;36.5	60;47127;49484;-;59.8	60;47127;49484;-;45.0	72;55337;55984;-;41.6	73;55990;56976;-;120.4		59;46229;46963;-;144.3	58;45462;46232;-;170.5	57;44333;45472;-;154.7	50;35682;37220;-;207.1	55;41285;43243;-;287.0		A	7/7	rearranged	1	0	unscoreable	15	0	0														not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted
NZ_CP085070.1	MPF_F	IncFIA;IncFIB(AP001918);IncFII	163	0	0	GA	0															not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	1	97;87478;88470;-;371.6	86;78075;79448;-;381.7	91;81378;82121;-;234.4	100;89479;92106;-;303.5	85;75256;78078;-;374.0	106;94265;95692;-;91.9	100;89479;92106;-;99.0	108;96407;96973;-;182.9	96;86831;87469;-;68.7	95;84984;86834;-;266.1	81;70696;72984;-;391.0	101;92622;93137;-;76.4	81;70696;72984;-;70.3	A	9/9	contiguous	25711	1	1	74755..75234-;159;TraS;0
NZ_CP085075.1	MPF_F	IncFIA;IncFII	146	0	0	GA	0															not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	1	120;107109;108101;+;371.6	129;113163;114536;+;380.7	124;110830;111573;+;233.3	117;103473;106100;+;303.5	130;114533;117352;+;386.2	111;99887;101314;+;91.9	117;103473;106100;+;99.0	109;98606;99172;+;182.9	121;108110;108748;+;64.9	122;108745;110553;+;268.2	133;118884;121055;+;391.8	116;102442;102957;+;76.4	133;118884;121055;+;70.4	A	9/9	contiguous	20278	1	1	117377..117868+;163;TraS;0
NZ_CP085076.1	MPF_T	IncY	100	0	0	GA	1	75;77838;78500;+;48.3	76;78511;78810;+;36.6	77;78820;81570;+;61.8	77;78820;81570;+;132.4	77;78820;81570;+;47.3	78;81589;82305;+;137.0	80;82619;83626;+;137.8		82;83836;84522;+;158.3	83;84515;85408;+;147.4	84;85405;86601;+;134.7	85;86605;87654;+;71.5	92;92392;94299;+;24.4		A	7/7	canonical	1	1	unscoreable	8	0	0														not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted
NZ_CP085102.1	MPF_F	IncFIB(K)	227	0	0	GA	0															not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	1	174;173163;174152;-;366.6	164;166249;167616;-;380.5	168;168874;169626;-;233.7	178;175609;178248;-;258.5	163;163400;166249;-;346.4	185;181076;182500;-;88.1	178;175609;178248;-;88.7	187;183227;183793;-;169.3	173;172512;173150;-;66.9	172;170498;172453;-;259.7	156;157565;159874;-;393.1	184;180419;181003;-;54.3	156;157565;159874;-;66.5	A	9/9	contiguous	25662	1	1	162867..163397-;176;unnamed;0
NZ_CP085104.1	MPF_F	IncFII(K);repB(R1701)	173	0	0	GA	0															not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	1	148;125442;126434;+;363.2	158;131981;133348;+;384.3	154;129971;130723;+;233.7	145;121777;124416;+;259.0	159;133348;136191;+;346.4	138;116978;118402;+;89.3	145;121777;124416;+;88.7	136;115685;116251;+;169.3	149;126447;127085;+;66.0	150;127144;129099;+;259.6	164;138882;141194;+;392.5	139;118476;119060;+;54.4	164;138882;141194;+;66.6	A	9/9	contiguous	23197	1	1	136202..136735+;177;unnamed;0
NZ_CP085148.1	MPF_T	-	112	0	0	GA	1	37;40534;41688;-;71.8	41;44478;44873;-;73.9	40;44207;44527;-;86.6	39;41842;44217;-;83.4	39;41842;44217;-;47.3	36;39725;40537;-;69.4	29;34299;35375;-;128.6		35;39054;39707;-;173.0	34;38356;39051;-;167.1	33;36980;38359;-;181.6	32;35989;36975;-;104.1	24;27296;29296;+;286.8		A	7/7	canonical	1	0	unscoreable	7	0	0														not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted
NZ_CP085157.1	-	-	154	0	0	GA	1	51;51958;53046;-;68.2	54;55870;56154;-;85.5	53;55571;55846;-;55.8	52;53212;55581;-;83.9	52;53212;55581;-;60.7	50;51159;51968;-;71.7	48;49663;50664;-;100.2		47;49016;49660;-;166.0	46;48281;49012;-;140.4	45;46821;48278;-;170.9	44;45811;46821;-;109.2	35;34386;36317;+;274.4		A	7/7	canonical	1	0	unscoreable	9	0	0														not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted
NZ_CP085159.1	MPF_T	-	138	0	0	GA	1	48;48099;49253;-;74.5	52;52031;52324;-;74.8	51;51760;52038;-;91.2	50;49407;51770;-;84.3	50;49407;51770;-;42.3	47;47290;48102;-;66.0	40;41884;42963;-;123.2		46;46621;46842;-;61.9	45;45923;46618;-;164.6	44;44547;45926;-;178.9	43;43556;44542;-;104.0	33;34955;36955;+;287.0		A	7/7	canonical	1	0	unscoreable	9	0	0														not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted
NZ_CP085160.1	MPF_T	-	138	0	0	GA	1	68;67923;69089;-;78.5	72;71968;72282;-;76.5	71;71680;71958;-;77.3	70;69306;71690;-;91.9	70;69306;71690;-;37.5	67;67135;67926;-;61.8	61;61934;62959;-;124.6		66;66461;67138;-;138.7	65;65751;66464;-;166.5	64;64432;65754;-;172.2	63;63396;64430;-;105.5	51;51806;53788;+;276.0		A	7/7	canonical	1	0	unscoreable	11	0	0														not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted
NZ_CP085161.1	-	-	104	0	0	GA	1	61;62495;63607;-;71.2	65;66568;66849;-;91.6	64;66178;66456;-;62.5	63;63810;66188;-;72.1	63;63810;66188;-;47.3	60;61731;62498;-;61.7	58;60283;61296;-;115.4		57;59585;60253;-;184.6	56;58857;59579;-;179.7	55;57430;58854;-;170.2	54;56450;57430;-;114.8	46;47593;49506;+;295.9		A	7/7	canonical	1	0	unscoreable	9	0	0														not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted
NZ_CP085185.1	MPF_T	IncI2	81	0	0	GA	1	42;34675;35157;-;81.1		57;50753;51037;-;36.6	56;48390;50747;-;58.5	56;48390;50747;-;42.8	69;56490;57131;-;43.4	70;57137;58132;-;128.5		54;47490;48224;-;146.2	53;46723;47493;-;170.5	52;45594;46733;-;154.7	45;36925;38463;-;207.1	50;42546;44504;-;289.6		A	7/7	rearranged	1	0	unscoreable	17	1	0														not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted
NZ_CP085189.1	MPF_F	IncHI2;IncHI2A;IncN	274	0	0	GA	0															not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	1	28;31208;32266;+;276.9	191;180235;181650;-;194.1	192;181640;182686;-;174.3	11;8955;11636;+;168.0	190;176273;180226;-;101.7	7;5270;6625;+;80.7	11;8955;11636;+;72.2	4;2758;3546;+;74.8	26;29555;31066;+;62.0	29;32285;35473;+;57.3	199;189728;191812;+;56.8	10;7996;8946;+;46.1	199;189728;191812;+;38.8	A	9/9	split_3	186970	1	1	174803..176092-;429;unnamed;0
NZ_CP085198.1	MPF_F	IncFIB(K);IncFII(K)	189	0	0	GA	0															not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	1	82;64425;65417;+;366.6			79;60760;63399;+;258.7		70;55933;57357;+;84.2	79;60760;63399;+;88.8	68;54640;55206;+;168.4	83;65430;66068;+;67.0	84;66065;67780;+;175.8	86;68919;71126;+;393.4	71;57570;58127;+;53.2	86;68919;71126;+;65.9	C	6/9	contiguous	14279	0	1	
NZ_CP085199.1	MPF_F	repFIB;repHI5B	330	0	0	GA	0															not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	1	136;108166;109203;+;282.2	226;187386;188828;-;188.4	227;188785;189822;-;172.4	125;94580;97297;+;143.5	225;183446;187411;-;117.7	121;91090;92457;+;63.7	125;94580;97297;+;80.6	118;88575;89435;+;73.9	135;106808;108169;+;71.7	137;109218;112394;+;58.7	234;197051;199177;+;62.0	124;93794;94531;+;56.3	234;197051;199177;+;39.7	A	9/9	split_2	108476	0	1	
NZ_CP085204.1	MPF_F	IncFII(pHN7A8)	65	0	0	GA	0															not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	1	20;25027;26013;-;355.4	14;19433;20794;-;342.6	16;21426;22205;-;194.4	23;27106;29697;-;215.3	13;16543;19431;-;286.8	28;31286;32650;-;83.1	23;27106;29697;-;88.2	30;33367;33930;-;136.5	18;24037;24651;-;82.6	17;22202;24040;-;258.5	10;12701;14932;-;371.9	24;29708;30307;-;46.6	10;12701;14932;-;68.9	A	9/9	contiguous	20666	1	1	15957..16535-;192;unnamed;0
NZ_CP085473.1	MPF_T	-	62	0	0	GA	1				60;51081;53096;+;23.6									4;2616;4127;+;466.5		D	2/7	uncallable	0	0	unscoreable	0	0	0														not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted
NZ_CP085475.1	MPF_T	-	56	0	0	GA	1				18;17523;19538;-;22.4									11;11801;13270;-;465.5		D	2/7	uncallable	0	0	unscoreable	6	0	0														not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted
NZ_CP085482.1	MPF_T	-	316	0	0	GA	0															not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	1	198;170241;171326;+;271.5	221;188405;189841;+;236.1	220;187322;188383;+;197.7	194;165688;168177;+;239.7	222;189856;193014;+;250.9	191;162589;163977;+;104.8	194;165688;168177;+;122.7	189;160728;161318;+;84.8	197;168985;170244;+;51.9	224;193436;196150;+;129.7	183;156199;158151;+;21.5	192;163980;164513;+;70.4	183;156199;158151;+;36.9	A	9/9	contiguous	37237	0	1	
NZ_CP085526.1	MPF_T	-	392	0	0	GA	1	375;332258;333346;+;95.2	372;329158;329496;+;75.1	373;329500;329799;+;77.7	374;329802;332261;+;120.2	374;329802;332261;+;98.4	376;333358;334059;+;36.7	378;334292;335320;+;146.3		379;335360;336055;+;181.9	380;336052;336861;+;197.7	381;336861;338072;+;206.5	382;338053;339081;+;134.9	383;339078;341177;+;311.5		A	7/7	canonical	1	0	unscoreable	1	0	0														not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted
NZ_CP085527.1	MPF_T	-	1235	0	0	GA	1		597;565114;565413;-;87.0	596;564768;565109;-;106.8	595;562397;564793;-;172.9	595;562397;564793;-;108.6	594;561696;562397;-;200.5	592;560525;561460;-;162.8		590;559538;560209;-;215.6	589;558684;559538;-;182.5	588;557502;558674;-;180.8	742;715661;717154;-;213.3	496;469306;471225;-;336.9		A	7/7	canonical	1	0	unscoreable	2	0	0														not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted
NZ_CP085534.1	MPF_F	-	181	0	0	GA	0															not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	1	165;145207;146196;-;356.1	159;139716;141080;-;366.0	162;141938;143545;-;196.3	168;147244;149829;-;245.5	158;136873;139716;-;339.6	170;150403;151731;-;93.7	168;147244;149829;-;89.0	172;152433;152999;-;128.2	164;144589;145197;-;69.5	162;141938;143545;-;232.3	155;133330;135492;-;381.7	169;149840;150391;-;44.9	155;133330;135492;-;63.9	A	9/9	contiguous	19103	1	1	136307..136876-;189;unnamed;0
NZ_CP085535.1	MPF_F	-	83	0	0	GA	0															not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	1	69;63448;64437;-;356.7	63;57874;59238;-;368.0	66;60096;60947;-;196.5	72;65485;68070;-;245.5	62;55034;57874;-;340.1	74;68644;69972;-;93.6	72;65485;68070;-;89.0	76;70689;71255;-;129.5	68;62824;63438;-;76.9	67;60944;62806;-;245.5	59;51464;53632;-;381.7	73;68081;68632;-;44.8	59;51464;53632;-;63.9	A	9/9	contiguous	19225	1	1	54447..55034-;195;unnamed;0
NZ_CP085536.1	MPF_T	IncU	56	0	0	GA	1		29;27238;27561;-;66.6	28;26900;27220;-;82.6	27;24456;26903;-;158.4	27;24456;26903;-;86.2	26;23815;24459;-;105.7	24;22489;23499;-;161.6		22;21419;22168;-;157.6	21;20583;21416;-;208.0	20;19369;20583;-;188.0	19;18363;19391;-;90.4	18;16472;18397;-;408.7		A	7/7	canonical	1	0	unscoreable	2	0	0														not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted
NZ_CP085620.1	MPF_F	IncFIB(AP001918);IncFII(29)	145	0	0	GA	0															not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	1	85;81939;82931;-;369.5	73;74512;75885;-;381.7	80;78090;78833;-;233.1	92;87845;89110;-;277.5	72;71693;74515;-;388.5	99;92241;93668;-;93.9	88;83940;85352;-;100.9	101;94383;94949;-;183.1	83;80957;81595;-;68.6	82;79110;80960;-;271.9	68;67097;69421;-;391.0	96;90597;91112;-;73.9	68;67097;69421;-;70.2	A	9/9	contiguous	27286	1	1	71192..71671-;159;TraS;0
NZ_CP085623.1	MPF_F	IncHI2;IncHI2A	301	0	0	GA	0															not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	1	29;33666;34724;+;276.9	209;189350;190765;-;194.1	210;190755;191801;-;174.1	13;10914;13595;+;168.0	208;185388;189341;-;101.6	7;5270;6625;+;80.7	13;10914;13595;+;72.2	4;2758;3546;+;74.8	27;32013;33524;+;62.0	31;36032;37930;+;58.4	217;198843;200927;+;56.8	10;7996;8889;+;49.5	217;198843;200927;+;38.8	A	9/9	split_3	196085	1	1	183918..185207-;429;unnamed;0
NZ_CP085624.1	MPF_F	IncFII	89	0	0	GA	0															not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	1	66;58265;59257;+;369.3	75;64319;65692;+;379.5	70;61956;62729;+;234.0	63;54626;57256;+;303.5	76;65689;68514;+;386.0	56;49921;51348;+;94.3	63;54626;57256;+;98.5	54;48640;49206;+;183.8	67;59266;59904;+;68.7	68;59901;61709;+;268.0	79;70018;72198;+;391.8	60;52476;52991;+;78.6	79;70018;72198;+;70.4	A	9/9	contiguous	21378	1	1	68511..69020+;169;unnamed;0
NZ_CP085685.1	MPF_T	-	123	0	0	GA	1	77;71063;71770;+;39.5			79;72455;75007;+;72.8		80;75004;75690;+;56.0	82;76087;77019;+;128.1		100;91992;92780;+;101.6	85;78221;79030;+;141.0	102;93566;94915;+;127.0	103;94925;95983;+;55.5	110;99937;101619;+;245.2		A	7/7	canonical	1	0	unscoreable	17	0	0														not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted
NZ_CP085697.1	MPF_F	IncHI2;IncHI2A	259	0	0	GA	0															not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	1	27;31707;32765;+;276.9	176;162761;164176;-;194.1	177;164166;165212;-;174.3	11;8955;11636;+;168.0	175;158799;162752;-;101.6	7;5270;6625;+;80.7	11;8955;11636;+;72.2	4;2758;3546;+;74.8	25;30054;31565;+;62.0	28;32784;35972;+;57.3	184;172254;174338;+;56.8	10;7996;8946;+;46.1	184;172254;174338;+;38.8	A	9/9	split_3	169496	1	1	157329..158618-;429;unnamed;0
NZ_CP085727.1	MPF_F	IncHI2;IncHI2A	296	0	0	GA	0															not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	1	55;55914;56972;-;276.9	183;175349;176764;+;194.1	182;174313;175359;+;173.7	73;77611;80292;-;168.0	184;176773;180723;+;101.6	77;82622;83977;-;80.7	73;77611;80292;-;72.2	80;85701;86489;-;74.8	57;57114;58625;-;62.7	54;52707;55895;-;58.3	176;165189;167273;-;56.7	74;80301;81251;-;46.4	176;165189;167273;-;38.8	A	9/9	split_3	124066	0	1	
NZ_CP085728.1	MPF_F	-	138	0	0	GA	0															not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	1	34;25998;27596;-;329.9	27;21231;22622;-;240.8	29;23096;23923;-;173.3	37;31388;33922;-;152.3	26;17578;21231;-;106.9	39;34440;35681;-;59.9	37;31388;33922;-;77.1	41;36509;37138;-;48.1	31;24458;25198;-;96.7	35;27755;29353;-;77.4	104;78611;80956;+;355.3	38;33922;34440;-;75.7	104;78611;80956;+;64.0	A	9/9	split_2	61033	1	1	17288..17476-;62;unnamed;0
NZ_CP085731.1	MPF_F	IncC;IncFIB(pQil);IncFII(K)	219	0	0	GA	0															not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	1	146;120849;121841;-;366.6	136;114028;115398;-;381.2	140;116600;117352;-;232.4	149;122867;125506;-;258.7	113;81811;85425;-;375.3	158;129321;130745;-;89.2	149;122867;125506;-;88.8	160;131472;132038;-;167.0	145;120198;120836;-;67.0	144;118195;120201;-;259.0	131;107056;109365;-;393.2	156;128140;128709;-;49.7	131;107056;109365;-;65.8	A	9/9	split_2	49661	0	1	
NZ_CP085733.1	MPF_T	IncN	69	0	0	GA	1	26;24433;25167;-;32.5		23;23473;23790;-;63.3	22;20873;23473;-;113.8	22;20873;23473;-;76.4	21;20142;20855;-;105.5	19;18851;19891;-;142.4		18;17934;18632;-;131.9	17;17039;17923;-;159.7	16;15879;17039;-;156.3	15;14842;15837;-;81.2	3;2238;3767;+;38.5		A	7/7	canonical	1	0	unscoreable	3	0	0														not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted
NZ_CP085747.1	MPF_F	IncHI1A(NDM-CIT);IncHI1B(pNDM-CIT)	342	1	1	GA	1		99;100692;101081;-;83.3	98;100426;100695;-;32.5	97;97963;100413;-;37.9	97;97963;100413;-;125.2		94;95520;96887;-;179.3		93;94797;95501;-;235.7	92;93808;94800;-;223.1	91;92522;93805;-;206.6	100;101068;102147;-;118.3	102;102617;104614;-;345.5	62;64243;67419;+;57.9	A	7/7	canonical	0	0	unscoreable	3	0	1	61;63517;64224;+;214.6	239;230546;231961;-;200.0	240;231951;232997;-;168.3	44;42048;44729;+;156.8	238;226548;230537;-;103.1	91;92522;93805;-;206.6	44;42048;44729;+;73.5	37;35890;36675;+;69.5	59;61516;63024;+;62.3	62;64243;67419;+;57.9	102;102617;104614;-;101.4	43;41089;42039;+;45.4	102;102617;104614;-;98.9	A	9/9	split_3	196061	0	1	
NZ_CP085755.1	MPF_F	IncHI2;IncHI2A	319	0	0	GA	0															not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	1	29;32864;33922;+;276.4	188;176891;178306;-;194.1	189;178296;179342;-;173.7	11;9544;12225;+;168.0	187;172932;176882;-;102.2	7;5859;7214;+;80.7	11;9544;12225;+;72.2	4;3347;4135;+;74.8	27;31211;32722;+;62.6	30;33941;37129;+;58.3	195;186383;188467;+;56.7	10;8585;9535;+;46.4	195;186383;188467;+;38.8	A	9/9	split_3	183036	1	1	172269..172544-;91;unnamed;0
NZ_CP085759.1	MPF_T	IncN4	51	0	0	GA	1	4;1615;2355;+;34.9	6;2679;2969;+;45.6	7;3021;3335;+;65.3	8;3335;5965;+;124.9	8;3335;5965;+;86.8	9;5975;6682;+;114.7	11;6941;7984;+;126.7	12;8079;8249;+;41.4	13;8252;8968;+;145.6	14;8971;9858;+;144.4	15;9855;11009;+;174.0	16;11002;12033;+;78.5	21;16441;18018;-;54.8		A	7/7	canonical	1	0	ga	6	0	0														not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted
NZ_CP085765.1	MPF_F	IncFII(Yp)	119	0	0	GA	0															not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	1	82;75274;76266;-;364.5	71;67996;69411;-;376.6	76;71130;71882;-;228.7	85;77334;79973;-;259.6	70;65147;67996;-;338.5	93;82994;84409;-;86.4	85;77334;79973;-;83.9	95;85136;85702;-;167.2	81;74644;75261;-;66.9	80;72773;74647;-;256.6	68;62076;64376;-;389.8	90;81596;82177;-;52.7	68;62076;64376;-;67.0	A	9/9	contiguous	23060	1	1	64614..65141-;175;unnamed;0
NZ_CP085766.1	MPF_F	IncHI1A(NDM-CIT);IncHI1B(pNDM-CIT)	404	1	1	GA	1		234;199240;199629;+;83.3	235;199626;199895;+;32.5	236;199908;202358;+;37.9	236;199908;202358;+;125.2		239;203434;204801;+;179.3		240;204820;205524;+;235.7	241;205521;206513;+;223.1	242;206516;207799;+;206.6	233;198174;199253;+;118.3	231;195707;197704;+;345.5	272;232902;236078;-;57.9	A	7/7	canonical	0	0	unscoreable	3	0	1	273;236097;237152;-;278.1	78;55409;56824;+;200.0	77;54373;55419;+;168.3	290;255592;258273;-;156.8	79;56833;60822;+;103.1	242;206516;207799;+;206.6	290;255592;258273;-;73.5	297;263646;264431;-;69.5	275;237297;238805;-;62.3	272;232902;236078;-;57.9	231;195707;197704;+;101.4	291;258282;259232;-;45.4	231;195707;197704;+;98.9	A	9/9	split_3	209273	0	1	
NZ_CP085773.1	MPF_F	IncHI2;IncHI2A	329	0	0	GA	0															not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	1	102;102529;103587;+;276.9	244;228124;229539;-;194.1	245;229529;230575;-;173.7	85;80275;82956;+;168.0	243;224165;228115;-;101.6	81;76590;77945;+;80.7	85;80275;82956;+;72.2	78;74078;74866;+;74.8	100;100876;102387;+;62.7	103;103606;106794;+;58.3	251;237616;239700;+;56.7	84;79316;80266;+;46.4	251;237616;239700;+;38.8	A	9/9	split_3	163538	0	1	
NZ_CP085778.1	MPF_F	IncHI2;IncHI2A	378	0	0	GA	0															not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	1	30;32941;33999;+;276.9	249;223328;224743;-;194.1	250;224733;225779;-;173.7	11;9607;12288;+;168.0	248;219369;223319;-;101.6	7;5922;7277;+;80.7	11;9607;12288;+;72.2	4;3410;4198;+;74.8	28;31288;32799;+;62.7	31;34018;37206;+;58.3	256;232820;234904;+;56.7	10;8648;9598;+;46.4	256;232820;234904;+;38.8	A	9/9	split_3	229410	0	1	
NZ_CP085783.1	MPF_F	IncFIB(pECLA)	137	0	0	GA	0															not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	1	79;72517;73515;+;364.2	88;78752;80116;+;359.5	82;75981;76763;+;214.9	71;66550;69159;+;214.8	89;80116;83514;+;306.6	63;63035;63937;+;91.8	71;66550;69159;+;103.5		80;73526;74152;+;64.3	81;74149;75984;+;222.5	93;85571;88126;+;359.2	69;65760;66302;+;46.9	93;85571;88126;+;72.7	B	8/9	contiguous	22536	1	1	83516..84205+;229;unnamed;0
NZ_CP085859.1	MPF_T	-	98	0	0	GA	1	85;78039;78701;+;48.0	86;78711;79010;+;31.9	87;79020;81770;+;64.1	87;79020;81770;+;129.2	87;79020;81770;+;43.8	88;81789;82505;+;132.4	90;82805;83803;+;133.6		92;84015;84701;+;158.6	93;84694;85587;+;148.6	94;85584;86780;+;133.2	95;86784;87833;+;69.6	3;4460;6367;+;24.5		A	7/7	canonical	1	1	unscoreable	2	0	0														not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted
NZ_CP085862.1	MPF_T	IncX3	71	0	0	GA	1	21;12757;13401;+;46.4	22;13385;13675;+;73.1	23;13700;16453;+;47.0	23;13700;16453;+;145.4	23;13700;16453;+;73.3	24;16463;17233;+;60.1	26;17512;18567;+;133.2		27;18762;19490;+;118.8	28;19496;20425;+;138.8	29;20422;21636;+;126.5	31;21832;22866;+;65.7	32;22869;24704;+;495.9		A	7/7	canonical	1	1	unscoreable	2	0	0														not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted
NZ_CP085890.1	MPF_F	IncFII(pHN7A8);IncR	182	0	0	GA	0															not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	1	135;102183;103175;+;369.5	148;110008;111381;+;376.8	143;107699;108442;+;234.4	132;98547;101174;+;301.8	149;111378;114194;+;376.7	127;95065;96492;+;94.1	132;98547;101174;+;101.8	125;93784;94350;+;183.8	138;104121;104759;+;70.4	141;105572;107422;+;265.0	153;116495;118711;+;391.7	131;97516;98031;+;77.6	153;116495;118711;+;70.3	A	9/9	contiguous	22711	1	1	114227..114748+;173;unnamed;0
NZ_CP085980.1	MPF_T	IncX1;IncX3	69	0	0	GA	1	52;39465;40112;+;45.6	53;40090;40386;+;76.6	54;40405;43158;+;46.6	54;40405;43158;+;147.9	54;40405;43158;+;75.3	55;43169;43927;+;67.5	57;44165;45298;+;109.2		58;45543;46256;+;120.0	59;46261;47190;+;133.7	60;47187;48392;+;132.5	61;48394;49425;+;76.3	62;49428;51263;+;486.4		A	7/7	canonical	1	1	unscoreable	1	0	0														not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted
NZ_CP085985.1	MPF_T	IncX1;IncX3	72	0	0	GA	1	23;13931;14578;+;45.6	24;14556;14852;+;76.6	25;14871;17624;+;46.6	25;14871;17624;+;147.9	25;14871;17624;+;75.3	26;17635;18393;+;67.5	28;18631;19764;+;109.2		29;20009;20722;+;120.0	30;20727;21656;+;133.7	31;21653;22858;+;132.5	32;22860;23891;+;76.3	33;23894;25729;+;486.4		A	7/7	canonical	1	1	unscoreable	1	0	0														not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted	not_admitted
