accession	n_anchors	n_same_strand	layout	anchor_span_bp	max_internal_gap_bp	order_canonical
NZ_CP065101.1	16	16	contiguous	34131	9730	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_CP065109.1	16	16	contiguous	34051	9650	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_CP065122.1	16	16	contiguous	34132	9731	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_CP065126.1	16	16	contiguous	34132	9731	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_CP065129.1	16	16	contiguous	34132	9731	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_CP065455.1	13	11	split_2	65072	39713	traI traK traL traM traN traO traP traQ traU traW traY
NZ_CP065468.1	16	16	contiguous	35197	10797	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_CP065556.1	13	13	contiguous	21606	3735	traI traK traL traM traN traO traP traQ traU traW traY trbA trbB
NZ_CP065569.2	16	16	contiguous	34132	9731	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_CP065573.1	16	16	contiguous	29736	5335	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_CP065954.1	13	11	split_2	55788	37733	traI traK traL traM traN traO traP traQ traU traW traY
NZ_CP065969.1	14	14	split_2	82409	55195	traE traI traK traL traO traP traQ traT traU traV traW traY trbA trbB
NZ_CP066010.1	16	16	contiguous	28606	4788	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_CP066034.1	16	16	contiguous	30513	6119	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_CP066103.1	15	15	contiguous	25393	4488	traE traI traK traL traM traN traO traP traQ traU traV traW traY trbA trbB
NZ_CP066110.1	15	15	contiguous	25393	4488	traE traI traK traL traM traN traO traP traQ traU traV traW traY trbA trbB
NZ_CP066154.1	13	13	contiguous	20842	3731	traI traK traL traM traN traO traP traQ traU traW traY trbA trbB
NZ_CP066252.1	13	13	contiguous	21115	4121	traI traK traL traM traN traO traP traQ traU traW traY trbA trbB
NZ_CP066257.1	13	13	contiguous	21115	4121	traI traK traL traM traN traO traP traQ traU traW traY trbA trbB
NZ_CP066268.1	13	13	contiguous	24641	4810	traI traK traL traM traN traO traP traQ traU traW traY trbA trbB
NZ_CP066272.1	13	13	contiguous	24187	4642	traI traK traL traM traN traO traP traQ traU traW traY trbA trbB
NZ_CP066749.1	16	16	split_2	92073	67317	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_CP066754.1	16	16	contiguous	28608	4788	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_CP066838.1	16	16	contiguous	30028	5628	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_CP066907.1	13	13	contiguous	21115	4121	traI traK traL traM traN traO traP traQ traU traW traY trbA trbB
NZ_CP066938.1	10	6	contiguous	51664	16537	traM traN traP traQ traU traY
NZ_CP066940.1	10	6	contiguous	48300	15848	traM traN traP traQ traU traY
NZ_CP066944.1	10	6	contiguous	47093	15848	traM traN traP traQ traU traY
NZ_CP066973.1	10	6	split_2	142557	110149	traM traN traP traQ traU traY
NZ_CP066976.1	10	6	contiguous	52478	16188	traM traN traP traQ traU traY
NZ_CP067021.1	6	5	split_2	57602	25642	traM traN traU traW traY
NZ_CP067233.1	16	16	contiguous	28613	4785	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_CP067267.1	13	11	split_2	55473	37553	traI traK traL traM traN traO traP traQ traU traW traY
NZ_CP067314.1	13	11	split_2	55473	37553	traI traK traL traM traN traO traP traQ traU traW traY
NZ_CP067382.1	13	13	contiguous	21115	4121	traI traK traL traM traN traO traP traQ traU traW traY trbA trbB
NZ_CP068017.1	13	11	split_2	55564	37680	traI traK traL traM traN traO traP traQ traU traW traY
NZ_CP068044.1	16	16	contiguous	30103	5702	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_CP068149.1	13	13	contiguous	20998	4184	traI traK traL traM traN traO traP traQ traU traW traY trbA trbB
NZ_CP068295.1	11	9	split_2	39556	27132	traL traM traN traO traP traQ traU traW traY
NZ_CP068296.1	13	11	split_2	55608	37553	traI traK traL traM traN traO traP traQ traU traW traY
NZ_CP068297.1	11	9	split_2	43250	30826	traL traM traN traO traP traQ traU traW traY
NZ_CP068298.1	13	11	split_2	55518	37553	traI traK traL traM traN traO traP traQ traU traW traY
NZ_CP068299.1	13	11	split_2	61614	43649	traI traK traL traM traN traO traP traQ traU traW traY
NZ_CP068300.1	13	11	split_2	60871	42906	traI traK traL traM traN traO traP traQ traU traW traY
NZ_CP068301.1	13	11	split_2	60871	42906	traI traK traL traM traN traO traP traQ traU traW traY
NZ_CP068302.1	13	11	split_2	60871	42906	traI traK traL traM traN traO traP traQ traU traW traY
NZ_CP068303.1	13	11	split_2	44484	26573	traI traK traL traM traN traO traP traQ traU traW traY
NZ_CP068304.1	13	11	split_2	67873	46145	traI traK traL traM traN traO traP traQ traU traW traY
NZ_CP068305.1	13	11	split_2	56955	36776	traI traK traL traM traN traO traP traQ traU traW traY
NZ_CP068307.1	13	11	split_2	57303	39338	traI traK traL traM traN traO traP traQ traU traW traY
NZ_CP068308.1	13	11	split_2	55589	37534	traI traK traL traM traN traO traP traQ traU traW traY
NZ_CP068309.1	13	11	split_2	55518	37553	traI traK traL traM traN traO traP traQ traU traW traY
NZ_CP068310.1	13	11	split_2	56575	37544	traI traK traL traM traN traO traP traQ traU traW traY
NZ_CP068312.1	13	11	split_2	54341	36286	traI traK traL traM traN traO traP traQ traU traW traY
NZ_CP068313.1	13	11	split_2	55608	37553	traI traK traL traM traN traO traP traQ traU traW traY
NZ_CP068314.1	13	11	split_2	58051	39996	traI traK traL traM traN traO traP traQ traU traW traY
NZ_CP068317.1	13	11	split_2	55518	37553	traI traK traL traM traN traO traP traQ traU traW traY
NZ_CP068318.1	13	11	split_2	55518	37553	traI traK traL traM traN traO traP traQ traU traW traY
NZ_CP068319.1	13	11	split_2	56804	38839	traI traK traL traM traN traO traP traQ traU traW traY
NZ_CP068320.1	11	11	contiguous	17016	3556	traI traK traL traM traN traO traP traQ traU traW traY
NZ_CP068321.1	13	11	split_2	55518	37553	traI traK traL traM traN traO traP traQ traU traW traY
NZ_CP068323.1	13	11	split_2	46953	28898	traI traK traL traM traN traO traP traQ traU traW traY
NZ_CP068324.1	13	11	split_2	55608	37553	traI traK traL traM traN traO traP traQ traU traW traY
NZ_CP068326.1	13	11	split_2	55694	37639	traI traK traL traM traN traO traP traQ traU traW traY
NZ_CP068329.1	13	11	split_2	56417	37534	traI traK traL traM traN traO traP traQ traU traW traY
NZ_CP068331.1	13	11	split_2	55449	37484	traI traK traL traM traN traO traP traQ traU traW traY
NZ_CP068332.1	13	11	split_2	55694	37639	traI traK traL traM traN traO traP traQ traU traW traY
NZ_CP068335.1	13	11	split_2	53778	35723	traI traK traL traM traN traO traP traQ traU traW traY
NZ_CP068336.1	13	11	split_2	55608	37553	traI traK traL traM traN traO traP traQ traU traW traY
NZ_CP068337.1	12	10	split_2	43671	27559	traK traL traM traN traO traP traQ traU traW traY
NZ_CP068338.1	12	10	split_2	42301	26189	traK traL traM traN traO traP traQ traU traW traY
NZ_CP068339.1	13	11	split_2	55608	37553	traI traK traL traM traN traO traP traQ traU traW traY
NZ_CP068341.1	11	9	split_2	40636	28212	traL traM traN traO traP traQ traU traW traY
NZ_CP068342.1	13	11	split_2	55694	37639	traI traK traL traM traN traO traP traQ traU traW traY
NZ_CP068343.1	13	11	split_2	55608	37553	traI traK traL traM traN traO traP traQ traU traW traY
NZ_CP068574.1	13	11	split_2	68855	46188	traI traK traL traM traN traO traP traQ traU traW traY
NZ_CP068831.1	13	11	split_2	53768	35713	traI traK traL traM traN traO traP traQ traU traW traY
NZ_CP068832.1	13	11	split_2	53675	35620	traI traK traL traM traN traO traP traQ traU traW traY
NZ_CP068833.1	13	11	split_2	56385	38330	traI traK traL traM traN traO traP traQ traU traW traY
NZ_CP068834.1	13	11	split_2	57518	39463	traI traK traL traM traN traO traP traQ traU traW traY
NZ_CP068836.1	13	11	split_2	60394	42339	traI traK traL traM traN traO traP traQ traU traW traY
NZ_CP068838.1	11	9	split_2	39556	27132	traL traM traN traO traP traQ traU traW traY
NZ_CP068840.1	13	11	split_2	55608	37553	traI traK traL traM traN traO traP traQ traU traW traY
NZ_CP068841.1	13	11	split_2	55608	37553	traI traK traL traM traN traO traP traQ traU traW traY
NZ_CP068843.1	13	11	split_2	55608	37553	traI traK traL traM traN traO traP traQ traU traW traY
NZ_CP068844.1	13	11	split_2	54060	36005	traI traK traL traM traN traO traP traQ traU traW traY
NZ_CP068848.1	13	11	split_2	55608	37553	traI traK traL traM traN traO traP traQ traU traW traY
NZ_CP068851.1	13	11	split_2	56295	38330	traI traK traL traM traN traO traP traQ traU traW traY
NZ_CP068854.1	13	11	split_2	55608	37553	traI traK traL traM traN traO traP traQ traU traW traY
NZ_CP068855.1	13	11	split_2	55604	37549	traI traK traL traM traN traO traP traQ traU traW traY
NZ_CP068857.1	13	11	split_2	55608	37553	traI traK traL traM traN traO traP traQ traU traW traY
NZ_CP068859.1	13	11	split_2	55608	37553	traI traK traL traM traN traO traP traQ traU traW traY
NZ_CP068861.1	13	11	split_2	55608	37553	traI traK traL traM traN traO traP traQ traU traW traY
NZ_CP068862.1	13	11	split_2	53679	35624	traI traK traL traM traN traO traP traQ traU traW traY
NZ_CP068863.1	10	8	split_2	37315	26066	traM traN traO traP traQ traU traW traY
NZ_CP068864.1	13	11	split_2	55518	37553	traI traK traL traM traN traO traP traQ traU traW traY
NZ_CP068865.1	11	11	contiguous	17016	3556	traI traK traL traM traN traO traP traQ traU traW traY
NZ_CP068866.1	13	11	split_2	55518	37553	traI traK traL traM traN traO traP traQ traU traW traY
NZ_CP068867.1	13	11	split_2	54831	36776	traI traK traL traM traN traO traP traQ traU traW traY
NZ_CP068869.1	13	11	split_2	55518	37553	traI traK traL traM traN traO traP traQ traU traW traY
NZ_CP068870.1	13	11	split_2	55518	37553	traI traK traL traM traN traO traP traQ traU traW traY
NZ_CP068871.1	13	11	split_2	55424	37459	traI traK traL traM traN traO traP traQ traU traW traY
NZ_CP068872.1	13	11	split_2	55518	37553	traI traK traL traM traN traO traP traQ traU traW traY
NZ_CP068873.1	13	11	split_2	53710	35745	traI traK traL traM traN traO traP traQ traU traW traY
NZ_CP068874.1	11	11	contiguous	17016	3556	traI traK traL traM traN traO traP traQ traU traW traY
NZ_CP068876.1	12	10	split_2	41906	25794	traK traL traM traN traO traP traQ traU traW traY
NZ_CP068877.1	13	11	split_2	54510	36545	traI traK traL traM traN traO traP traQ traU traW traY
NZ_CP068878.1	13	11	split_2	56808	37553	traI traK traL traM traN traO traP traQ traU traW traY
NZ_CP068879.1	13	11	split_2	55518	37553	traI traK traL traM traN traO traP traQ traU traW traY
NZ_CP068880.1	13	11	split_2	54774	36719	traI traK traL traM traN traO traP traQ traU traW traY
NZ_CP068882.1	13	11	split_2	61424	43369	traI traK traL traM traN traO traP traQ traU traW traY
NZ_CP068884.1	13	11	split_2	55608	37553	traI traK traL traM traN traO traP traQ traU traW traY
NZ_CP068885.1	13	11	split_2	55608	37553	traI traK traL traM traN traO traP traQ traU traW traY
NZ_CP068886.1	13	11	split_2	55608	37553	traI traK traL traM traN traO traP traQ traU traW traY
NZ_CP068888.1	13	11	split_2	55608	37553	traI traK traL traM traN traO traP traQ traU traW traY
NZ_CP068890.1	13	11	split_2	55608	37553	traI traK traL traM traN traO traP traQ traU traW traY
NZ_CP068891.1	13	11	split_2	55608	37553	traI traK traL traM traN traO traP traQ traU traW traY
NZ_CP068893.1	11	9	split_2	40668	28244	traL traM traN traO traP traQ traU traW traY
NZ_CP068894.1	13	11	split_2	55608	37553	traI traK traL traM traN traO traP traQ traU traW traY
NZ_CP068895.1	11	11	contiguous	17016	3556	traI traK traL traM traN traO traP traQ traU traW traY
NZ_CP068897.1	13	11	split_2	57225	39251	traI traK traL traM traN traO traP traQ traU traW traY
NZ_CP068898.1	13	11	split_2	55608	37553	traI traK traL traM traN traO traP traQ traU traW traY
NZ_CP068899.1	13	11	split_2	55608	37553	traI traK traL traM traN traO traP traQ traU traW traY
NZ_CP068900.1	11	11	contiguous	17016	3556	traI traK traL traM traN traO traP traQ traU traW traY
NZ_CP068901.1	11	11	contiguous	16926	3466	traI traK traL traM traN traO traP traQ traU traW traY
NZ_CP068902.1	13	11	split_2	55602	37547	traI traK traL traM traN traO traP traQ traU traW traY
NZ_CP068903.1	13	11	split_2	55608	37553	traI traK traL traM traN traO traP traQ traU traW traY
NZ_CP068906.1	13	11	split_2	55607	37552	traI traK traL traM traN traO traP traQ traU traW traY
NZ_CP068907.1	13	11	split_2	55608	37553	traI traK traL traM traN traO traP traQ traU traW traY
NZ_CP068908.1	13	11	split_2	55608	37553	traI traK traL traM traN traO traP traQ traU traW traY
NZ_CP068912.1	11	9	split_2	39889	27465	traL traM traN traO traP traQ traU traW traY
NZ_CP068914.1	13	11	split_2	55608	37553	traI traK traL traM traN traO traP traQ traU traW traY
NZ_CP068915.1	13	11	split_2	64213	46158	traI traK traL traM traN traO traP traQ traU traW traY
NZ_CP068916.1	13	11	split_2	55589	37534	traI traK traL traM traN traO traP traQ traU traW traY
NZ_CP068917.1	13	11	split_2	55608	37553	traI traK traL traM traN traO traP traQ traU traW traY
NZ_CP068918.1	13	11	split_2	60961	42906	traI traK traL traM traN traO traP traQ traU traW traY
NZ_CP068920.1	13	11	split_2	55608	37553	traI traK traL traM traN traO traP traQ traU traW traY
NZ_CP068921.1	13	11	split_2	55608	37553	traI traK traL traM traN traO traP traQ traU traW traY
NZ_CP068924.1	11	11	contiguous	17016	3556	traI traK traL traM traN traO traP traQ traU traW traY
NZ_CP068926.1	13	11	split_2	56385	38330	traI traK traL traM traN traO traP traQ traU traW traY
NZ_CP068927.1	13	11	split_2	55608	37553	traI traK traL traM traN traO traP traQ traU traW traY
NZ_CP068928.1	13	11	split_2	56463	37631	traI traK traL traM traN traO traP traQ traU traW traY
NZ_CP068931.1	10	10	contiguous	15073	3556	traK traL traM traN traO traP traQ traU traW traY
NZ_CP068932.1	13	11	split_2	55607	37552	traI traK traL traM traN traO traP traQ traU traW traY
NZ_CP068933.1	13	11	split_2	55608	37553	traI traK traL traM traN traO traP traQ traU traW traY
NZ_CP068935.1	13	11	split_2	55608	37553	traI traK traL traM traN traO traP traQ traU traW traY
NZ_CP068937.1	12	10	split_2	41906	25794	traK traL traM traN traO traP traQ traU traW traY
NZ_CP068939.1	12	10	split_2	42134	26022	traK traL traM traN traO traP traQ traU traW traY
NZ_CP068940.1	13	11	split_2	64274	46219	traI traK traL traM traN traO traP traQ traU traW traY
NZ_CP068941.1	13	11	split_2	60961	42906	traI traK traL traM traN traO traP traQ traU traW traY
NZ_CP068942.1	11	11	contiguous	17016	3556	traI traK traL traM traN traO traP traQ traU traW traY
NZ_CP068943.1	11	9	split_2	40668	28244	traL traM traN traO traP traQ traU traW traY
NZ_CP068945.1	13	11	split_2	63023	37013	traI traK traL traM traN traO traP traQ traU traW traY
NZ_CP068947.1	13	11	split_2	56471	37639	traI traK traL traM traN traO traP traQ traU traW traY
NZ_CP068948.1	13	11	split_2	53962	35997	traI traK traL traM traN traO traP traQ traU traW traY
NZ_CP068949.1	13	11	split_2	55608	37553	traI traK traL traM traN traO traP traQ traU traW traY
NZ_CP068950.1	13	11	split_2	56471	37639	traI traK traL traM traN traO traP traQ traU traW traY
NZ_CP068951.1	13	11	split_2	55604	37549	traI traK traL traM traN traO traP traQ traU traW traY
NZ_CP068953.1	13	11	split_2	57517	39462	traI traK traL traM traN traO traP traQ traU traW traY
NZ_CP068954.1	13	11	split_2	55605	37550	traI traK traL traM traN traO traP traQ traU traW traY
NZ_CP068955.1	13	11	split_2	55608	37553	traI traK traL traM traN traO traP traQ traU traW traY
NZ_CP068956.1	13	11	split_2	55608	37553	traI traK traL traM traN traO traP traQ traU traW traY
NZ_CP069081.1	11	7	split_2	141851	103233	traM traN traO traP traQ traU traY
NZ_CP069173.1	16	16	contiguous	31349	7260	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_CP069176.1	13	13	split_2	84039	66253	traI traK traL traM traN traO traP traQ traU traW traY trbA trbB
NZ_CP069204.1	13	13	contiguous	20750	3641	traI traK traL traM traN traO traP traQ traU traW traY trbA trbB
NZ_CP069452.1	16	16	contiguous	32222	8813	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_CP069481.1	16	16	contiguous	30088	5688	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_CP069659.1	16	16	contiguous	31502	8093	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_CP069803.1	15	15	contiguous	25885	4939	traE traI traK traL traM traN traO traP traQ traU traV traW traY trbA trbB
NZ_CP069804.1	13	10	contiguous	34921	14435	traI traK traM traN traO traP traQ traU traW traY
NZ_CP069833.1	13	11	split_2	53060	35176	traI traK traL traM traN traO traP traQ traU traW traY
NZ_CP069867.1	16	16	contiguous	30324	6909	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_CP069944.1	13	13	contiguous	25446	4907	traI traK traL traM traN traO traP traQ traU traW traY trbA trbB
NZ_CP069958.1	16	16	contiguous	29919	4788	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_CP069972.1	15	15	contiguous	26237	6648	traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_CP069999.1	16	16	contiguous	31468	9232	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_CP070009.1	16	16	contiguous	29529	5136	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_CP070070.1	16	16	contiguous	30319	5167	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_CP070110.1	13	11	split_2	42882	24728	traI traK traL traM traN traO traP traQ traU traW traY
NZ_CP070112.1	16	16	split_2	85987	55801	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_CP070178.1	13	13	split_2	65492	46466	traI traK traL traM traN traO traP traQ traU traW traY trbA trbB
NZ_CP070185.1	11	11	contiguous	18324	3993	traI traK traL traM traN traO traP traQ traU traW traY
NZ_CP070299.1	16	16	contiguous	29741	5341	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_CP070438.1	13	13	contiguous	20750	3641	traI traK traL traM traN traO traP traQ traU traW traY trbA trbB
NZ_CP070922.1	16	16	contiguous	28606	4788	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_CP071076.1	16	16	contiguous	29809	5412	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_CP071255.1	13	11	split_2	55608	37553	traI traK traL traM traN traO traP traQ traU traW traY
NZ_CP071260.1	13	11	split_2	55608	37553	traI traK traL traM traN traO traP traQ traU traW traY
NZ_CP071262.1	13	11	split_2	55608	37553	traI traK traL traM traN traO traP traQ traU traW traY
NZ_CP071264.1	13	11	split_2	55608	37553	traI traK traL traM traN traO traP traQ traU traW traY
NZ_CP071266.1	13	11	split_2	55608	37553	traI traK traL traM traN traO traP traQ traU traW traY
NZ_CP071281.1	13	11	split_2	60970	42993	traI traK traL traM traN traO traP traQ traU traW traY
NZ_CP071443.1	16	16	contiguous	29736	5335	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_CP071713.1	16	16	contiguous	38387	14123	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_CP071804.1	13	13	contiguous	21289	3637	traI traK traL traM traN traO traP traQ traU traW traY trbA trbB
NZ_CP071822.1	16	16	contiguous	29292	4891	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_CP071824.1	13	13	contiguous	20842	3731	traI traK traL traM traN traO traP traQ traU traW traY trbA trbB
NZ_CP071847.1	4	4	contiguous	12481	8749	traI traM traN traU
NZ_CP071900.1	12	11	split_2	65351	20486	traL trbA trbB traM traN traO traP traQ traU traW traY
NZ_CP072123.1	7	5	contiguous	49901	16498	traM traN traU traW traY
NZ_CP072271.1	7	5	contiguous	49901	16498	traM traN traU traW traY
NZ_CP072276.1	7	5	contiguous	49901	16498	traM traN traU traW traY
NZ_CP072281.1	7	5	contiguous	49901	16498	traM traN traU traW traY
NZ_CP072286.1	7	5	contiguous	49901	16498	traM traN traU traW traY
NZ_CP072291.1	7	5	contiguous	49901	16498	traM traN traU traW traY
NZ_CP072296.1	7	5	contiguous	49901	16498	traM traN traU traW traY
NZ_CP072301.1	7	5	contiguous	49901	16498	traM traN traU traW traY
NZ_CP072324.1	13	11	split_2	55608	37553	traI traK traL traM traN traO traP traQ traU traW traY
NZ_CP072399.1	7	5	contiguous	49901	16498	traM traN traU traW traY
NZ_CP072519.1	13	11	contiguous	27118	7296	traI traK traL traM traN traO traP traQ traU traW traY
NZ_CP072550.1	7	5	split_2	57325	25642	traM traN traU traW traY
NZ_CP072650.1	8	5	split_2	47425	22483	traM traN traP traU traW
NZ_CP072682.1	4	4	contiguous	12481	8749	traI traM traN traU
NZ_CP072743.1	13	13	contiguous	21452	3574	traI traK traL traM traN traO traP traQ traU traW traY trbA trbB
NZ_CP072978.1	16	16	contiguous	29793	6599	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_CP073009.1	15	15	contiguous	25888	4939	traE traI traK traL traM traN traO traP traQ traU traV traW traY trbA trbB
NZ_CP073106.1	12	11	contiguous	65134	18834	traL trbA trbB traM traN traO traP traQ traU traW traY
NZ_CP073242.1	7	5	split_3	197407	144670	traM traN traU traW traY
NZ_CP073375.1	13	13	contiguous	20842	3731	traI traK traL traM traN traO traP traQ traU traW traY trbA trbB
NZ_CP073909.1	15	15	contiguous	28206	4895	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA
NZ_CP074021.1	16	16	contiguous	30088	5688	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_CP074036.1	16	16	contiguous	29811	5413	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_CP074123.1	16	16	contiguous	28605	4785	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_CP074145.1	13	13	contiguous	21728	4519	traI traK traL traM traN traO traP traQ traU traW traY trbA trbB
NZ_CP074429.1	16	16	contiguous	30039	5639	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_CP074679.1	13	11	split_2	55608	37553	traI traK traL traM traN traO traP traQ traU traW traY
NZ_CP074682.1	13	11	split_2	55608	37553	traI traK traL traM traN traO traP traQ traU traW traY
NZ_CP074709.1	7	5	contiguous	48545	15994	traM traN traU traW traY
NZ_CP075126.1	13	13	contiguous	24250	5054	traI traK traL traM traN traO traP traQ traU traW traY trbA trbB
NZ_CP075130.1	13	13	contiguous	24250	5054	traI traK traL traM traN traO traP traQ traU traW traY trbA trbB
NZ_CP075133.1	13	13	contiguous	24024	5314	traI traK traL traM traN traO traP traQ traU traW traY trbA trbB
NZ_CP075139.1	13	13	contiguous	24024	5314	traI traK traL traM traN traO traP traQ traU traW traY trbA trbB
NZ_CP075376.1	16	16	contiguous	30038	5637	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_CP075377.1	16	16	contiguous	30038	5637	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_CP075629.1	16	16	contiguous	28414	4785	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_CP075634.1	16	16	contiguous	39200	14321	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_CP075654.1	16	16	contiguous	31804	7713	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_CP075666.1	16	16	contiguous	36507	11649	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_CP075687.1	13	13	contiguous	25069	4609	traI traK traL traM traN traO traP traQ traU traW traY trbA trbB
NZ_CP075699.1	16	16	contiguous	32336	7145	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_CP075740.1	16	16	contiguous	30262	5861	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_CP075854.1	16	16	split_2	47593	23325	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_CP075892.1	13	13	contiguous	20750	3641	traI traK traL traM traN traO traP traQ traU traW traY trbA trbB
NZ_CP075893.1	13	11	split_2	42285	24311	traI traK traL traM traN traO traP traQ traU traW traY
NZ_CP076010.1	13	11	split_2	55608	37553	traI traK traL traM traN traO traP traQ traU traW traY
NZ_CP076054.1	16	16	contiguous	28360	5167	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_CP076055.1	16	16	contiguous	30040	5639	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_CP076056.1	16	16	contiguous	29782	6590	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_CP076261.1	16	16	contiguous	30967	5346	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_CP076278.1	16	16	contiguous	30967	5346	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_CP076281.1	16	16	contiguous	30040	5639	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_CP076314.1	16	16	contiguous	31892	9647	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_CP076647.1	16	16	split_2	112329	82970	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_CP076710.1	16	16	contiguous	28577	4757	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_CP077263.1	15	15	contiguous	27876	5734	traE traI traK traL traM traN traO traP traQ traU traV traW traY trbA trbB
NZ_CP077333.1	16	16	split_2	122206	98690	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_CP077430.1	13	13	contiguous	21115	4121	traI traK traL traM traN traO traP traQ traU traW traY trbA trbB
NZ_CP077674.1	14	14	contiguous	25124	5776	traI traK traL traM traN traO traP traQ traT traU traW traY trbA trbB
NZ_CP077692.1	13	13	contiguous	24052	5354	traI traK traL traM traN traO traP traQ traU traW traY trbA trbB
NZ_CP077694.1	13	13	contiguous	24052	5354	traI traK traL traM traN traO traP traQ traU traW traY trbA trbB
NZ_CP077700.1	13	13	contiguous	24052	5354	traI traK traL traM traN traO traP traQ traU traW traY trbA trbB
NZ_CP077707.1	13	13	contiguous	24052	5354	traI traK traL traM traN traO traP traQ traU traW traY trbA trbB
NZ_CP077776.1	13	13	contiguous	20734	3623	traI traK traL traM traN traO traP traQ traU traW traY trbA trbB
NZ_CP077782.1	13	11	split_2	55608	37553	traI traK traL traM traN traO traP traQ traU traW traY
NZ_CP077972.1	13	11	split_2	52086	23074	traL traM traN traO traP traQ traU traW traY trbA trbB
NZ_CP078019.1	7	5	split_2	54056	23050	traM traN traU traW traY
NZ_CP078043.1	7	5	split_2	56854	25642	traM traN traU traW traY
NZ_CP078046.1	7	5	split_2	56760	25642	traM traN traU traW traY
NZ_CP078125.1	13	13	contiguous	20842	3731	traI traK traL traM traN traO traP traQ traU traW traY trbA trbB
