accession	slot_family	slot_status	gap_up	gap_down	anchor_gap_median	n_anchor_gaps
NZ_CP060461.1		candidate	-8	47	1	7
NZ_CP060462.1		candidate	217	370	18	7
NZ_CP060463.1		candidate	50	-8	1	8
NZ_CP060466.1		candidate	-8	47	1	7
NZ_CP060468.1		candidate	50	-8	1	8
NZ_CP060473.1		candidate	217	370	18	7
NZ_CP060519.1	Eex_IncN	eex_occupied	12	1	5	4
NZ_CP060524.1		candidate	11	-4	11	8
NZ_CP060752.1	Eex_IncN	eex_occupied	9	11	12	6
NZ_CP060876.1	Eex_IncN	eex_occupied	11	9	5	7
NZ_CP060888.1	Eex_IncN	eex_occupied	9	11	5	7
NZ_CP060901.1	Eex_IncN	eex_occupied	11	9	5	7
NZ_CP060905.1	Eex_IncN	eex_occupied	11	9	5	6
NZ_CP060911.1	Eex_IncN	eex_occupied	9	11	5	7
NZ_CP060925.1	TraS	eex_occupied	15	7	17	6
NZ_CP060931.1	Eex_IncN	eex_occupied	9	11	5	7
NZ_CP060941.1	Eex_IncN	eex_occupied	11	9	5	7
NZ_CP060949.1	Eex_IncN	eex_occupied	11	9	5	7
NZ_CP060952.1	Eex_IncN	eex_occupied	9	11	5	7
NZ_CP060966.1	Eex_IncN	eex_occupied	11	9	9	6
NZ_CP060967.1		candidate	-4	11	11	7
NZ_CP060972.1	Eex_IncN	eex_occupied	9	11	5	7
NZ_CP060976.1	Eex_IncN	eex_occupied	9	11	5	7
NZ_CP060977.1		candidate	11	-4	11	8
NZ_CP060982.1	Eex_IncN	eex_occupied	11	9	5	5
NZ_CP060983.1		candidate	10	-4	11	8
NZ_CP061104.1	Eex_IncN	eex_occupied	11	14	4	8
NZ_CP061110.1	Eex_IncN	eex_occupied	9	11	5	7
NZ_CP061111.1	TrbK_RP4	eex_occupied	-47	12	12	6
NZ_CP061128.1	Eex_IncN	eex_occupied	222	8	5	4
NZ_CP061186.1	Eex_IncN	eex_occupied	46	3	5	4
NZ_CP061279.1		candidate	-4	11	11	8
NZ_CP061353.1		candidate	1	9	12	6
NZ_CP061386.1	Eex_IncN	eex_occupied	11	9	9	6
NZ_CP061500.1		candidate	-4	-4	-4	7
NZ_CP061532.1	Eex_IncN	eex_occupied	11	14	4	7
NZ_CP061746.1	Eex_IncN	eex_occupied	15	7	17	6
NZ_CP061747.1	Eex_IncN	eex_occupied	9	11	5	7
NZ_CP061954.1	Eex_IncN	eex_occupied	17	11	9	6
NZ_CP061973.1	Eex_IncN	eex_occupied	15	7	17	6
NZ_CP062065.1		candidate	32	2	0	7
NZ_CP062114.1		candidate	15	4	3	6
NZ_CP062117.1		candidate	-4	-7	10	5
NZ_CP062119.1		candidate	202	17	-4	7
NZ_CP062120.1	TrbK_RP4	eex_occupied	17	9	3	5
NZ_CP062123.1	TrbK_RP4	eex_occupied	10	9	16	6
NZ_CP062198.1		candidate	52	10	4	6
NZ_CP062215.1		candidate	11	-4	11	8
NZ_CP062230.1		candidate	15	-11	3	7
NZ_CP062233.1	Eex_IncN	eex_occupied	3	-4	2	5
NZ_CP062256.2		candidate	-8	47	1	8
NZ_CP062258.2	Eex_IncN	eex_occupied	0	49	12	6
NZ_CP062807.1		candidate	10	17	9	4
NZ_CP062809.1	TrbK_RP4	eex_occupied	9	11	16	6
NZ_CP062857.1	Eex_IncN	eex_occupied	8	0	4	8
NZ_CP062878.1	TrbK_RP4	eex_occupied	12	-47	12	6
NZ_CP062881.1		candidate	65	92	-1	5
NZ_CP062982.1	Eex_IncN	eex_occupied	222	8	5	4
NZ_CP063080.1		candidate	292	13	-4	5
NZ_CP063114.1		candidate	10	1	14	7
NZ_CP063118.1	Eex_IncN	eex_occupied	11	21	10	7
NZ_CP063125.1		candidate	154	17	14	7
NZ_CP063126.1	Eex_IncN	eex_occupied	21	11	10	7
NZ_CP063156.1	Eex_IncN	eex_occupied	12	1	5	4
NZ_CP063227.1	Eex_IncN	eex_occupied	16	9	15	6
NZ_CP063297.1	Eex_IncN	eex_occupied	3	18	2	6
NZ_CP063335.1		candidate	11	-4	11	8
NZ_CP063363.1		candidate	-4	-7	-8	6
NZ_CP063399.1		candidate	-4	-7	10	6
NZ_CP063468.1	Eex_IncN	eex_occupied	18	3	2	6
NZ_CP063470.1		candidate	190	10	12	7
NZ_CP063475.1	Eex_IncN	eex_occupied	11	9	5	8
NZ_CP063478.1		candidate	10	190	12	7
NZ_CP063489.1		candidate	11	-4	11	8
NZ_CP063495.1		candidate	190	10	12	7
NZ_CP063496.1	Eex_IncN	eex_occupied	163	1	5	5
NZ_CP063509.1	Eex_IncN	eex_occupied	9	0	4	8
NZ_CP063521.1	Eex_IncN	eex_occupied	11	12	12	6
NZ_CP063842.1		candidate	43	1	1	8
NZ_CP063949.1		candidate	218	249	25	3
NZ_CP063951.1	Eex_IncN	eex_occupied	17	11	9	6
NZ_CP063994.1	TrbK_RP4	eex_occupied	9	10	16	6
NZ_CP063998.1	Eex_IncN	eex_occupied	2	34	9	7
NZ_CP063999.1	TrbK_RP4	eex_occupied	10	9	16	6
NZ_CP064007.1		candidate	11	-4	11	8
NZ_CP064008.1	Eex_IncN	eex_occupied	7	15	17	7
NZ_CP064009.1		candidate	-4	11	11	8
NZ_CP064013.1		candidate	11	-4	11	8
NZ_CP064014.1		candidate	-4	11	11	8
NZ_CP064021.1		candidate	11	-4	11	8
NZ_CP064023.1		candidate	-4	11	11	8
NZ_CP064025.1	Eex_IncN	eex_occupied	9	11	5	8
NZ_CP064043.1		candidate	-4	10	10	5
NZ_CP064131.1	Eex_IncN	eex_occupied	3	7	12	6
NZ_CP064177.1	Eex_IncN	eex_occupied	9	11	5	7
NZ_CP064181.1	Eex_IncN	eex_occupied	15	7	17	6
NZ_CP064190.1		candidate	37	229	2	10
NZ_CP064327.1	Eex_IncN	eex_occupied	16	21	12	5
NZ_CP064329.1	Eex_IncN	eex_occupied	16	21	12	5
NZ_CP064331.1	Eex_IncN	eex_occupied	16	21	12	5
NZ_CP064333.1	Eex_IncN	eex_occupied	16	21	12	5
NZ_CP064335.1	Eex_IncN	eex_occupied	16	21	12	5
NZ_CP064652.1	TrbK_RP4	eex_occupied	-4	6	9	6
NZ_CP064660.1	Eex_IncN	eex_occupied	9	11	5	7
NZ_CP064694.1		candidate	3	2	-1	7
NZ_CP064697.1		candidate	127	5	36	8
NZ_CP064700.1		candidate	5	127	36	8
NZ_CP064706.1		candidate	-4	-4	-4	7
NZ_CP064770.1	Eex_IncN	eex_occupied	3	18	2	6
NZ_CP064910.1	Eex_IncN	eex_occupied	11	17	10	4
NZ_CP064932.1	Eex_IncN	eex_occupied	-4	2	-4	7
NZ_CP064935.1	Eex_IncN	eex_occupied	2	-4	5	6
NZ_CP064944.1		candidate	15	15	-4	7
NZ_CP065021.1	Eex_IncN	eex_occupied	5	-4	-1	5
NZ_CP065064.1		candidate	11	-4	11	8
NZ_CP065103.1	Eex_IncN	eex_occupied	11	9	5	8
NZ_CP065104.1	TrbK_RP4	eex_occupied	-47	12	12	6
NZ_CP065112.1	Eex_IncN	eex_occupied	11	17	9	6
NZ_CP065113.1	Eex_IncN	eex_occupied	9	0	4	8
NZ_CP065119.1	Eex_IncN	eex_occupied	11	17	9	6
NZ_CP065124.1	Eex_IncN	eex_occupied	7	15	17	6
NZ_CP065346.1	Eex_IncN	eex_occupied	11	9	5	7
NZ_CP065350.1	Eex_IncN	eex_occupied	9	11	5	7
NZ_CP065360.1		candidate	-4	-4	17	4
NZ_CP065361.1		candidate	8	0	-4	5
NZ_CP065371.1		candidate	-4	10	28	4
NZ_CP065372.1		candidate	-4	10	10	5
NZ_CP065408.1	TrbK_RP4	eex_occupied	9	10	17	4
NZ_CP065413.1		candidate	14	206	7	7
NZ_CP065423.1	Eex_IncN	eex_occupied	222	8	5	4
NZ_CP065448.1	Eex_IncN	eex_occupied	16	9	15	6
NZ_CP065458.1	Eex_IncN	eex_occupied	7	15	17	6
NZ_CP065667.1	TrbK_RP4	eex_occupied	9	10	12	6
NZ_CP065697.1		candidate	-4	12	2	6
NZ_CP065724.1	Eex_IncN	eex_occupied	-4		2	7
NZ_CP065727.1		candidate	28	4	48	2
NZ_CP065749.1		candidate	-4	12	2	6
NZ_CP065897.1		candidate	-1	8	1	7
NZ_CP065950.1	Eex_IncN	eex_occupied	7	15	17	6
NZ_CP066028.1		candidate	-11	-4	9	6
NZ_CP066039.1	TrbK_RP4	eex_occupied	10	9	16	6
NZ_CP066051.1		candidate	34	229	2	10
NZ_CP066056.1		candidate	4	28	23	5
NZ_CP066077.1		candidate	31	7	-4	5
NZ_CP066097.1	Eex_IncN	eex_occupied	7	15	17	6
NZ_CP066098.1	Eex_IncN	eex_occupied	11	9	7	8
NZ_CP066248.1		candidate	4	147	366	2
NZ_CP066264.1		candidate	33	10	2	5
NZ_CP066266.1		candidate	15	26	-4	5
NZ_CP066271.1		candidate	31	10	-4	1
NZ_CP066273.1		candidate	-4	-7	11	6
NZ_CP066344.1	Eex_IncN	eex_occupied	19	183	9	5
NZ_CP066345.1	Eex_IncN	eex_occupied	49	0	12	6
NZ_CP066346.1		candidate	124	-4	18	7
NZ_CP066352.1	Eex_IncN	eex_occupied	-4	11	-4	8
NZ_CP066353.1		candidate	-4	16	-4	2
NZ_CP066357.1	Eex_IncN	eex_occupied	11	-4	-4	7
NZ_CP066360.1		candidate	15	-11	-1	9
NZ_CP066361.1	Eex_IncN	eex_occupied	-4	22	-1	5
NZ_CP066368.1	Eex_IncN	eex_occupied	12	1	5	4
NZ_CP066747.1	Eex_IncN	eex_occupied	48	-53	1	4
NZ_CP066846.1	Eex_IncN	eex_occupied	7	15	17	6
NZ_CP066852.1	Eex_IncN	eex_occupied	11	14	4	8
NZ_CP066920.1	Eex_IncN	eex_occupied	4	41	1	7
NZ_CP066924.1		candidate	-4	19	18	7
NZ_CP066927.1	Eex_IncN	eex_occupied	194	18	-4	6
NZ_CP066935.1		candidate	19	-4	18	7
NZ_CP066941.1		candidate	217	-4	19	7
NZ_CP066946.1		candidate	367	58	18	7
NZ_CP066954.1		candidate	215	-4	19	7
NZ_CP066957.1	Eex_IncN	eex_occupied	18	194	-4	6
NZ_CP066960.1	Eex_IncN	eex_occupied	18	194	-4	6
NZ_CP066962.1		candidate	-4	168	25	6
NZ_CP066964.1	Eex_IncN	eex_occupied	-1	53	6	7
NZ_CP066965.1		candidate	463	5	26	8
NZ_CP066967.1		candidate	217	-4	19	7
NZ_CP066971.1		candidate	367	58	19	7
NZ_CP066974.1		candidate	357	6	26	6
NZ_CP066977.1		candidate	357	6	26	6
NZ_CP066989.1		candidate	463	5	26	8
NZ_CP066991.1		candidate	463	5	26	8
NZ_CP066998.1		candidate	-4	11	18	7
NZ_CP067003.1		candidate	367	58	18	7
NZ_CP067026.1		candidate	31	10	-4	1
NZ_CP067029.1	Eex_IncN	eex_occupied	-4	4	2	6
NZ_CP067034.1	Eex_IncN	eex_occupied	-4	4	2	6
NZ_CP067036.1	TrbK_RP4	eex_occupied	9	10	16	6
NZ_CP067039.1	Eex_IncN	eex_occupied	-4	4	2	6
NZ_CP067075.1		candidate	2	1	-4	8
NZ_CP067076.1		candidate	12	-8	-1	9
NZ_CP067141.1		candidate	3	22	-4	7
NZ_CP067172.1		candidate	-1	8	2	8
NZ_CP067226.1		candidate	-1	-4	-1	8
NZ_CP067247.1	Eex_IncN	eex_occupied	11	17	9	6
NZ_CP067263.1	Eex_IncN	eex_occupied	7	15	17	7
NZ_CP067266.1	Eex_IncN	eex_occupied	11	12	12	6
NZ_CP067268.1	Eex_IncN	eex_occupied	11	17	9	6
NZ_CP067269.1	Eex_IncN	eex_occupied	7	15	17	7
NZ_CP067270.1		candidate	14	-4	10	8
NZ_CP067313.1	Eex_IncN	eex_occupied	11	12	17	4
NZ_CP067315.1	Eex_IncN	eex_occupied	7	15	17	7
NZ_CP067343.1	Eex_IncN	eex_occupied	222	8	5	4
NZ_CP067421.1		candidate	-1	4	-4	6
NZ_CP067423.1		candidate	15	4	3	6
NZ_CP067425.2		candidate	118	292	29	4
NZ_CP068231.1		candidate	-4	12	-4	7
NZ_CP068288.1	Eex_IncN	eex_occupied	15	7	17	6
NZ_CP068322.1	Eex_IncN	eex_occupied	11	9	5	7
NZ_CP068325.1	Eex_IncN	eex_occupied	9	11	5	7
NZ_CP068328.1	Eex_IncN	eex_occupied	9	11	5	7
NZ_CP068330.1	Eex_IncN	eex_occupied	11	9	5	7
NZ_CP068340.1	Eex_IncN	eex_occupied	9	11	5	7
NZ_CP068387.1	Eex_IncN	eex_occupied	9	0	4	8
NZ_CP068606.1	Eex_IncN	eex_occupied	11	9	5	6
NZ_CP068612.1	Eex_IncN	eex_occupied	11	9	5	7
NZ_CP068624.1		candidate	-4	10	10	4
NZ_CP068625.1		candidate	10	-4	10	5
NZ_CP068626.1		candidate	-1	38	12	5
NZ_CP068632.1		candidate	-4	10	14	2
NZ_CP068640.1		candidate	-4	10	14	2
NZ_CP068644.1		candidate	10	-4	10	4
NZ_CP068649.1		candidate	-4	10	10	4
NZ_CP068650.1		candidate	-1	38	12	5
NZ_CP068651.1		candidate	38	-1	3	7
NZ_CP068679.1		candidate	2	9	10	6
NZ_CP068762.1		candidate	213	-8	12	7
NZ_CP068835.1	Eex_IncN	eex_occupied	9	11	5	7
NZ_CP068852.1	Eex_IncN	eex_occupied	9	11	5	7
NZ_CP068868.1	Eex_IncN	eex_occupied	9	11	5	7
NZ_CP068881.1	Eex_IncN	eex_occupied	9	11	5	7
NZ_CP068887.1	Eex_IncN	eex_occupied	11	9	5	7
NZ_CP068904.1	Eex_IncN	eex_occupied	9	11	5	7
NZ_CP068910.1	Eex_IncN	eex_occupied	9	11	5	7
NZ_CP068911.1	Eex_IncN	eex_occupied	11	9	5	7
NZ_CP068919.1	Eex_IncN	eex_occupied	9	11	5	7
NZ_CP068922.1	Eex_IncN	eex_occupied	11	9	5	7
NZ_CP068925.1	Eex_IncN	eex_occupied	11	9	5	7
NZ_CP068936.1	Eex_IncN	eex_occupied	9	11	5	7
NZ_CP068938.1	Eex_IncN	eex_occupied	9	11	5	7
NZ_CP068957.1	Eex_IncN	eex_occupied	11	9	5	7
NZ_CP068958.1	Eex_IncN	eex_occupied	9	11	5	7
NZ_CP068959.1	Eex_IncN	eex_occupied	9	11	5	7
NZ_CP068999.1		candidate	2	111	-1	7
NZ_CP069001.1		candidate	1	115	-4	7
NZ_CP069005.1		candidate	2	111	-4	7
NZ_CP069050.1	Eex_IncN	eex_occupied	46	3	5	5
NZ_CP069135.1		candidate	-4	10	11	8
NZ_CP069136.1		candidate	-4	10	11	8
NZ_CP069303.1		candidate	3	20	-1	6
NZ_CP069305.1		candidate	4	6	-4	7
NZ_CP069355.1		candidate	-4	176	6	8
NZ_CP069371.1		candidate	3	-4	-1	7
NZ_CP069446.1	Eex_IncN	eex_occupied	8	0	4	8
NZ_CP069649.1	Eex_IncN	eex_occupied	7	15	17	7
NZ_CP069650.1		candidate	-4	11	11	8
NZ_CP069661.1		candidate	11	-4	18	6
NZ_CP069669.1		candidate	11	-4	18	6
NZ_CP069685.1		candidate	-4	11	11	8
NZ_CP069694.1	Eex_IncN	eex_occupied	9	0	4	8
NZ_CP069715.1	TrbK_RP4	eex_occupied	12	-47	12	6
NZ_CP069716.1		candidate	11	-4	11	8
NZ_CP069860.1	Eex_IncN	eex_occupied	15	7	17	7
NZ_CP069866.1	Eex_IncN	eex_occupied	15	7	17	6
NZ_CP069944.1	ExcA	eex_occupied	14	2	-4	6
NZ_CP069963.1	Eex_IncN	eex_occupied	77	3	5	4
NZ_CP069981.1		candidate	-4	11	11	6
NZ_CP070012.1		candidate	-4	10	10	7
NZ_CP070035.1	Eex_IncN	eex_occupied	1	152	5	4
NZ_CP070064.1	Eex_IncN	eex_occupied	8	0	2	7
NZ_CP070086.1	Eex_IncN	eex_occupied	9	11	5	7
NZ_CP070093.1	Eex_IncN	eex_occupied	7	15	17	5
NZ_CP070117.1	Eex_IncN	eex_occupied	12	11	12	5
NZ_CP070231.1	Eex_IncN	eex_occupied	8	222	5	3
NZ_CP070344.1		candidate	245	16	-4	8
NZ_CP070422.1	Eex_IncN	eex_occupied	11	9	5	7
NZ_CP070442.1	Eex_IncN	eex_occupied	9	11	5	7
NZ_CP070456.1	Eex_IncN	eex_occupied	11	9	5	7
NZ_CP070495.1		candidate	11	13	3	6
NZ_CP070509.1	Eex_IncN	eex_occupied	45	-4	12	8
NZ_CP070519.1	Eex_IncN	eex_occupied	18	3	2	6
NZ_CP070531.1	Eex_IncN	eex_occupied	7	15	17	6
NZ_CP070538.1	Eex_IncN	eex_occupied	7	15	17	4
NZ_CP070545.1		candidate	7	15	17	6
NZ_CP070554.1	Eex_IncN	eex_occupied	7	15	17	6
NZ_CP070561.1	Eex_IncN	eex_occupied	9	11	9	6
NZ_CP070570.1	Eex_IncN	eex_occupied	-1	7	8	7
NZ_CP070571.1	Eex_IncN	eex_occupied	18	3	2	6
NZ_CP070575.1	Eex_IncN	eex_occupied	3	18	2	6
NZ_CP070576.1	Eex_IncN	eex_occupied	18	3	2	6
NZ_CP070580.1	Eex_IncN	eex_occupied	18	3	2	6
NZ_CP070587.1	Eex_IncN	eex_occupied	3	18	2	6
NZ_CP070594.1	Eex_IncN	eex_occupied	3	18	2	6
NZ_CP070900.1		candidate	7	15	17	6
NZ_CP070924.1	Eex_IncN	eex_occupied	222	8	5	4
NZ_CP070925.1	Eex_IncN	eex_occupied	11	9	5	8
NZ_CP070957.1	Eex_IncN	eex_occupied	1	12	5	4
NZ_CP071267.1	Eex_IncN	eex_occupied	3	18	2	6
NZ_CP071391.1	Eex_IncN	eex_occupied	9	11	5	7
NZ_CP071396.1	Eex_IncN	eex_occupied	9	11	9	6
NZ_CP071438.1	Eex_IncN	eex_occupied	10	13	12	6
NZ_CP071461.1		candidate	-4	-11	-4	5
NZ_CP071588.1	Eex_IncN	eex_occupied	-53	48	1	4
NZ_CP071593.1		candidate	3	-11	3	6
NZ_CP071608.1		candidate	43	-4	10	6
NZ_CP071609.1		candidate	-4	-7	10	6
NZ_CP071615.1		candidate	-7	-7	10	6
NZ_CP071621.1		candidate	-7	-7	10	6
NZ_CP071635.1		candidate	43	-4	10	6
NZ_CP071682.1		candidate	-7	-7	10	6
NZ_CP072138.1	Eex_IncN	eex_occupied	-4	4	-4	3
NZ_CP072150.1		candidate	-7	-4	9	6
NZ_CP072155.1		candidate	-7	-4	9	6
NZ_CP072159.1		candidate	-4	-7	-4	6
NZ_CP072166.1		candidate	-4	-7	9	6
NZ_CP072170.1		candidate	4	-4	10	6
NZ_CP072171.1	Eex_IncN	eex_occupied	-1	2	-4	7
NZ_CP072176.1		candidate	2	1	-4	8
NZ_CP072177.1		candidate	-8	12	-1	9
NZ_CP072266.1	Eex_IncN	eex_occupied	185	19	9	5
NZ_CP072269.1		candidate	-8	47	1	8
NZ_CP072313.1		candidate	92	65	1	6
NZ_CP072316.1		candidate	11	-4	11	8
NZ_CP072395.1		candidate	567	6	26	6
NZ_CP072470.1	Eex_IncN	eex_occupied	9	11	5	7
NZ_CP072553.1		candidate	86	250	11	7
NZ_CP072556.1	Eex_IncN	eex_occupied	3	18	2	6
NZ_CP072560.1		candidate	12	-4	-4	7
NZ_CP072561.1	TrbK_RP4	eex_occupied	10	9	16	6
NZ_CP072562.1		candidate	15	15	-4	7
NZ_CP072615.1		candidate	2	17	-4	7
NZ_CP072616.1		candidate	-1	115	-1	5
NZ_CP072747.1	Eex_IncN	eex_occupied	-4	4	2	6
NZ_CP072750.1		candidate	12	65	9	7
NZ_CP072860.1	Eex_IncN	eex_occupied	11	9	5	7
NZ_CP072869.1		candidate	-7	-4	10	6
NZ_CP072872.1		candidate	229	37	2	10
NZ_CP072908.1	Eex_IncN	eex_occupied	77	3	5	4
NZ_CP072946.1	TraS	eex_occupied	-4	12	-4	3
NZ_CP072962.1		candidate	-4	12	-4	3
NZ_CP072979.1	Eex_IncN	eex_occupied	15	7	17	6
NZ_CP072981.1	Eex_IncN	eex_occupied	11	12	12	5
NZ_CP072989.1		candidate	-4	11	25	4
NZ_CP072993.1		candidate	4	17	-1	7
NZ_CP073005.1	Eex_IncN	eex_occupied	3	46	5	5
NZ_CP073044.1		candidate	-4	12	-4	3
NZ_CP073049.1		candidate	-4	12	-4	3
NZ_CP073055.1		candidate	-4	12	-4	3
NZ_CP073079.1	Eex_IncN	eex_occupied	-1	12	4	5
NZ_CP073112.1		candidate	43	-4	10	5
NZ_CP073210.1		candidate	51	-8	1	6
NZ_CP073211.1		candidate	47	-8	1	8
NZ_CP073363.1	Eex_IncN	eex_occupied	9	11	5	7
NZ_CP073634.1	Eex_IncN	eex_occupied	-4	12	-4	7
NZ_CP073663.1		candidate	22	5	22	4
NZ_CP073666.1		candidate	17	29	29	4
NZ_CP073668.1		candidate	39	51	111	4
NZ_CP073774.1	Eex_IncN	eex_occupied	7	15	17	7
NZ_CP073790.1	Eex_IncN	eex_occupied	7	15	17	7
NZ_CP073931.1	Eex_IncN	eex_occupied	7	15	17	7
NZ_CP073951.1	Eex_IncN	eex_occupied	7	15	17	7
NZ_CP073956.1	Eex_IncN	eex_occupied	14	11	4	8
NZ_CP073957.1	Eex_IncN	eex_occupied	7	15	17	7
NZ_CP073990.1	Eex_IncN	eex_occupied	7	15	17	7
NZ_CP073998.1	Eex_IncN	eex_occupied	9	0	4	8
NZ_CP074014.1	Eex_IncN	eex_occupied	7	15	17	7
NZ_CP074022.1	Eex_IncN	eex_occupied	14	11	4	7
NZ_CP074077.1		candidate	-4	19	18	7
NZ_CP074118.1	Eex_IncN	eex_occupied	15	7	10	5
NZ_CP074195.1	Eex_IncN	eex_occupied	9	11	5	7
NZ_CP074353.1	Eex_IncN	eex_occupied	15	7	17	7
NZ_CP074362.1	TrbK_RP4	eex_occupied	10	14	16	6
NZ_CP074395.1		candidate	-7	-4	10	6
NZ_CP074396.1		candidate	-7	-4	9	6
NZ_CP074400.1	Eex_IncN	eex_occupied	-43	4	8	6
NZ_CP074417.1		candidate	10	-4		0
NZ_CP074443.1	Eex_IncN	eex_occupied	11	9	5	7
NZ_CP074447.1	Eex_IncN	eex_occupied	7	15	17	6
NZ_CP074450.1	Eex_IncN	eex_occupied	7	15	17	6
NZ_CP074526.1	Eex_IncN	eex_occupied	9	11	9	6
NZ_CP074543.1	Eex_IncN	eex_occupied	9	11	9	6
NZ_CP074546.1	Eex_IncN	eex_occupied	8	11	9	6
NZ_CP074559.1		candidate	11	9	9	5
NZ_CP075067.1	Eex_IncN	eex_occupied	222	8	5	4
NZ_CP075114.1	Eex_IncN	eex_occupied	0	9	10	8
NZ_CP075124.1	Eex_IncN	eex_occupied	0	9	4	7
NZ_CP075131.1	Eex_IncN	eex_occupied	12	279	12	5
NZ_CP075136.1	Eex_IncN	eex_occupied	11	12	12	5
NZ_CP075319.1	Eex_IncN	eex_occupied	59	0	-1	8
NZ_CP075328.1	Eex_IncN	eex_occupied	0	49	12	6
NZ_CP075329.1		candidate	-8	47	1	8
NZ_CP075346.1	TrbK_RP4	eex_occupied	12	220	12	6
NZ_CP075351.1		candidate	-1	-11	2	8
NZ_CP075362.1		candidate	-1	-11	0	9
NZ_CP075535.1	Eex_IncN	eex_occupied	-35	45	13	6
NZ_CP075537.1		candidate	-23	50	13	5
NZ_CP075539.1	Eex_IncN	eex_occupied	45	-35	13	6
NZ_CP075541.1	Eex_IncN	eex_occupied	-47	55	18	5
NZ_CP075543.1	Eex_IncN	eex_occupied	-47	55	18	6
NZ_CP075642.1		candidate	62	93	-1	5
NZ_CP075688.1		candidate	32	10	-4	5
NZ_CP075701.1	Eex_IncN	eex_occupied	12	1	5	4
NZ_CP075703.1	Eex_IncN	eex_occupied	12	11	12	5
NZ_CP075719.1	Eex_IncN	eex_occupied	12	1	5	4
NZ_CP075724.1	Eex_IncN	eex_occupied	17	11	9	6
NZ_CP075733.1		candidate	11	-4	11	8
NZ_CP075742.1	Eex_IncN	eex_occupied	9	0	4	8
NZ_CP075887.1	Eex_IncN	eex_occupied	9	11	9	6
NZ_CP076256.1	Eex_IncN	eex_occupied	2	34	9	7
NZ_CP076284.1	Eex_IncN	eex_occupied	8	222	5	4
NZ_CP076308.1	Eex_IncN	eex_occupied	11	9	5	7
NZ_CP076319.1	Eex_IncN	eex_occupied	9	11	5	6
NZ_CP076346.1	Eex_IncN	eex_occupied	11	14	2	7
NZ_CP076364.1		candidate	-1	2	1	7
NZ_CP076395.1		candidate	2	16	-1	1
NZ_CP076461.1	Eex_IncN	eex_occupied	9	11	5	7
NZ_CP076506.1		candidate	-11	-4	0	6
NZ_CP076508.1		candidate	-4	-11	0	6
NZ_CP076511.1		candidate	-11	-4	-4	5
NZ_CP076530.1	Eex_IncN	eex_occupied	11	9	5	7
NZ_CP076650.1	Eex_IncN	eex_occupied	11	17	9	6
NZ_CP076658.1		candidate	-11	-4	-4	5
NZ_CP076698.1	Eex_IncN	eex_occupied	0	9	4	8
NZ_CP076708.1	Eex_IncN	eex_occupied	11	14	4	8
NZ_CP076836.1		candidate	3	-11	3	5
NZ_CP076848.1		candidate	-7	-4	9	6
NZ_CP076849.1		candidate	33	233	-1	10
NZ_CP077234.1	Eex_IncN	eex_occupied	67	52	43	7
NZ_CP077334.1	Eex_IncN	eex_occupied	-8	14	9	6
NZ_CP077339.1		candidate	153	11	11	9
NZ_CP077371.1		candidate	162	11	7	9
NZ_CP077413.1	Eex_IncN	eex_occupied	15	7	17	6
NZ_CP077634.1		candidate	-4	-11	-4	5
NZ_CP077636.1		candidate	92	30	-1	2
NZ_CP077637.1		candidate	-4	-11	0	6
NZ_CP077663.1		candidate	11	-4	11	8
NZ_CP077695.1	Eex_IncN	eex_occupied	12	11	12	5
NZ_CP077698.1	Eex_IncN	eex_occupied	11	12	12	5
NZ_CP077701.1	Eex_IncN	eex_occupied	11	12	17	4
NZ_CP077705.1		candidate	8	81	-4	5
NZ_CP077709.1	Eex_IncN	eex_occupied	11	12	12	5
NZ_CP077762.1	Eex_IncN	eex_occupied	9	0	4	8
NZ_CP077825.1	Eex_IncN	eex_occupied	15	7	17	6
NZ_CP077844.1		candidate	139	68	12	7
NZ_CP077965.1	Eex_IncN	eex_occupied	12	18	21	8
NZ_CP077974.1		candidate	9	2	9	6
NZ_CP077982.1		candidate	9	2	9	6
NZ_CP077986.1		candidate	9	2	9	6
NZ_CP077990.1		candidate	9	2	9	6
NZ_CP077995.1		candidate	2	9	9	6
NZ_CP077998.1		candidate	3	0	11	4
NZ_CP078000.1		candidate	9	2	10	4
NZ_CP078003.1		candidate	2	9	9	6
NZ_CP078005.1		candidate	2	9	9	6
NZ_CP078125.1	ExcA	eex_occupied	7	15	10	5
NZ_CP079775.1		candidate	11	-4	11	7
NZ_CP079779.1		candidate	-4	11	11	7
NZ_CP079857.1	Eex_IncN	eex_occupied	-4	4	2	6
NZ_CP079858.1		candidate	-7	-4	10	6
NZ_CP079887.1		candidate	-4	11	11	8
NZ_CP079893.1	Eex_IncN	eex_occupied	254	8	5	4
NZ_CP079894.1	Eex_IncN	eex_occupied	9	11	5	7
NZ_CP080077.1	Eex_IncN	eex_occupied	9	11	5	8
NZ_CP080086.1	Eex_IncN	eex_occupied	11	9	5	8
NZ_CP080093.1	Eex_IncN	eex_occupied	9	0	4	8
NZ_CP080094.1		candidate	-4	11	11	8
NZ_CP080130.1	Eex_IncN	eex_occupied	222	8	5	4
NZ_CP080136.1	Eex_IncN	eex_occupied	222	8	5	4
NZ_CP080137.1	Eex_IncN	eex_occupied	11	9	5	8
NZ_CP080141.1	Eex_IncN	eex_occupied	222	8	5	3
NZ_CP080148.1	Eex_IncN	eex_occupied	222	8	5	4
