accession	length	n_cds	mpf_classes	n_fa_fata	relaxase	exclusion_family_hit	description
NC_049476.1	32697	57	none	0	0		NC_049476.1 Lactococcus phage P4565, complete genome
NC_049477.1	33851	49	none	0	0		NC_049477.1 Vibrio phage vB_ValM-yong1, complete genome
NC_049478.1	60205	102	none	1	0		NC_049478.1 Arthrobacter phage Mufasa8, complete genome
NC_049479.1	166210	245	none	0	1		NC_049479.1 Acinetobacter phage vB_AbaP_Konradin, complete genome
NC_049480.1	30832	57	none	0	0		NC_049480.1 Lactococcus phage CHPC129, complete genome
NC_049481.1	30162	55	none	0	0		NC_049481.1 Lactococcus phage CHPC361, complete genome
NC_049482.1	27642	47	none	0	0		NC_049482.1 Lactococcus phage CHPC362, complete genome
NC_049483.1	29652	54	none	0	0		NC_049483.1 Lactococcus phage CHPC52, complete genome
NC_049484.1	29218	56	none	0	0		NC_049484.1 Lactococcus phage CHPC781, complete genome
NC_049485.1	32653	60	none	0	0		NC_049485.1 Lactococcus phage CHPC958, complete genome
NC_049486.1	29340	56	none	0	0		NC_049486.1 Lactococcus phage CHPC959, complete genome
NC_049487.1	29925	58	none	0	0		NC_049487.1 Lactococcus phage CHPC964, complete genome
NC_049488.1	25327	46	none	0	0		NC_049488.1 Lactococcus phage CHPC965, complete genome
NC_049489.1	69061	104	none	0	0		NC_049489.1 Arthrobacter phage DrYang, complete genome
NC_049490.1	165927	246	none	0	1		NC_049490.1 Acinetobacter phage vB_AbaP_Berthold, complete genome
NC_049491.1	164746	236	none	0	1		NC_049491.1 Acinetobacter phage vB_AbaP_Apostate, complete genome
NC_049492.1	167922	245	none	0	1		NC_049492.1 Acinetobacter phage vB_AbaP_Kimel, complete genome
NC_049493.1	165151	244	none	0	1		NC_049493.1 Acinetobacter phage vB_AbaP_Lazarus, complete genome
NC_049494.1	166330	246	none	0	1		NC_049494.1 Acinetobacter phage vB_AbaM_PhT2, complete genome
NC_049495.1	158087	207	none	0	0		NC_049495.1 Salmonella phage Se-B, complete genome
NC_049496.1	158892	206	none	0	0		NC_049496.1 Salmonella phage Se-G, complete genome
NC_049497.1	160400	212	none	0	0		NC_049497.1 Salmonella phage Se-J, complete genome
NC_049498.1	46623	67	none	1	0		NC_049498.1 Arthrobacter phage Abba, complete genome
NC_049499.1	143249	192	none	0	0		NC_049499.1 Salmonella phage rabagast, complete genome
NC_049500.1	144232	188	none	0	0		NC_049500.1 Salmonella phage heyday, complete genome
NC_049501.1	151015	202	none	0	0		NC_049501.1 Salmonella phage allotria, complete genome
NC_049502.1	156130	206	none	0	0		NC_049502.1 Salmonella phage bering, complete genome
NC_049503.1	156801	209	none	0	0		NC_049503.1 Salmonella phage aagejoakim, complete genome
NC_049504.1	157254	208	none	0	0		NC_049504.1 Salmonella phage dinky, complete genome
NC_049505.1	157920	200	none	0	0		NC_049505.1 Salmonella phage barely, complete genome
NC_049506.1	158230	212	none	0	0		NC_049506.1 Salmonella phage moki, complete genome
NC_049507.1	158905	204	none	0	0		NC_049507.1 Salmonella phage pertopsoe, complete genome
NC_049508.1	159128	206	none	0	0		NC_049508.1 Salmonella phage maane, complete genome
NC_049509.1	158706	212	none	0	0		NC_049509.1 Salmonella phage P46FS4, complete genome
NC_049510.1	75929	79	none	0	0		NC_049510.1 Erwinia phage phiEaP-8, complete genome
NC_049511.1	166487	244	none	0	1		NC_049511.1 Acinetobacter phage AM101, complete genome
NC_049512.1	152926	204	none	0	0		NC_049512.1 Salmonella phage SE14, complete genome
NC_049805.1	59833	85	none	0	0		NC_049805.1 Lactococcus phage phiQ1 DNA, complete genome
NC_049806.1	60551	85	none	0	0		NC_049806.1 Lactococcus phage LW31, complete genome
NC_049807.1	62054	92	none	0	0		NC_049807.1 Lactococcus phage AM6, complete genome
NC_049808.1	57909	81	none	0	0		NC_049808.1 Lactococcus phage P596, complete genome
NC_049809.1	31106	51	none	1	0		NC_049809.1 Lactococcus phage Q33, complete genome
NC_049810.1	30745	50	none	0	0		NC_049810.1 Lactococcus phage 50902, complete genome
NC_049811.1	30556	50	none	0	0		NC_049811.1 Lactococcus phage 62503, complete genome
NC_049812.1	31050	52	none	0	0		NC_049812.1 Lactococcus phage P1045, complete genome
NC_049813.1	44219	65	none	1	0		NC_049813.1 Escherichia phage vB_EcoS-12210I, complete genome
NC_049814.1	51854	85	none	1	0		NC_049814.1 Shigella phage JK16, complete genome
NC_049815.1	51012	86	none	1	0		NC_049815.1 Escherichia phage tonn, complete genome
NC_049816.1	51111	84	none	1	0		NC_049816.1 Escherichia phage tunus, complete genome
NC_049817.1	51277	84	none	1	0		NC_049817.1 Escherichia phage tonnikala, complete genome
NC_049818.1	51627	84	none	1	0		NC_049818.1 Escherichia phage tonijn, complete genome
NC_049819.1	50732	84	none	1	0		NC_049819.1 Escherichia phage atuna, complete genome
NC_049820.1	53145	76	none	0	0		NC_049820.1 Shigella phage 2019SD1, complete genome
NC_049821.1	51048	81	none	1	0		NC_049821.1 Salmonella phage slyngel, complete genome
NC_049822.1	51739	83	none	1	0		NC_049822.1 Escherichia phage vB_EcoS_G29-2, complete genome
NC_049823.1	50971	83	none	1	0		NC_049823.1 Escherichia phage herni, complete genome
NC_049824.1	50709	80	none	1	0		NC_049824.1 Escherichia phage vojen, complete genome
NC_049825.1	49530	76	none	1	0		NC_049825.1 Escherichia phage grams, complete genome
NC_049826.1	51662	82	none	1	0		NC_049826.1 Escherichia phage aaroes, complete genome
NC_049827.1	51154	80	none	1	0		NC_049827.1 Escherichia phage damhaus, complete genome
NC_049828.1	48613	74	none	1	0		NC_049828.1 Escherichia phage haarsle, complete genome
NC_049829.1	46660	71	none	1	0		NC_049829.1 Escherichia phage aalborv, complete genome
NC_049830.1	49043	76	none	1	0		NC_049830.1 Escherichia phage PGN590, complete genome
NC_049831.1	50309	78	none	0	0		NC_049831.1 Shigella phage Sfin-3, complete genome
NC_049832.1	50168	78	none	0	0		NC_049832.1 Escherichia phage vB_EcoS-DELF2 DNA, complete genome
NC_049833.1	50713	79	none	0	0		NC_049833.1 Klebsiella phage vB_KpnS_SegesCirculi, complete genome
NC_049834.1	52866	83	none	0	0		NC_049834.1 Klebsiella phage vB_KpnS_IMGroot, complete genome
NC_049835.1	54438	87	none	0	0		NC_049835.1 Klebsiella phage vB_KpnS_Domnhall, complete genome
NC_049836.1	51487	78	none	0	0		NC_049836.1 Klebsiella phage vB_KpnS_Call, complete genome
NC_049837.1	51780	81	none	0	0		NC_049837.1 Klebsiella phage vB_KpnS_Alina, complete genome
NC_049838.1	47844	77	none	0	0		NC_049838.1 Klebsiella phage KL, complete genome
NC_049839.1	50241	77	none	0	0		NC_049839.1 Klebsiella phage Sweeny, complete genome
NC_049840.1	50381	78	none	0	0		NC_049840.1 Klebsiella phage vB_KpnS_FZ10, complete genome
NC_049841.1	49935	77	none	0	0		NC_049841.1 Klebsiella phage Skenny, complete genome
NC_049842.1	49316	77	none	1	0		NC_049842.1 Klebsiella phage vB_KpnS_15-38_KLPPOU149, complete genome
NC_049843.1	37655	43	none	0	0		NC_049843.1 Klebsiella phage JY917, complete genome
NC_049844.1	43094	71	none	0	0		NC_049844.1 Klebsiella phage 13, complete genome
NC_049845.1	49477	78	none	0	0		NC_049845.1 Klebsiella phage PhiKpNIH-2, complete genome
NC_049846.1	49045	75	none	0	0		NC_049846.1 Klebsiella phage Shelby, complete genome
NC_049847.1	49916	77	none	0	0		NC_049847.1 Klebsiella phage Sin4, complete genome
NC_049848.1	49835	75	none	0	0		NC_049848.1 Klebsiella phage KP1801, complete genome
NC_049849.1	221431	337	none	0	0		NC_049849.1 Achromobacter phage Motura, complete genome
NC_049850.1	263735	447	none	0	0		NC_049850.1 Burkholderia phage BcepSaruman, complete genome
NC_049851.1	262653	450	none	0	0		NC_049851.1 Burkholderia phage BcepSauron, complete genome
NC_049852.1	51643	80	none	1	0		NC_049852.1 Escherichia phage egaa, complete genome
NC_049853.1	49890	75	none	1	0		NC_049853.1 Escherichia phage Henu8, complete genome
NC_049854.1	125658	178	none	0	1		NC_049854.1 Lactococcus phage AM1, complete genome
NC_049855.1	128179	178	none	0	1		NC_049855.1 Lactococcus phage LW81, complete genome
NC_049856.1	132949	195	none	0	1		NC_049856.1 Lactococcus phage AM4, complete genome
NC_049857.1	123023	165	none	0	1		NC_049857.1 Lactococcus phage P1048, complete genome
NC_049900.1	40298	62	none	0	0		NC_049900.1 Listeria phage LP-HM00113468, complete genome
NC_049917.1	62668	73	none	0	0		NC_049917.1 Escherichia phage Lys12581Vzw, complete genome
NC_049918.1	62020	77	none	0	0		NC_049918.1 Escherichia phage ArgO145, complete genome
NC_049919.1	61564	78	none	1	0		NC_049919.1 Escherichia phage SH2026Stx1, complete genome
NC_049920.1	58371	77	none	1	0		NC_049920.1 Stx1 converting phage AU5Stx1, complete genome
NC_049921.1	57123	73	none	1	0		NC_049921.1 Stx1 converting phage AU6Stx1, complete genome
NC_049922.1	62822	87	none	0	0		NC_049922.1 Stx converting phage vB_EcoS_ST2-8624, complete genome
NC_049923.1	56224	71	none	0	0		NC_049923.1 Stx2-converting phage Stx2a_WGPS9 proviral DNA, complete genome
NC_049924.1	64900	89	none	0	0		NC_049924.1 Stx2-converting phage Stx2a_F451 proviral DNA, complete genome
NC_049925.1	61580	82	none	0	0		NC_049925.1 Stx converting phage vB_EcoS_P27, complete genome
NC_049926.1	40469	59	none	1	0		NC_049926.1 Escherichia phage ECP1, complete genome
NC_049927.1	42562	61	none	0	0		NC_049927.1 Microbacterium phage McGalleon, complete genome
NC_049928.1	41670	63	none	0	0		NC_049928.1 Microbacterium phage MonChoix, complete genome
NC_049929.1	41793	62	none	0	0		NC_049929.1 Microbacterium phage Teagan, complete genome
NC_049930.1	18742	22	none	0	0		NC_049930.1 Enterococcus phage vB_EfaP_Zip, complete genome
NC_049931.1	18838	22	none	0	0		NC_049931.1 Enterococcus phage vB_EfaP_IME199, complete genome
NC_049932.1	17966	26	none	0	0		NC_049932.1 Enterococcus phage vB_EfaP_Ef6.2, complete genome
NC_049933.1	18136	26	none	0	0		NC_049933.1 Enterococcus phage vB_EfaP_Ef6.3, complete genome
NC_049934.1	18737	30	none	0	0		NC_049934.1 Enterococcus phage vB_EfaP_Ef7.2, complete genome
NC_049935.1	18186	25	none	0	0		NC_049935.1 Enterococcus phage vB_EfaP_Efmus4, complete genome
NC_049936.1	18286	27	none	0	0		NC_049936.1 Enterococcus phage vB_EfaP_Efmus3, complete genome
NC_049937.1	18168	24	none	0	0		NC_049937.1 Enterococcus phage Idefix genome assembly, chromosome: IDF
NC_049938.1	17927	25	none	0	0		NC_049938.1 Enterococcus phage vB_EfaP_Efmus1, complete genome
NC_049939.1	18818	28	none	0	0		NC_049939.1 Enterococcus phage vB_EfaP_Ef7.3, complete genome
NC_049940.1	18415	25	none	0	0		NC_049940.1 Enterococcus phage vB_EfaP_Ef7.4, complete genome
NC_049941.1	58326	70	none	0	0		NC_049941.1 Stx2-converting phage Stx2a_WGPS2 proviral DNA, complete genome
NC_049942.1	57198	82	none	0	0		NC_049942.1 Escherichia phage JLK-2012, complete sequence
NC_049943.1	57248	80	none	0	0		NC_049943.1 Enterobacteria phage 2851, complete genome
NC_049944.1	55023	79	none	0	0		NC_049944.1 Stx2-converting phage Stx2a_WGPS8 proviral DNA, complete genome
NC_049945.1	57849	79	none	0	0		NC_049945.1 Stx2-converting phage Stx2a_WGPS6 proviral DNA, complete genome
NC_049948.1	50126	73	none	0	0		NC_049948.1 Escherichia phage Lambda_ev017 genome assembly, chromosome: 1
NC_049949.1	46685	63	none	1	0		NC_049949.1 Escherichia phage Lambda_ev207 genome assembly, chromosome: 1
NC_049951.1	41969	54	none	0	0		NC_049951.1 Enterobacteria phage O276, complete genome
NC_049953.1	47224	62	none	0	0		NC_049953.1 Escherichia phage Lambda_ev099 genome assembly, chromosome: 1
NC_049955.1	45560	61	none	0	0		NC_049955.1 Escherichia phage Lambda_ev243 genome assembly, chromosome: 1
NC_049959.1	26054	42	none	2	0		NC_049959.1 Bacillus phage QCM11, complete genome
NC_049960.1	21684	32	none	1	0		NC_049960.1 Bacillus phage Harambe, complete genome
NC_049961.1	21054	28	none	1	0		NC_049961.1 Bacillus phage BeachBum, complete genome
NC_049962.1	27206	45	none	2	0		NC_049962.1 Bacillus phage SerPounce, complete genome
NC_049963.1	25032	36	none	2	0		NC_049963.1 Bacillus phage Juan, complete genome
NC_049964.1	26061	43	none	2	0		NC_049964.1 Bacillus phage KonjoTrouble, complete genome
NC_049965.1	19105	25	none	1	0		NC_049965.1 Bacillus phage vB_BveP-Goe6, complete genome
NC_049966.1	25722	40	none	2	0		NC_049966.1 Bacillus phage vB_BthP-Goe4, complete genome
NC_049967.1	27180	49	none	2	0		NC_049967.1 Bacillus phage DK1, complete genome
NC_049968.1	26357	45	none	2	0		NC_049968.1 Bacillus phage DK2, complete genome
NC_049969.1	26865	46	none	2	0		NC_049969.1 Bacillus phage DK3, complete genome
NC_049970.1	20083	28	none	1	0		NC_049970.1 Bacillus phage Karezi, complete genome
NC_049971.1	18466	26	none	1	0		NC_049971.1 Bacillus phage vB_Bpu_PumA1, complete genome
NC_049972.1	18932	27	none	1	0		NC_049972.1 Bacillus phage vB_Bpu_PumA2, complete genome
NC_049973.1	20784	32	none	1	0		NC_049973.1 Bacillus phage SRT01hs, complete genome
NC_049974.1	21781	30	none	1	0		NC_049974.1 Bacillus phage Gxv1, complete genome
NC_049975.1	18379	24	none	1	0		NC_049975.1 Bacillus phage vB_BsuP-Goe1, complete genome
NC_049976.1	18753	25	none	1	0		NC_049976.1 Bacillus phage Nf, complete genome
NC_049977.1	102679	102	none	0	0		NC_049977.1 Bacteroides phage crAss001, complete genome
NC_050143.1	60746	89	none	1	0		NC_050143.1 Pseudomonas phage datas, complete genome
NC_050144.1	65797	93	none	1	0		NC_050144.1 Pseudomonas phage Epa14, complete genome
NC_050145.1	65554	91	none	1	0		NC_050145.1 Pseudomonas phage PaGU11 DNA, complete genome
NC_050146.1	65629	94	none	1	0		NC_050146.1 Pseudomonas phage Epa7, complete genome
NC_050147.1	65680	92	none	0	0		NC_050147.1 Pseudomonas phage Epa13, complete genome
NC_050149.1	65918	89	none	1	0		NC_050149.1 Pseudomonas phage vB_PaeM_USP_1, complete genome
NC_050150.1	65852	92	none	0	0		NC_050150.1 Pseudomonas phage antinowhere, complete genome
NC_050151.1	66295	92	none	1	0		NC_050151.1 Pseudomonas phage crassa, complete genome
NC_050152.1	101660	106	none	0	0		NC_050152.1 Enterobacteria phage P7, complete genome
NC_050153.1	80732	86	none	0	0		NC_050153.1 Escherichia phage vB_EcoM-Ro157c2YLVW, complete genome
NC_050154.1	91159	114	none	0	0		NC_050154.1 Escherichia phage D6, complete genome
NC_051580.1	69471	106	none	1	0		NC_051580.1 Mycobacterium phage Thonko, complete genome
NC_051581.1	70668	102	none	0	0		NC_051581.1 Mycobacterium phage BirdsNest, complete genome
NC_051582.1	71552	98	none	0	0		NC_051582.1 Mycobacterium phage LilMcDreamy, complete genome
NC_051583.1	69448	90	none	0	0		NC_051583.1 Mycobacterium phage Saguaro, complete genome
NC_051584.1	70992	96	none	0	0		NC_051584.1 Mycobacterium phage Quesadilla, complete genome
NC_051585.1	72217	98	none	0	0		NC_051585.1 Mycobacterium phage CRB2, complete genome
NC_051586.1	69897	103	none	0	0		NC_051586.1 Mycobacterium phage Imvubu, complete genome
NC_051587.1	69867	93	none	0	0		NC_051587.1 Mycobacterium phage Serendipitous, complete genome
NC_051588.1	60430	103	none	1	0		NC_051588.1 Mycobacterium phage Aminay, complete genome
NC_051589.1	58899	91	none	0	0		NC_051589.1 Mycobacterium phage Henu3, complete genome
NC_051590.1	58678	95	none	1	0		NC_051590.1 Mycobacterium phage Eponine, complete genome
NC_051591.1	58390	91	none	0	0		NC_051591.1 Mycobacterium phage Taquito, complete genome
NC_051592.1	54611	87	none	0	0		NC_051592.1 Mycobacterium phage Patt, complete genome
NC_051593.1	61395	92	none	0	0		NC_051593.1 Mycobacterium phage Collard, complete genome
NC_051594.1	61808	89	none	0	0		NC_051594.1 Mycobacterium phage Leston, complete genome
NC_051595.1	61535	87	none	0	0		NC_051595.1 Mycobacterium phage Paola, complete genome
NC_051596.1	59925	86	none	0	0		NC_051596.1 Mycobacterium phage Rando14, complete genome
NC_051597.1	63874	89	none	0	0		NC_051597.1 Mycobacterium phage Thyatira, complete genome
NC_051598.1	58150	91	none	1	0		NC_051598.1 Mycobacterium phage Findley, complete genome
NC_051599.1	61208	97	none	0	0		NC_051599.1 Mycobacterium phage Unicorn, complete genome
NC_051600.1	57666	87	none	0	0		NC_051600.1 Mycobacterium phage Bryler, complete genome
NC_051601.1	60321	95	none	0	0		NC_051601.1 Mycobacterium phage Krueger, complete genome
NC_051602.1	60618	93	none	0	0		NC_051602.1 Mycobacterium phage Shandong1, complete genome
NC_051603.1	61027	96	none	0	0		NC_051603.1 Mycobacterium phage Ximenita, complete genome
NC_051604.1	61318	92	none	0	0		NC_051604.1 Mycobacterium phage Hurricane, complete genome
NC_051605.1	62236	90	none	0	0		NC_051605.1 Mycobacterium phage Amgine, complete genome
NC_051606.1	61761	91	none	0	0		NC_051606.1 Mycobacterium phage Amohnition, complete genome
NC_051607.1	61594	89	none	0	0		NC_051607.1 Mycobacterium phage DarthP, complete genome
NC_051608.1	61772	88	none	0	0		NC_051608.1 Mycobacterium phage Ekdilam, complete genome
NC_051609.1	61945	91	none	0	0		NC_051609.1 Mycobacterium phage Ellie, complete genome
NC_051610.1	59646	92	none	1	0		NC_051610.1 Mycobacterium phage Adephagia, complete sequence
NC_051611.1	60031	93	none	1	0		NC_051611.1 Mycobacterium phage Adonis, complete genome
NC_051612.1	57034	87	none	1	0		NC_051612.1 Mycobacterium phage AlishaPH, complete genome
NC_051613.1	56439	72	none	0	0		NC_051613.1 Mycobacterium phage Amelie, complete genome
NC_051614.1	59947	92	none	1	0		NC_051614.1 Mycobacterium phage Apocalypse, complete genome
NC_051615.1	60494	94	none	1	0		NC_051615.1 Mycobacterium phage Beezoo, complete genome
NC_051616.1	60746	92	none	1	0		NC_051616.1 Mycobacterium phage Bella96, complete genome
NC_051617.1	62067	96	none	1	0		NC_051617.1 Mycobacterium phage Chris, complete genome
NC_051618.1	61222	96	none	1	0		NC_051618.1 Mycobacterium phage Curiosium, complete genome
NC_051619.1	62558	102	none	1	0		NC_051619.1 Mycobacterium phage KiSi, complete genome
NC_051620.1	60934	95	none	0	0		NC_051620.1 Mycobacterium phage LastHope, complete genome
NC_051621.1	60143	94	none	1	0		NC_051621.1 Mycobacterium phage LaterM, complete genome
NC_051622.1	62153	98	none	1	0		NC_051622.1 Mycobacterium phage MarkPhew, complete genome
NC_051623.1	61464	92	none	0	0		NC_051623.1 Mycobacterium phage Marshawn, complete genome
NC_051624.1	62293	98	none	0	0		NC_051624.1 Mycobacterium phage Nibb, complete genome
NC_051625.1	60989	95	none	0	0		NC_051625.1 Mycobacterium Phage Niklas, complete genome
NC_051626.1	60311	91	none	1	0		NC_051626.1 Mycobacterium phage Prithvi, complete genome
NC_051627.1	61882	91	none	0	0		NC_051627.1 Mycobacterium phage SirPhilip, complete genome
NC_051628.1	60526	92	none	1	0		NC_051628.1 Mycobacterium phage Urkel, complete genome
NC_051629.1	62192	95	none	0	0		NC_051629.1 Mycobacterium phage Yuna, complete genome
NC_051630.1	60757	96	none	0	0		NC_051630.1 Mycobacterium phage Yunkel11, complete genome
NC_051631.1	59969	92	none	1	0		NC_051631.1 Mycobacterium phage Zavala, complete genome
NC_051633.1	58569	100	none	0	0		NC_051633.1 Mycobacterium phage ArcusAngelus, complete genome
NC_051634.1	57737	97	none	0	0		NC_051634.1 Mycobacterium phage Batiatus, complete genome
NC_051635.1	58824	98	none	0	0		NC_051635.1 Mycobacterium phage Blexus, complete genome
NC_051636.1	59815	105	none	0	0		NC_051636.1 Mycobacterium phage BobaPhett, complete genome
NC_051637.1	60222	100	none	0	0		NC_051637.1 Mycobacterium phage BodEinwohner17, complete genome
NC_051638.1	57647	98	none	0	0		NC_051638.1 Mycobacterium phage Bubbles123, complete genome
NC_051639.1	58098	97	none	0	0		NC_051639.1 Mycobacterium phage Burwell21, complete genome
NC_051641.1	54685	100	none	0	0		NC_051641.1 Mycobacterium phage Byougenkin, complete genome
NC_051642.1	55189	97	none	0	0		NC_051642.1 Mycobacterium phage Chuckly, complete genome
NC_051647.1	57797	102	none	0	0		NC_051647.1 Mycobacterium phage DillTech15, complete genome
NC_051648.1	59478	100	none	0	0		NC_051648.1 Mycobacterium phage Donkeykong, complete genome
NC_051649.1	58397	97	none	0	0		NC_051649.1 Mycobacterium phage Doug, complete genome
NC_051650.1	58368	98	none	0	0		NC_051650.1 Mycobacterium phage DRBy19, complete genome
NC_051651.1	58150	100	none	0	0		NC_051651.1 Mycobacterium phage Eish, complete genome
NC_051652.1	59482	104	none	0	0		NC_051652.1 Mycobacterium phage EleanorGeorge, complete genome
NC_051653.1	56418	100	none	0	0		NC_051653.1 Mycobacterium phage Emma, complete genome
NC_051654.1	57155	99	none	0	0		NC_051654.1 Mycobacterium phage Empress, complete genome
NC_051656.1	60228	104	none	0	0		NC_051656.1 Mycobacterium phage Fancypants, complete genome
NC_051657.1	59306	98	none	0	0		NC_051657.1 Mycobacterium phage Filuzino, complete genome
NC_051658.1	58166	98	none	0	0		NC_051658.1 Mycobacterium phage Firehouse51, complete genome
NC_051661.1	57861	105	none	0	0		NC_051661.1 Mycobacterium phage Galactic, complete genome
NC_051662.1	54974	95	none	0	0		NC_051662.1 Mycobacterium phage Gandalph, complete genome
NC_051663.1	57754	95	none	0	0		NC_051663.1 Mycobacterium phage Girr, complete genome
NC_051664.1	57955	99	none	0	0		NC_051664.1 Mycobacterium phage Gorge, complete genome
NC_051665.1	58731	104	none	0	0		NC_051665.1 Mycobacterium phage Harley, complete genome
NC_051668.1	55471	92	none	0	0		NC_051668.1 Mycobacterium phage Hlubikazi, complete genome
NC_051669.1	58962	101	none	0	0		NC_051669.1 Mycobacterium phage JoeyJr, complete genome
NC_051672.1	60190	104	none	0	0		NC_051672.1 Mycobacterium phage Kersh, complete genome
NC_051675.1	53058	87	none	0	0		NC_051675.1 Mycobacterium phage Krakatau, complete genome
NC_051676.1	58701	106	none	0	0		NC_051676.1 Mycobacterium phage KristaRAM, complete genome
NC_051678.1	58423	98	none	0	0		NC_051678.1 Mycobacterium phage Lizziana, complete genome
NC_051679.1	55945	95	none	0	0		NC_051679.1 Mycobacterium phage Mahavrat, complete genome
NC_051680.1	57001	96	none	0	0		NC_051680.1 Mycobacterium phage Mantra, complete genome
NC_051681.1	58074	100	none	0	0		NC_051681.1 Mycobacterium phage Mattes, complete genome
NC_051682.1	54356	90	none	0	0		NC_051682.1 Mycobacterium phage Melissauren88, complete genome
NC_051683.1	58106	100	none	0	0		NC_051683.1 Mycobacterium phage MilleniumForce, complete genome
NC_051684.1	58027	100	none	0	0		NC_051684.1 Mycobacterium phage MinionDave, complete genome
NC_051685.1	59268	93	none	0	0		NC_051685.1 Mycobacterium phage Minnie, complete genome
NC_051687.1	57984	101	none	0	0		NC_051687.1 Mycobacterium phage Moonbeam, complete genome
NC_051690.1	54857	93	none	0	0		NC_051690.1 Mycobacterium phage Nitzel, complete genome
NC_051691.1	58009	98	none	0	0		NC_051691.1 Mycobacterium phage Nivrat, complete genome
NC_051693.1	57159	96	none	0	0		NC_051693.1 Mycobacterium phage OldBen, complete genome
NC_051694.1	58297	100	none	0	0		NC_051694.1 Mycobacterium phage OlympiaSaint, complete genome
NC_051695.1	56515	97	none	0	0		NC_051695.1 Mycobacterium phage OwlsT2W, complete genome
NC_051696.1	56125	97	none	0	0		NC_051696.1 Mycobacterium phage Phasih, complete genome
NC_051699.1	58666	104	none	0	0		NC_051699.1 Mycobacterium phage Poenanya, complete genome
NC_051700.1	58758	101	none	0	0		NC_051700.1 Mycobacterium phage Polka14, complete genome
NC_051702.1	58230	99	none	0	0		NC_051702.1 Mycobacterium phage Priscilla, complete genome
NC_051703.1	57526	102	none	0	0		NC_051703.1 Mycobacterium phage QuickMath, complete genome
NC_051704.1	57789	96	none	0	0		NC_051704.1 Mycobacterium phage RitaG, complete genome
NC_051705.1	57356	100	none	0	0		NC_051705.1 Mycobacterium phage Royals2015, complete genome
NC_051706.1	59540	102	none	0	0		NC_051706.1 Mycobacterium phage Sandalphon, complete genome
NC_051710.1	58604	103	none	0	0		NC_051710.1 Mycobacterium phage Spikelee, complete genome
NC_051711.1	55735	96	none	0	0		NC_051711.1 Mycobacterium phage Spoonbill, complete genome
NC_051713.1	59346	93	none	0	0		NC_051713.1 Mycobacterium phage SuperGrey, complete genome
NC_051714.1	58930	97	none	0	0		NC_051714.1 Mycobacterium phage SwagPigglett, complete genome
NC_051716.1	56147	92	none	0	0		NC_051716.1 Mycobacterium phage Veteran, complete genome
NC_051717.1	54513	94	none	0	0		NC_051717.1 Mycobacterium phage Wachhund, complete genome
NC_051718.1	59093	100	none	0	0		NC_051718.1 Mycobacterium phage Whouxphf, complete genome
NC_051719.1	58608	100	none	0	0		NC_051719.1 Mycobacterium phage WillSterrel, complete genome
NC_051720.1	58079	99	none	0	0		NC_051720.1 Mycobacterium phage Zerg, complete genome
NC_051721.1	55178	97	none	1	0		NC_051721.1 Mycobacterium phage MooMoo, complete genome
NC_051722.1	57437	111	none	0	0		NC_051722.1 Mycobacterium phage Demsculpinboyz, complete genome
NC_051723.1	54814	100	none	0	0		NC_051723.1 Mycobacterium phage Soul22, complete genome
NC_051724.1	55307	101	none	0	0		NC_051724.1 Mycobacterium phage Zapner, complete genome
NC_051725.1	50832	80	none	1	0		NC_051725.1 Mycobacterium phage Rem711, complete genome
NC_051726.1	43511	64	none	0	0		NC_051726.1 Mycobacterium phage Mendokysei, complete genome
NC_051727.1	48399	76	none	0	0		NC_051727.1 Mycobacterium phage Willsammy, complete genome
NC_051728.1	48783	75	none	0	0		NC_051728.1 Mycobacterium phage Megiddo, complete genome
NC_051729.1	49075	76	none	0	0		NC_051729.1 Mycobacterium phage Atcoo, complete genome
NC_051730.1	46561	72	none	0	0		NC_051730.1 Mycobacterium phage Jung, complete genome
NC_051731.1	48424	78	none	0	0		NC_051731.1 Mycobacterium phage GreaseLightnin, complete genome
NC_051732.1	48699	79	none	0	0		NC_051732.1 Mycobacterium phage Ksquared, complete genome
NC_051733.1	47229	76	none	0	0		NC_051733.1 Mycobacterium phage Phineas, complete genome
NC_051734.1	46484	74	none	0	0		NC_051734.1 Mycobacterium phage Bartholomew, complete genome
NC_051735.1	45680	74	none	0	0		NC_051735.1 Mycobacterium phage FirstPlacePfu, complete genome
NC_051736.1	46732	75	none	0	0		NC_051736.1 Mycobacterium phage Arib1, complete genome
NC_051737.1	47612	76	none	0	0		NC_051737.1 Mycobacterium phage Majeke, complete genome
NC_051738.1	50415	79	none	0	0		NC_051738.1 Mycobacterium phage ThulaThula, complete genome
NC_051739.1	50513	80	none	0	0		NC_051739.1 Mycobacterium phage Purky, complete genome
NC_051740.1	49808	70	none	0	0		NC_051740.1 Mycobacterium phage Xavia, complete genome
NC_052650.1	58072	91	none	0	0		NC_052650.1 Halobacterium phage phiH variant phiH1, complete genome
NC_052652.1	147659	241	none	0	0		NC_052652.1 Escherichia phage vB_EcoM_PHB05, complete genome
NC_052653.1	149506	245	none	0	0		NC_052653.1 Escherichia phage vB_vPM_PD06, complete genome
NC_052654.1	151671	274	none	0	0		NC_052654.1 Escherichia phage vB_EcoM-Ro121c4YLVW, complete genome
NC_052655.1	147009	243	none	0	0		NC_052655.1 Escherichia phage alia, complete genome
NC_052656.1	149335	276	none	0	0		NC_052656.1 Escherichia phage anhysbys, complete genome
