accession	n_cds	core_completeness	n_core	VirB1	VirB1_score	VirB2	VirB2_score	VirB3	VirB3_score	VirB4	VirB4_score	VirB4b	VirB4b_score	VirB5	VirB5_score	VirB6	VirB6_score	VirB7	VirB7_score	VirB8	VirB8_score	VirB9	VirB9_score	VirB10	VirB10_score	VirB11	VirB11_score	VirD4	VirD4_score	TraN	TraN_score
NZ_CP063495.1	79	7/7	7	none		ga:50:36985..37368:+	68.7	ga:51:37371..37697:+	50.6	ga:52:37694..40237:+	94.8	ga:52:37694..40237:+	107.0	none		ga:58:44674..46233:+	113.8	none		ga:53:40234..40941:+	91.8	ga:54:40957..41847:+	152.4	ga:56:42306..43700:+	224.7	ga:49:35915..36871:+	134.8	ga:16:13525..15471:-	442.7	none	
NZ_CP063496.1	87	7/7	7	ga:45:32959..33441:-	81.1	ga:61:49428..49718:-	28.5	ga:60:49037..49321:-	36.6	ga:59:46674..49031:-	58.5	ga:59:46674..49031:-	44.9	ga:72:55404..56045:-	42.9	ga:73:56051..57046:-	129.1	none		ga:57:45774..46508:-	144.3	ga:56:45007..45777:-	170.5	ga:55:43878..45017:-	154.7	ga:48:35209..36747:-	207.1	ga:53:40830..42788:-	289.6	none	
NZ_CP063509.1	58	7/7	7	ga:11:11679..12326:-	45.6	ga:10:11405..11701:-	77.5	ga:9:8633..11386:-	46.8	ga:9:8633..11386:-	147.9	ga:9:8633..11386:-	75.3	ga:8:7864..8622:-	68.5	ga:6:6493..7626:-	106.3	none		ga:5:5534..6247:-	120.0	ga:4:4600..5529:-	134.1	ga:3:3398..4603:-	133.4	ga:2:2365..3396:-	76.2	ga:1:527..2362:-	488.0	none	
NZ_CP063521.1	37	7/7	7	ga:14:7324..8028:+	47.3	ga:15:8032..8328:+	67.4	ga:16:8341..11085:+	50.6	ga:16:8341..11085:+	149.6	ga:16:8341..11085:+	48.4	ga:17:11100..11804:+	139.6	ga:19:12056..13123:+	159.8	none		ga:21:13308..13991:+	190.5	ga:22:13991..14896:+	154.8	ga:23:14938..16188:+	155.0	ga:24:16192..17217:+	67.3	ga:30:19302..21029:+	47.5	none	
NZ_CP063751.1	64	2/7	2	none		none		none		ga:46:36533..38551:+	25.2	none		none		none		none		none		none		none		none		ga:52:42579..44090:+	467.3	none	
NZ_CP063842.1	60	7/7	7	ga:46:30634..31299:-	28.3	ga:45:30271..30612:-	76.3	ga:44:29920..30246:-	73.2	ga:43:27549..29933:-	164.5	ga:43:27549..29933:-	109.9	ga:42:26822..27535:-	130.0	ga:40:25455..26471:-	118.0	none		ga:38:24431..25114:-	156.0	ga:37:23592..24434:-	174.8	ga:36:22322..23590:-	175.3	ga:35:21333..22325:-	102.1	ga:34:19454..21355:-	350.9	none	
NZ_CP063949.1	110	7/7	7	ga:77:60243..60977:-	32.5	ga:16:12720..13013:-	28.7	ga:15:12353..12670:-	63.3	ga:14:9765..12353:-	111.7	ga:14:9765..12353:-	76.9	ga:13:9026..9739:-	97.1	ga:70:54680..55720:-	153.6	none		ga:11:6825..7523:-	131.9	ga:68:52870..53754:-	159.0	ga:66:51714..52289:-	158.1	ga:7:3738..4733:-	81.2	ga:60:44584..46113:+	38.5	none	
NZ_CP063951.1	150	7/7	7	ga:140:138777..139439:-	48.3	ga:139:138467..138766:-	36.6	ga:138:135707..138457:-	61.8	ga:138:135707..138457:-	134.0	ga:138:135707..138457:-	47.3	ga:137:134972..135688:-	137.0	ga:135:133651..134658:-	137.8	none		ga:133:132755..133441:-	158.2	ga:132:131869..132762:-	147.4	ga:131:130676..131872:-	134.7	ga:130:129623..130672:-	71.5	ga:123:123046..124953:-	24.4	none	
NZ_CP063994.1	51	7/7	7	ga:35:28797..29453:+	23.6	ga:24:18394..18825:+	63.1	ga:25:18829..19140:+	49.8	ga:26:19137..21695:+	89.6	ga:26:19137..21695:+	112.5	none		ga:33:26320..28173:+	135.0	none		ga:27:21692..22480:+	145.1	ga:28:22498..23397:+	184.2	ga:30:23872..25290:+	218.8	ga:23:17415..18377:+	131.9	ga:50:44113..45333:-	387.4	none	
NZ_CP063995.1	55	6/7	6	none		ga:50:35911..36201:+	42.5	ga:51:36222..36539:+	66.5	ga:52:36542..39160:+	101.4	ga:52:36542..39160:+	82.2	ga:53:39248..39955:+	104.8	none		none		ga:1:761..1492:+	122.9	ga:2:1494..2390:+	173.3	ga:3:2387..3523:+	180.5	ga:4:3533..4537:+	74.8	ga:10:9454..11004:-	72.1	none	
NZ_CP063998.1	56	7/7	7	none		ga:44:31387..31677:+	39.6	ga:45:31698..32015:+	66.5	ga:46:32018..34636:+	101.4	ga:46:32018..34636:+	82.2	ga:47:34724..35431:+	104.8	ga:49:35807..36889:+	136.1	none		ga:50:37173..37904:+	122.9	ga:51:37906..38802:+	173.3	ga:52:38799..39941:+	180.5	ga:53:39951..40955:+	74.8	ga:3:3978..5528:-	72.1	none	
NZ_CP063999.1	51	7/7	7	ga:38:34104..34760:-	23.6	ga:49:44720..45151:-	63.1	ga:48:44405..44716:-	50.3	ga:47:41850..44408:-	89.6	ga:47:41850..44408:-	112.5	none		ga:40:35384..37219:-	136.7	none		ga:46:41065..41853:-	145.1	ga:45:40148..41047:-	184.0	ga:43:38249..39667:-	218.3	ga:50:45168..45614:-	90.4	ga:25:19204..21108:+	511.4	none	
NZ_CP064007.1	48	7/7	7	ga:10:4677..5297:+	41.6	ga:11:5311..5637:+	64.4	ga:12:5656..8403:+	63.8	ga:12:5656..8403:+	151.8	ga:12:5656..8403:+	46.1	ga:13:8415..9131:+	94.2	ga:14:9143..10237:+	150.1	none		ga:16:10752..11438:+	169.0	ga:17:11435..12343:+	142.4	ga:18:12336..13454:+	163.9	ga:19:13456..14484:+	85.0	ga:20:14516..16333:+	314.8	none	
NZ_CP064008.1	78	7/7	7	ga:36:25345..26079:+	32.5	ga:38:26379..26672:+	28.7	ga:39:26722..27039:+	63.3	ga:40:27039..29639:+	111.8	ga:40:27039..29639:+	76.8	ga:41:29657..30370:+	97.1	ga:43:30621..31661:+	153.6	none		ga:44:31880..32578:+	131.9	ga:45:32589..33473:+	159.0	ga:46:33473..34633:+	154.9	ga:47:34675..35670:+	81.2	ga:58:49466..50995:-	38.5	none	
NZ_CP064009.1	45	7/7	7	ga:30:26087..26707:-	41.6	ga:29:25747..26073:-	64.4	ga:28:22981..25728:-	63.8	ga:28:22981..25728:-	151.8	ga:28:22981..25728:-	46.1	ga:27:22253..22969:-	94.2	ga:26:21147..22241:-	150.1	none		ga:24:19946..20632:-	169.0	ga:23:19041..19949:-	142.4	ga:22:17930..19048:-	163.9	ga:21:16900..17928:-	85.0	ga:20:15051..16868:-	314.8	none	
NZ_CP064013.1	41	7/7	7	ga:10:4677..5297:+	41.6	ga:11:5311..5637:+	64.4	ga:12:5656..8403:+	63.8	ga:12:5656..8403:+	151.8	ga:12:5656..8403:+	46.1	ga:13:8415..9131:+	94.2	ga:14:9143..10237:+	150.1	none		ga:16:10752..11438:+	169.0	ga:17:11435..12343:+	142.4	ga:18:12336..13454:+	163.9	ga:19:13456..14484:+	85.0	ga:20:14516..16333:+	314.8	none	
NZ_CP064014.1	45	7/7	7	ga:30:26087..26707:-	41.6	ga:29:25747..26073:-	64.4	ga:28:22981..25728:-	63.8	ga:28:22981..25728:-	151.8	ga:28:22981..25728:-	46.1	ga:27:22253..22969:-	94.2	ga:26:21147..22241:-	150.1	none		ga:24:19946..20632:-	169.0	ga:23:19041..19949:-	142.4	ga:22:17930..19048:-	163.9	ga:21:16900..17928:-	85.0	ga:20:15051..16868:-	314.8	none	
NZ_CP064021.1	45	7/7	7	ga:10:4677..5297:+	41.6	ga:11:5311..5637:+	64.4	ga:12:5656..8403:+	63.8	ga:12:5656..8403:+	151.8	ga:12:5656..8403:+	46.1	ga:13:8415..9131:+	94.2	ga:14:9143..10237:+	150.1	none		ga:16:10752..11438:+	169.0	ga:17:11435..12343:+	142.4	ga:18:12336..13454:+	163.9	ga:19:13456..14484:+	85.0	ga:20:14516..16333:+	314.8	none	
NZ_CP064023.1	45	7/7	7	ga:30:26087..26707:-	41.6	ga:29:25747..26073:-	64.4	ga:28:22981..25728:-	63.8	ga:28:22981..25728:-	151.8	ga:28:22981..25728:-	46.1	ga:27:22253..22969:-	94.2	ga:26:21147..22241:-	150.1	none		ga:24:19946..20632:-	169.0	ga:23:19041..19949:-	142.4	ga:22:17930..19048:-	163.9	ga:21:16900..17928:-	85.0	ga:20:15051..16868:-	314.8	none	
NZ_CP064025.1	59	7/7	7	ga:21:12037..12681:+	47.1	ga:22:12665..12955:+	73.5	ga:23:12979..15738:+	44.8	ga:23:12979..15738:+	133.3	ga:23:12979..15738:+	71.9	ga:24:15740..16477:+	57.5	ga:26:16759..17814:+	131.7	none		ga:27:18004..18726:+	116.0	ga:28:18732..19661:+	133.3	ga:29:19658..20872:+	128.6	ga:30:20890..21927:+	66.4	ga:31:21932..23767:+	543.4	none	
NZ_CP064043.1	85	6/7	6	ga:38:25865..26380:-	52.6	ga:64:47820..48149:-	65.8	ga:63:47495..47809:-	31.0	ga:62:45040..47454:-	49.3	ga:62:45040..47454:-	98.9	none		ga:59:42017..43330:-	94.5	none		ga:58:41328..42002:-	144.2	ga:57:40447..41319:-	159.1	ga:55:38776..40032:-	191.1	ga:50:33017..34639:-	177.2	none		none	
NZ_CP064131.1	87	7/7	7	ga:40:40232..40942:-	45.1	ga:39:39957..40235:-	68.9	ga:38:37200..39944:-	47.6	ga:38:37200..39944:-	144.2	ga:38:37200..39944:-	44.1	ga:37:36477..37184:-	132.4	ga:35:35150..36223:-	164.6	none		ga:33:34258..34941:-	188.4	ga:32:33353..34258:-	153.2	ga:31:32057..33310:-	144.2	ga:30:31035..32060:-	69.7	ga:26:27218..28954:-	48.6	none	
NZ_CP064177.1	58	7/7	7	ga:45:33809..34453:+	46.4	ga:46:34437..34727:+	73.1	ga:47:34752..37505:+	47.0	ga:47:34752..37505:+	142.4	ga:47:34752..37505:+	73.3	ga:48:37515..38285:+	60.1	ga:50:38564..39619:+	133.2	none		ga:51:39814..40542:+	119.4	ga:52:40548..41477:+	138.8	ga:53:41474..42688:+	128.3	ga:55:42884..43918:+	65.7	ga:56:43921..45756:+	495.9	none	
NZ_CP064181.1	67	7/7	7	ga:62:50376..51110:-	32.5	none		ga:59:49416..49733:-	63.3	ga:58:46816..49416:-	113.8	ga:58:46816..49416:-	76.4	ga:57:46085..46798:-	105.5	ga:55:44794..45834:-	142.4	none		ga:54:43877..44575:-	131.9	ga:53:42982..43866:-	159.7	ga:52:41822..42982:-	156.3	ga:51:40785..41780:-	81.2	ga:37:27368..28897:+	38.5	none	
NZ_CP064189.1	353	7/7	7	ga:111:93279..94451:+	71.8	ga:108:90081..90452:+	54.8	ga:109:90455..90778:+	47.7	ga:110:90791..93301:+	144.5	ga:110:90791..93301:+	94.8	none		ga:114:95480..96553:+	85.8	none		ga:115:96613..97347:+	111.1	ga:116:97371..98177:+	185.4	ga:117:98187..99524:+	192.0	ga:118:99521..100570:+	129.5	ga:119:100539..103331:+	219.6	none	
NZ_CP064190.1	143	7/7	7	ga:38:35297..36385:-	94.1	ga:41:39146..39493:-	73.0	ga:40:38844..39143:-	77.8	ga:39:36382..38841:-	125.3	ga:39:36382..38841:-	96.9	ga:37:34581..35285:-	34.5	ga:36:33323..34351:-	146.0	none		ga:35:32590..33285:-	178.7	ga:34:31784..32593:-	198.8	ga:33:30579..31784:-	211.2	ga:32:29576..30598:-	134.6	ga:31:27480..29579:-	314.6	none	
NZ_CP064191.1	443	7/7	7	ga:327:320045..320743:+	65.6	ga:438:436232..436615:-	71.5	ga:329:321120..321446:+	68.8	ga:330:321446..323815:+	206.3	ga:436:433473..435929:-	124.6	none		ga:434:431343..432518:-	107.3	none		ga:334:325665..326378:+	168.5	ga:432:429831..430643:-	186.3	ga:430:428080..429375:-	212.7	ga:439:436605..437582:-	127.7	ga:418:416734..418740:-	554.5	none	
NZ_CP064327.1	42	7/7	7	none		ga:41:37907..38299:+	58.1	ga:0:57..323:+	33.1	ga:1:311..2875:+	104.6	ga:1:311..2875:+	109.4	none		ga:8:7447..8817:+	109.1	none		ga:2:2872..3588:+	92.4	ga:3:3605..4495:+	169.0	ga:5:4980..6380:+	207.2	ga:40:36935..37894:+	139.4	ga:23:21983..23917:-	468.1	none	
NZ_CP064329.1	41	7/7	7	none		ga:40:37906..38298:+	58.1	ga:0:57..323:+	33.1	ga:1:311..2875:+	104.6	ga:1:311..2875:+	109.4	none		ga:8:7447..8817:+	109.1	none		ga:2:2872..3588:+	92.4	ga:3:3605..4495:+	169.0	ga:5:4980..6380:+	207.2	ga:39:36934..37893:+	139.4	ga:22:21982..23916:-	468.1	none	
NZ_CP064331.1	41	7/7	7	none		ga:40:37901..38293:+	58.1	ga:0:57..323:+	33.1	ga:1:311..2875:+	104.6	ga:1:311..2875:+	109.4	none		ga:8:7447..8817:+	109.1	none		ga:2:2872..3588:+	92.4	ga:3:3605..4495:+	169.0	ga:5:4980..6380:+	207.2	ga:39:36929..37888:+	139.4	ga:22:21982..23916:-	468.1	none	
NZ_CP064333.1	41	7/7	7	none		ga:40:37906..38298:+	58.1	ga:0:57..323:+	33.1	ga:1:311..2875:+	104.6	ga:1:311..2875:+	109.4	none		ga:8:7447..8817:+	109.1	none		ga:2:2872..3588:+	92.4	ga:3:3605..4495:+	169.0	ga:5:4980..6380:+	207.2	ga:39:36934..37893:+	139.4	ga:22:21982..23916:-	468.1	none	
NZ_CP064335.1	42	7/7	7	none		ga:41:37900..38292:+	58.1	ga:0:57..323:+	33.1	ga:1:311..2875:+	104.6	ga:1:311..2875:+	109.4	none		ga:9:7442..8812:+	109.1	none		ga:2:2872..3588:+	92.4	ga:3:3605..4495:+	169.0	ga:6:5953..6375:+	127.6	ga:40:36928..37887:+	139.4	ga:23:21977..23911:-	468.1	none	
NZ_CP064652.1	110	7/7	7	none		ga:104:119081..119581:-	58.9	ga:103:118746..119081:-	49.3	ga:102:116185..118749:-	87.9	ga:102:116185..118749:-	108.8	none		ga:95:110148..111542:-	110.2	none		ga:101:115436..116188:-	128.1	ga:100:114516..115418:-	161.7	ga:98:112669..114072:-	219.4	ga:105:119591..120553:-	122.1	ga:19:17713..19623:+	501.3	none	
NZ_CP064660.1	64	7/7	7	ga:31:20519..21163:+	46.4	ga:32:21147..21437:+	73.1	ga:33:21462..24215:+	47.0	ga:33:21462..24215:+	142.4	ga:33:21462..24215:+	73.3	ga:34:24225..24995:+	60.1	ga:36:25274..26329:+	133.2	none		ga:37:26524..27252:+	119.4	ga:38:27258..28187:+	138.8	ga:39:28184..29398:+	128.3	ga:41:29594..30628:+	65.7	ga:42:30631..32466:+	495.9	none	
NZ_CP064694.1	671	7/7	7	ga:593:551924..552832:-	85.9	ga:584:542710..543036:-	90.2	ga:583:542447..542710:-	30.9	ga:582:540002..542437:-	24.8	ga:582:540002..542437:-	132.9	none		ga:579:537658..538893:-	195.8	none		ga:578:536930..537610:-	225.0	ga:577:535953..536927:-	225.6	ga:576:534751..535956:-	239.5	ga:585:543033..543968:-	114.7	ga:590:547091..549067:-	345.0	none	
NZ_CP064697.1	94	7/7	7	ga:11:12751..13500:-	81.2	ga:76:67326..67634:-	65.3	ga:75:66980..67195:-	28.9	ga:74:64639..67005:-	120.0	ga:63:55210..55914:+	56.3	ga:73:63732..64511:-	38.0	ga:72:62665..63726:-	60.1	none		ga:71:61863..62537:-	155.6	ga:70:61095..61826:-	156.3	ga:69:59746..61083:-	168.7	ga:68:58712..59749:-	110.3	ga:79:69411..71222:+	427.3	none	
NZ_CP064700.1	96	7/7	7	ga:44:34225..34974:+	81.2	ga:73:62143..62451:+	65.3	ga:74:62582..62797:+	28.9	ga:75:62772..65138:+	120.0	ga:86:73863..74567:-	56.3	ga:76:65266..66045:+	38.0	ga:77:66051..67112:+	60.1	none		ga:78:67240..67914:+	155.6	ga:79:67951..68682:+	156.3	ga:80:68694..70031:+	168.7	ga:81:70028..71065:+	110.3	ga:70:58555..60366:-	427.3	none	
NZ_CP064706.1	265	7/7	7	none		ga:53:47059..47355:+	94.9	ga:54:47355..47693:+	107.4	ga:55:47686..50052:+	173.6	ga:55:47686..50052:+	108.0	ga:56:50049..50564:+	75.1	ga:59:51023..52009:+	164.0	none		ga:61:52361..53032:+	197.1	ga:62:53029..53880:+	179.7	ga:63:53892..55037:+	174.3	ga:64:55034..56065:+	100.0	ga:65:56031..57977:+	371.5	none	
NZ_CP064770.1	52	7/7	7	ga:39:24095..24835:+	34.8	ga:41:25159..25449:+	45.9	ga:42:25499..25813:+	65.3	ga:43:25813..28443:+	124.9	ga:43:25813..28443:+	86.8	ga:44:28453..29160:+	114.6	ga:46:29419..30462:+	127.4	ga:47:30557..30727:+	41.4	ga:48:30730..31446:+	145.6	ga:49:31449..32336:+	144.4	ga:50:32333..33487:+	174.0	ga:51:33480..34511:+	78.1	ga:4:4313..5890:-	50.6	none	
NZ_CP064910.1	97	7/7	7	ga:68:62623..63285:+	48.3	ga:69:63296..63595:+	36.6	ga:70:63605..66355:+	60.6	ga:70:63605..66355:+	131.5	ga:70:63605..66355:+	48.6	ga:71:66374..67090:+	137.0	ga:73:67404..68411:+	137.8	none		ga:75:68621..69307:+	158.3	ga:76:69300..70193:+	147.4	ga:49:47745..48314:-	196.0	ga:78:71390..72439:+	71.5	ga:85:77177..79027:+	24.4	none	
NZ_CP064932.1	423	7/7	7	ga:223:237276..237944:+	22.4	ga:224:237941..238240:+	91.2	ga:225:238246..238584:+	104.5	ga:226:238577..240940:+	170.7	ga:226:238577..240940:+	113.0	ga:227:240937..241638:+	202.5	ga:229:241871..242803:+	169.1	none		ga:231:243128..243799:+	211.4	ga:232:243796..244653:+	186.0	ga:233:244662..245834:+	181.7	ga:234:245843..246871:+	106.4	ga:246:255458..257377:-	333.0	none	
NZ_CP064935.1	1040	7/7	7	none		ga:933:991967..992266:-	91.5	ga:932:991623..991961:-	101.2	ga:931:989264..991630:-	175.9	ga:931:989264..991630:-	108.5	ga:930:988566..989267:-	203.2	ga:928:987401..988333:-	165.9	none		ga:926:986408..987079:-	215.6	ga:925:985557..986411:-	185.7	ga:924:984373..985548:-	181.8	ga:923:983369..984364:-	104.8	ga:909:972114..974033:+	322.9	none	
NZ_CP064944.1	60	7/7	7	ga:21:12098..12730:-	56.9	ga:34:25823..26146:-	50.7	ga:33:25427..25795:-	78.4	ga:32:22995..25430:-	150.8	ga:32:22995..25430:-	103.2	ga:31:22267..22998:-	140.8	ga:29:21106..22056:-	149.5	none		ga:27:19895..20788:-	90.1	ga:26:19083..19892:-	144.8	ga:25:17875..19086:-	127.8	ga:24:16832..17878:-	86.7	ga:23:14912..16822:-	328.8	none	
NZ_CP065021.1	1545	7/7	7	none		ga:604:591206..591505:-	89.1	ga:603:590860..591201:-	106.8	ga:602:588489..590885:-	172.9	ga:602:588489..590885:-	108.5	ga:601:587788..588489:-	204.3	ga:599:586617..587552:-	161.8	none		ga:597:585630..586301:-	215.8	ga:596:584776..585630:-	183.4	ga:595:583594..584766:-	182.1	ga:749:741794..743287:-	213.4	ga:460:459454..461373:-	336.3	none	
NZ_CP065064.1	40	7/7	7	ga:1:467..1087:+	41.6	ga:2:1101..1427:+	64.4	ga:3:1446..4193:+	63.8	ga:3:1446..4193:+	151.8	ga:3:1446..4193:+	46.1	ga:4:4205..4921:+	94.2	ga:5:4933..6027:+	150.1	none		ga:7:6542..7228:+	169.0	ga:8:7225..8133:+	142.4	ga:9:8126..9244:+	163.2	ga:10:9246..10274:+	85.0	ga:11:10306..12123:+	314.8	none	
NZ_CP065103.1	61	7/7	7	ga:52:42303..42947:-	47.1	ga:51:42029..42319:-	73.5	ga:50:39246..42005:-	44.8	ga:50:39246..42005:-	133.3	ga:50:39246..42005:-	71.9	ga:49:38507..39244:-	57.5	ga:47:37170..38225:-	131.7	none		ga:46:36258..36980:-	116.0	ga:45:35323..36252:-	132.4	ga:44:34112..35326:-	128.6	ga:43:33057..34094:-	66.4	ga:42:31217..33052:-	543.4	none	
NZ_CP065104.1	52	7/7	7	none		ga:25:23271..23654:-	68.3	ga:24:22942..23268:-	50.2	ga:23:20402..22945:-	99.2	ga:23:20402..22945:-	108.9	none		ga:16:14430..16025:-	120.2	none		ga:22:19698..20405:-	86.0	ga:21:18792..19682:-	156.2	ga:19:16948..18342:-	218.2	ga:26:23768..24724:-	134.7	ga:0:43..1095:+	261.4	none	
NZ_CP065112.1	127	7/7	7	ga:97:89903..90565:+	48.3	ga:98:90576..90875:+	36.6	ga:99:90885..93635:+	60.6	ga:99:90885..93635:+	131.5	ga:99:90885..93635:+	48.6	ga:100:93654..94370:+	137.0	ga:102:94684..95691:+	137.8	none		ga:104:95901..96587:+	158.3	ga:105:96580..97473:+	145.2	ga:106:97470..98666:+	134.7	ga:107:98670..99719:+	71.5	ga:114:104457..106364:+	24.3	none	
NZ_CP065113.1	60	7/7	7	ga:45:38619..39266:-	45.6	ga:44:38345..38641:-	77.5	ga:43:35573..38326:-	46.8	ga:43:35573..38326:-	147.9	ga:43:35573..38326:-	75.3	ga:42:34804..35562:-	68.5	ga:40:33433..34566:-	106.9	none		ga:39:32474..33187:-	120.0	ga:38:31540..32469:-	134.1	ga:37:30338..31543:-	133.4	ga:36:29305..30336:-	76.2	ga:35:27467..29302:-	488.0	none	
NZ_CP065119.1	107	7/7	7	ga:77:73253..73915:+	48.3	ga:78:73926..74225:+	36.6	ga:79:74235..76985:+	60.6	ga:79:74235..76985:+	131.5	ga:79:74235..76985:+	48.6	ga:80:77004..77720:+	137.0	ga:82:78034..79041:+	137.8	none		ga:84:79251..79937:+	158.3	ga:85:79930..80823:+	147.4	ga:86:80820..82016:+	134.7	ga:87:82020..83069:+	71.5	ga:94:87807..89714:+	24.3	none	
NZ_CP065124.1	61	7/7	7	ga:18:13612..14346:+	32.5	none		ga:21:14989..15306:+	63.3	ga:22:15306..17906:+	113.8	ga:22:15306..17906:+	76.4	ga:23:17924..18637:+	105.5	ga:25:18888..19928:+	142.4	none		ga:26:20147..20845:+	131.9	ga:27:20856..21740:+	159.7	ga:28:21740..22900:+	156.3	ga:29:22942..23937:+	81.2	ga:38:31931..33460:-	38.5	none	
NZ_CP065346.1	65	7/7	7	ga:34:28886..29530:-	46.4	ga:33:28612..28902:-	73.1	ga:32:25834..28587:-	47.0	ga:32:25834..28587:-	142.4	ga:32:25834..28587:-	73.3	ga:31:25054..25824:-	60.1	ga:29:23720..24775:-	133.2	none		ga:28:22797..23525:-	119.4	ga:27:21862..22791:-	138.8	ga:26:20651..21865:-	128.3	ga:24:19421..20455:-	65.7	ga:23:17583..19418:-	495.9	none	
NZ_CP065350.1	62	7/7	7	ga:19:11339..11983:+	46.4	ga:20:11967..12257:+	73.1	ga:21:12282..15035:+	47.0	ga:21:12282..15035:+	142.4	ga:21:12282..15035:+	73.3	ga:22:15045..15815:+	60.1	ga:24:16094..17149:+	133.2	none		ga:25:17344..18072:+	119.4	ga:26:18078..19007:+	138.8	ga:27:19004..20218:+	128.3	ga:29:20414..21448:+	65.7	ga:30:21451..23286:+	495.9	none	
NZ_CP065360.1	222	7/7	7	ga:98:89904..90587:-	81.2	none		ga:96:89344..89622:-	59.8	ga:95:86985..89369:-	95.5	ga:95:86985..89369:-	30.0	ga:93:86105..86851:-	46.6	ga:91:84556..85611:-	93.4	none		ga:90:83894..84538:-	122.3	ga:89:83079..83894:-	135.8	ga:87:81554..82387:-	156.7	ga:86:80335..81348:-	110.6	ga:84:78279..80171:-	283.8	none	
NZ_CP065361.1	69	7/7	7	ga:39:37396..38508:+	71.2	none		ga:36:34478..34825:+	61.0	ga:37:34815..37193:+	74.8	ga:37:34815..37193:+	50.7	ga:40:38505..39272:+	61.5	ga:42:39707..40720:+	120.8	none		ga:43:40750..41418:+	182.6	ga:44:41424..42146:+	180.1	ga:46:43208..43573:+	100.5	ga:47:43570..44550:+	116.8	ga:54:51232..52407:-	97.6	none	
NZ_CP065371.1	130	7/7	7	ga:61:45828..46343:+	49.2	ga:101:83119..83448:-	65.8	ga:100:82794..83108:-	30.7	ga:99:80373..82754:-	51.7	ga:99:80373..82754:-	99.0	none		ga:96:77315..78631:-	96.0	none		ga:94:76423..77097:-	144.3	ga:93:75542..76414:-	159.7	ga:91:73871..75127:-	191.0	ga:51:37803..38960:+	168.2	ga:69:51428..53389:+	40.1	none	
NZ_CP065372.1	75	6/7	6	ga:45:40794..41309:-	49.4	ga:73:63693..64022:-	65.8	ga:72:63368..63682:-	30.4	ga:71:60914..63328:-	51.1	ga:71:60914..63328:-	99.0	none		ga:68:57894..59204:-	98.8	none		ga:67:57206..57880:-	144.4	ga:66:56313..57197:-	159.6	ga:64:54642..55898:-	189.9	ga:59:48884..50506:-	165.5	none		none	
NZ_CP065408.1	82	7/7	7	ga:9:9542..10177:+	23.5	ga:81:76848..77312:+	63.5	none		ga:0:1..2559:+	91.0	ga:0:1..2559:+	112.1	none		ga:7:7205..8923:+	143.0	none		ga:1:2556..3338:+	147.6	ga:2:3356..4255:+	186.5	ga:4:4751..6172:+	223.3	ga:80:75869..76831:+	127.6	ga:19:21157..23070:-	525.1	none	
NZ_CP065413.1	61	7/7	7	ga:12:12834..13607:-	34.1	ga:10:10003..10308:-	80.3	ga:9:9666..9989:-	86.7	ga:8:7172..9658:-	211.8	ga:8:7172..9658:-	104.8	ga:7:6445..7164:-	218.4	ga:4:4237..5319:-	160.2	none		ga:3:3200..3919:-	191.6	ga:2:2319..3203:-	181.9	ga:1:1159..2322:-	196.9	ga:0:99..1175:-	97.2	ga:59:46281..48950:-	320.3	none	
NZ_CP065423.1	73	7/7	7	ga:18:21317..21799:-	81.1	none		ga:33:37412..37696:-	36.6	ga:32:35049..37406:-	58.5	ga:32:35049..37406:-	44.9	ga:42:42508..43152:-	41.0	ga:43:43158..44153:-	123.9	none		ga:30:34149..34883:-	144.3	ga:29:33382..34152:-	170.5	ga:28:32253..33392:-	154.7	ga:21:23578..25116:-	207.1	ga:26:29205..31163:-	289.6	none	
NZ_CP065448.1	57	7/7	7	ga:24:20186..20968:-	33.3	ga:22:19643..19939:-	36.0	ga:21:19286..19603:-	71.9	ga:20:16712..19285:-	118.0	ga:20:16712..19285:-	74.2	ga:19:15983..16696:-	107.4	ga:17:14677..15714:-	119.6	ga:16:14469..14600:-	40.1	ga:15:13763..14458:-	132.6	ga:14:12865..13752:-	147.8	ga:13:11732..12865:-	166.3	ga:12:10680..11681:-	90.1	ga:52:36718..38250:+	51.8	none	
NZ_CP065458.1	74	7/7	7	ga:9:3664..4398:+	32.5	none		ga:12:5041..5358:+	63.3	ga:13:5358..7958:+	113.8	ga:13:5358..7958:+	76.4	ga:14:7976..8689:+	105.5	ga:16:8940..9980:+	142.4	none		ga:17:10199..10897:+	131.9	ga:18:10908..11792:+	159.7	ga:19:11792..12952:+	156.3	ga:20:12994..13989:+	81.2	ga:32:26938..28467:-	38.5	none	
NZ_CP065667.1	81	7/7	7	ga:56:51523..52158:+	23.6	ga:45:41201..41665:+	66.5	ga:46:41669..41980:+	49.8	ga:47:41977..44535:+	91.0	ga:47:41977..44535:+	113.9	none		ga:54:49175..50908:+	141.9	none		ga:48:44532..45314:+	144.6	ga:49:45332..46231:+	185.3	ga:51:46727..48145:+	222.9	ga:44:40223..41188:+	128.2	ga:73:67075..68979:-	528.7	none	
