accession	n_anchors	n_same_strand	layout	anchor_span_bp	max_internal_gap_bp	order
NZ_CP136026.1	13	10	split_3	200001	156520	TraE TrbI TraV TraC_F_IV P-loop_TraG TrbC_Ftype TraU F_T4SS_TraN TrwB_AAD_bind TraG-D_C
NZ_MF370216.1	13	13	contiguous	22413	3716	TraE TrbI TraV TraC_F_IV P-loop_TraG TraU TrbC_Ftype F_T4SS_TraN TraF TraH TraG_N TrwB_AAD_bind TraG-D_C
NZ_CP107123.1	13	13	contiguous	22416	3710	TraE TrbI TraV TraC_F_IV P-loop_TraG TraU TrbC_Ftype F_T4SS_TraN TraF TraH TraG_N TrwB_AAD_bind TraG-D_C
NZ_CP137180.1	13	12	split_3	125445	64501	TraG-D_C TraE TraV TraC_F_IV P-loop_TraG TraU TrbC_Ftype F_T4SS_TraN TraF TraH TraG_N TrwB_AAD_bind
CP007580.1	13	13	contiguous	32418	17376	TrwB_AAD_bind TraG-D_C TraE TrbI TraV TraC_F_IV P-loop_TraG TraU TrbC_Ftype F_T4SS_TraN TraF TraH TraG_N
NZ_MG515250.1	13	13	contiguous	20278	4351	TraE TrbI TraV TraC_F_IV P-loop_TraG TraU TrbC_Ftype F_T4SS_TraN TraF TraH TraG_N TrwB_AAD_bind TraG-D_C
NZ_CP050754.1	13	13	contiguous	23019	4265	TraE TrbI TraV TraC_F_IV P-loop_TraG TraU TrbC_Ftype F_T4SS_TraN TraF TraH TraG_N TrwB_AAD_bind TraG-D_C
NZ_CP122619.1	13	13	contiguous	20152	4329	TraE TrbI TraV TraC_F_IV P-loop_TraG TraU TrbC_Ftype F_T4SS_TraN TraF TraH TraG_N TrwB_AAD_bind TraG-D_C
NZ_MW800634.1	13	10	split_3	140014	96232	TraE TrbI TraV TraC_F_IV P-loop_TraG TrbC_Ftype TraU F_T4SS_TraN TrwB_AAD_bind TraG-D_C
NC_019065.1	13	13	split_2	72922	48053	TrwB_AAD_bind TraG-D_C TraE TrbI TraV TraC_F_IV P-loop_TraG TrbC_Ftype TraU F_T4SS_TraN TraF TraH TraG_N
NZ_CP136462.1	13	13	contiguous	22745	4870	TraE TrbI TraV TraC_F_IV P-loop_TraG TraU TrbC_Ftype F_T4SS_TraN TraF TraH TraG_N TrwB_AAD_bind TraG-D_C
NZ_MG874042.1	13	10	split_3	98469	56401	TrwB_AAD_bind TraG-D_C TraE TrbI TraV TraC_F_IV P-loop_TraG TrbC_Ftype TraU F_T4SS_TraN
NZ_CP047711.1	13	13	split_2	108225	83371	TrwB_AAD_bind TraG-D_C TraE TrbI TraV TraC_F_IV P-loop_TraG TrbC_Ftype TraU F_T4SS_TraN TraF TraH TraG_N
NZ_CP102385.1	12	10	split_2	39691	20555	TraE TrbI TraC_F_IV P-loop_TraG TraU TrbC_Ftype F_T4SS_TraN TraF TraH TraG_N
NZ_CP036307.1	13	13	contiguous	25327	5405	TraE TrbI TraV TraC_F_IV P-loop_TraG TraU TrbC_Ftype F_T4SS_TraN TraF TraH TraG_N TrwB_AAD_bind TraG-D_C
NZ_CP114854.1	13	13	contiguous	26129	5410	TraE TrbI TraV TraC_F_IV P-loop_TraG TraU TrbC_Ftype F_T4SS_TraN TraF TraH TraG_N TrwB_AAD_bind TraG-D_C
NZ_CP018708.1	13	10	split_2	149372	112974	TraE TrbI TraV TraC_F_IV P-loop_TraG TrbC_Ftype TraU F_T4SS_TraN TrwB_AAD_bind TraG-D_C
NC_014839.1	13	13	split_2	388300	370361	TrwB_AAD_bind TraG-D_C TraE TrbI TraV TraC_F_IV P-loop_TraG TraU TrbC_Ftype F_T4SS_TraN TraF TraH TraG_N
CP067798.1	13	11	split_2	83190	55703	TraE TraV TraC_F_IV P-loop_TraG TraU TrbC_Ftype F_T4SS_TraN TraF TraH TraG_N TrwB_AAD_bind
NZ_CP120542.1	13	13	contiguous	37237	17081	TrwB_AAD_bind TraG-D_C TraE TrbI TraV TraC_F_IV P-loop_TraG TrbC_Ftype TraU TraF TraH TraG_N F_T4SS_TraN
NZ_CP023167.1	13	10	split_3	234153	152470	TrbC_Ftype TraU F_T4SS_TraN TrwB_AAD_bind TraG-D_C TraE TrbI TraV TraC_F_IV P-loop_TraG
CP123699.1	13	13	split_2	95926	63102	TrwB_AAD_bind TraG-D_C TraE TrbI TraV TraC_F_IV P-loop_TraG TrbC_Ftype TraU F_T4SS_TraN TraF TraH TraG_N
NZ_CP140469.1	13	13	contiguous	22385	3682	TraE TrbI TraV TraC_F_IV P-loop_TraG TraU TrbC_Ftype F_T4SS_TraN TraF TraH TraG_N TrwB_AAD_bind TraG-D_C
CP057051.1	13	13	contiguous	22413	3716	TraE TrbI TraV TraC_F_IV P-loop_TraG TraU TrbC_Ftype F_T4SS_TraN TraF TraH TraG_N TrwB_AAD_bind TraG-D_C
NZ_MF042356.1	13	13	contiguous	21237	4097	TraE TrbI TraV TraC_F_IV P-loop_TraG TraU TrbC_Ftype F_T4SS_TraN TraF TraH TraG_N TrwB_AAD_bind TraG-D_C
CP101962.1	13	13	contiguous	20178	4356	TraE TrbI TraV TraC_F_IV P-loop_TraG TraU TrbC_Ftype F_T4SS_TraN TraF TraH TraG_N TrwB_AAD_bind TraG-D_C
NZ_AP026394.1	13	10	split_2	138829	95351	TraE TrbI TraV TraC_F_IV P-loop_TraG TrbC_Ftype TraU F_T4SS_TraN TrwB_AAD_bind TraG-D_C
NZ_CP049832.1	13	13	contiguous	19840	3558	TraE TrbI TraV TraC_F_IV P-loop_TraG TraU TrbC_Ftype F_T4SS_TraN TraF TraH TraG_N TrwB_AAD_bind TraG-D_C
NZ_CP027703.1	13	13	contiguous	22396	3692	TraE TrbI TraV TraC_F_IV P-loop_TraG TraU TrbC_Ftype F_T4SS_TraN TraF TraH TraG_N TrwB_AAD_bind TraG-D_C
OX030750.1	13	13	contiguous	26129	5410	TraE TrbI TraV TraC_F_IV P-loop_TraG TraU TrbC_Ftype F_T4SS_TraN TraF TraH TraG_N TrwB_AAD_bind TraG-D_C
NZ_CP042572.1	13	13	contiguous	25996	4186	TraE TrbI TraV TraC_F_IV P-loop_TraG TraU TrbC_Ftype F_T4SS_TraN TraF TraH TraG_N TrwB_AAD_bind TraG-D_C
OW849341.1	13	10	split_2	309411	274738	TraE TrbI TraV TraC_F_IV P-loop_TraG TrbC_Ftype TraU F_T4SS_TraN TrwB_AAD_bind TraG-D_C
NZ_CP043903.1	13	10	split_3	292266	173652	TraV TraC_F_IV P-loop_TraG TrbC_Ftype TraU F_T4SS_TraN TrbI TrwB_AAD_bind TraG-D_C TraE
NZ_AP028315.1	13	7	split_4	291725	97444	TraE TraV TraC_F_IV P-loop_TraG TrbC_Ftype TraU F_T4SS_TraN
NZ_CP095656.1	13	13	contiguous	24722	4359	TraE TrbI TraV TraC_F_IV P-loop_TraG TraU TrbC_Ftype F_T4SS_TraN TraF TraH TraG_N TrwB_AAD_bind TraG-D_C
NZ_MN598004.1	13	10	split_2	138810	102356	TrwB_AAD_bind TraG-D_C TraE TrbI TraV TraC_F_IV P-loop_TraG TrbC_Ftype TraU F_T4SS_TraN
NZ_AP018723.1	13	11	split_2	64452	39899	TraU TrbC_Ftype TraE TrbI TraV TraC_F_IV P-loop_TraG TraF TraH TraG_N F_T4SS_TraN
NZ_CP062177.1	13	13	contiguous	24109	9262	TrwB_AAD_bind TraG-D_C TraE TrbI TraV TraC_F_IV P-loop_TraG TraU TrbC_Ftype F_T4SS_TraN TraF TraH TraG_N
OW969710.1	13	13	contiguous	24727	4928	TraE TrbI TraV TraC_F_IV P-loop_TraG TraU TrbC_Ftype F_T4SS_TraN TraF TraH TraG_N TrwB_AAD_bind TraG-D_C
NZ_CP012566.1	13	13	contiguous	23013	5428	TraE TrbI TraV TraC_F_IV P-loop_TraG TraU TrbC_Ftype F_T4SS_TraN TraF TraH TraG_N TrwB_AAD_bind TraG-D_C
OQ623312.1	13	10	split_3	197436	115575	TrbC_Ftype TraU F_T4SS_TraN TrwB_AAD_bind TraG-D_C TraE TrbI TraV TraC_F_IV P-loop_TraG
CP052358.1	11	11	contiguous	19264	5097	TraE TrbI TraV TraC_F_IV P-loop_TraG TraU TrbC_Ftype F_T4SS_TraN TraF TrwB_AAD_bind TraG-D_C
NZ_CP033094.1	13	11	split_3	133214	92481	TraF TraH TraG_N TraE TrbI TraV TraC_F_IV P-loop_TraG TrbC_Ftype TraU F_T4SS_TraN
NZ_AP027601.1	13	13	contiguous	26379	8440	TraE TrbI TraV TraC_F_IV P-loop_TraG TraU TrbC_Ftype F_T4SS_TraN TraF TraH TraG_N TrwB_AAD_bind TraG-D_C
CP057739.1	13	10	split_2	204476	162330	TraE TrbI TraV TraC_F_IV P-loop_TraG TrbC_Ftype TraU F_T4SS_TraN TrwB_AAD_bind TraG-D_C
NZ_CP091564.1	13	10	split_3	230992	188011	TraE TrbI TraV TraC_F_IV P-loop_TraG TrbC_Ftype TraU F_T4SS_TraN TrwB_AAD_bind TraG-D_C
NZ_CP098235.1	13	13	contiguous	23804	4529	TraE TrbI TraV TraC_F_IV P-loop_TraG TraU TrbC_Ftype F_T4SS_TraN TraF TraH TraG_N TrwB_AAD_bind TraG-D_C
NZ_CP137372.1	13	10	split_2	167352	132697	TrwB_AAD_bind TraG-D_C TraE TrbI TraV TraC_F_IV P-loop_TraG TrbC_Ftype TraU F_T4SS_TraN
NZ_CP098339.1	13	13	contiguous	25831	6190	TraE TrbI TraV TraC_F_IV P-loop_TraG TraU TrbC_Ftype F_T4SS_TraN TraF TraH TraG_N TrwB_AAD_bind TraG-D_C
CP088530.1	13	13	contiguous	20775	4328	TraE TrbI TraV TraC_F_IV P-loop_TraG TraU TrbC_Ftype F_T4SS_TraN TraF TraH TraG_N TrwB_AAD_bind TraG-D_C
NZ_CP030782.1	12	12	contiguous	16440	3636	TraE TrbI TraV TraC_F_IV P-loop_TraG TrwB_AAD_bind TraU TrbC_Ftype F_T4SS_TraN TraF TraH TraG_N
NZ_CP028717.1	13	13	contiguous	24952	5134	TraE TrbI TraV TraC_F_IV P-loop_TraG TraU TrbC_Ftype F_T4SS_TraN TraF TraH TraG_N TrwB_AAD_bind TraG-D_C
NZ_CP061338.1	13	13	contiguous	23311	4935	TraE TrbI TraV TraC_F_IV P-loop_TraG TraU TrbC_Ftype F_T4SS_TraN TraF TraH TraG_N TrwB_AAD_bind TraG-D_C
NZ_AP021930.1	13	13	contiguous	26110	5411	TraE TrbI TraV TraC_F_IV P-loop_TraG TraU TrbC_Ftype F_T4SS_TraN TraF TraH TraG_N TrwB_AAD_bind TraG-D_C
CP052148.1	13	13	contiguous	26129	5410	TraE TrbI TraV TraC_F_IV P-loop_TraG TraU TrbC_Ftype F_T4SS_TraN TraF TraH TraG_N TrwB_AAD_bind TraG-D_C
NZ_CP039855.1	12	12	contiguous	19684	4476	TrbI TraV TraC_F_IV P-loop_TraG TraU TrbC_Ftype F_T4SS_TraN TraF TraH TraG_N TrwB_AAD_bind TraG-D_C
NZ_CP117734.1	13	13	contiguous	25455	5626	TraE TrbI TraV TraC_F_IV P-loop_TraG TraU TrbC_Ftype F_T4SS_TraN TraF TraH TraG_N TrwB_AAD_bind TraG-D_C
NZ_MN891677.1	13	13	split_2	136587	118627	TrwB_AAD_bind TraG-D_C TraE TrbI TraV TraC_F_IV P-loop_TraG TraU TrbC_Ftype F_T4SS_TraN TraF TraH TraG_N
NC_003905.1	13	13	contiguous	37571	17292	TrwB_AAD_bind TraG-D_C TraE TrbI TraV TraC_F_IV P-loop_TraG TrbC_Ftype TraU TraF TraH TraG_N F_T4SS_TraN
NZ_OW849378.1	13	13	contiguous	22385	3682	TraE TrbI TraV TraC_F_IV P-loop_TraG TraU TrbC_Ftype F_T4SS_TraN TraF TraH TraG_N TrwB_AAD_bind TraG-D_C
NZ_CP013346.1	12	10	split_2	84467	69085	TraE TrbI TraC_F_IV P-loop_TraG TraU TrbC_Ftype F_T4SS_TraN TraF TraH TraG_N
NZ_LT985249.1	13	13	split_2	84368	55980	TraF TraH TraG_N TrwB_AAD_bind TraG-D_C TraE TrbI TraV TraC_F_IV P-loop_TraG TrbC_Ftype TraU F_T4SS_TraN
NZ_CP099326.1	13	13	split_2	103567	82598	TraV TraC_F_IV P-loop_TraG TraU TrbC_Ftype F_T4SS_TraN TraF TraH TraG_N TrwB_AAD_bind TraG-D_C TraE TrbI
NZ_CP135234.1	13	13	contiguous	25092	5283	TraE TrbI TraV TraC_F_IV P-loop_TraG TraU TrbC_Ftype F_T4SS_TraN TraF TraH TraG_N TrwB_AAD_bind TraG-D_C
CP056472.1	13	13	contiguous	22872	5067	TraE TrbI TraV TraC_F_IV P-loop_TraG TraU TrbC_Ftype F_T4SS_TraN TraF TraH TraG_N TrwB_AAD_bind TraG-D_C
NZ_CP029740.1	13	13	split_2	100401	76874	TraG_N TrwB_AAD_bind TraG-D_C TraE TrbI TraV TraC_F_IV P-loop_TraG TraU TrbC_Ftype F_T4SS_TraN TraF TraH
NZ_CP090391.1	13	13	contiguous	22560	4600	TraE TrbI TraV TraC_F_IV P-loop_TraG TraU TrbC_Ftype F_T4SS_TraN TraF TraH TraG_N TrwB_AAD_bind TraG-D_C
NZ_CP110259.1	13	13	contiguous	21775	3693	TraE TrbI TraV TraC_F_IV P-loop_TraG TraU TrbC_Ftype F_T4SS_TraN TraF TraH TraG_N TrwB_AAD_bind TraG-D_C
NZ_CP033647.1	13	13	contiguous	39481	16164	TrwB_AAD_bind TraG-D_C TraE TrbI TraV TraC_F_IV P-loop_TraG TraU TrbC_Ftype F_T4SS_TraN TraF TraH TraG_N
NZ_MH061195.1	13	13	split_2	78161	49775	TrwB_AAD_bind TraG-D_C TraE TrbI TraV TraC_F_IV P-loop_TraG TrbC_Ftype TraU F_T4SS_TraN TraF TraH TraG_N
NZ_CP019446.1	13	13	contiguous	26715	5459	TraE TrbI TraV TraC_F_IV P-loop_TraG TraU TrbC_Ftype F_T4SS_TraN TraF TraH TraG_N TrwB_AAD_bind TraG-D_C
NZ_CP056236.1	13	13	split_2	137044	94177	TrbI TrwB_AAD_bind TraG-D_C TraE TraV TraC_F_IV P-loop_TraG TrbC_Ftype TraU TraF TraH TraG_N F_T4SS_TraN
CP137924.1	13	13	contiguous	26129	5410	TraE TrbI TraV TraC_F_IV P-loop_TraG TraU TrbC_Ftype F_T4SS_TraN TraF TraH TraG_N TrwB_AAD_bind TraG-D_C
NZ_CP089393.1	13	11	split_3	160189	113744	TraE TrbI TraV TraC_F_IV P-loop_TraG TrbC_Ftype TraU F_T4SS_TraN TraF TraH TraG_N
NZ_CP109930.1	13	13	contiguous	24039	5094	TraE TrbI TraV TraC_F_IV P-loop_TraG TraU TrbC_Ftype F_T4SS_TraN TraF TraH TraG_N TrwB_AAD_bind TraG-D_C
CP088531.1	12	12	split_2	63829	47285	TrwB_AAD_bind TraG-D_C TraE TrbI TraV TraC_F_IV P-loop_TraG TraU TrbC_Ftype F_T4SS_TraN TraF TraH
NZ_CP122717.1	12	12	split_2	92578	74804	TraG_N TrwB_AAD_bind TraG-D_C TraE TrbI TraV TraC_F_IV P-loop_TraG TraU TrbC_Ftype F_T4SS_TraN TraF
NZ_FO834904.1	13	13	contiguous	22508	4663	TraE TrbI TraV TraC_F_IV P-loop_TraG TraU TrbC_Ftype F_T4SS_TraN TraF TraH TraG_N TrwB_AAD_bind TraG-D_C
LC744500.1	13	10	split_3	219279	175235	TraE TrbI TraV TraC_F_IV P-loop_TraG TrbC_Ftype TraU F_T4SS_TraN TrwB_AAD_bind TraG-D_C
AP023266.1	13	13	contiguous	25040	5198	TraE TrbI TraV TraC_F_IV P-loop_TraG TraU TrbC_Ftype F_T4SS_TraN TraF TraH TraG_N TrwB_AAD_bind TraG-D_C
NZ_MH917285.1	13	12	split_3	147189	60549	TrwB_AAD_bind TraG-D_C TraE TrbI TraV TraC_F_IV P-loop_TraG TrbC_Ftype TraU TraF TraH TraG_N
NZ_CP090458.1	13	13	contiguous	23008	5094	TraE TrbI TraV TraC_F_IV P-loop_TraG TraU TrbC_Ftype F_T4SS_TraN TraF TraH TraG_N TrwB_AAD_bind TraG-D_C
NZ_MK192097.1	13	13	contiguous	22859	5313	TraE TrbI TraV TraC_F_IV P-loop_TraG TraU TrbC_Ftype F_T4SS_TraN TraF TraH TraG_N TrwB_AAD_bind TraG-D_C
CP110564.1	13	13	contiguous	23336	5428	TraE TrbI TraV TraC_F_IV P-loop_TraG TraU TrbC_Ftype F_T4SS_TraN TraF TraH TraG_N TrwB_AAD_bind TraG-D_C
NZ_CP015139.1	13	13	split_2	81995	53655	TraF TraH TraG_N TrwB_AAD_bind TraG-D_C TraE TrbI TraV TraC_F_IV P-loop_TraG TrbC_Ftype TraU F_T4SS_TraN
NZ_CP027056.1	10	10	contiguous	16592	4082	TraE TrbI TraV TraC_F_IV P-loop_TraG TraU TrbC_Ftype F_T4SS_TraN TraF TraH
NZ_OY856300.1	13	12	contiguous	20801	4351	TraE TrbI TraC_F_IV P-loop_TraG TraU TrbC_Ftype F_T4SS_TraN TraF TraH TraG_N TrwB_AAD_bind TraG-D_C
NZ_CP127508.1	13	13	contiguous	24727	4928	TraE TrbI TraV TraC_F_IV P-loop_TraG TraU TrbC_Ftype F_T4SS_TraN TraF TraH TraG_N TrwB_AAD_bind TraG-D_C
NZ_CP021540.1	13	13	contiguous	24415	5273	TraE TrbI TraV TraC_F_IV P-loop_TraG TraU TrbC_Ftype F_T4SS_TraN TraF TraH TraG_N TrwB_AAD_bind TraG-D_C
CP128718.1	13	11	split_2	51612	33717	TraE TrbI TraV TraC_F_IV P-loop_TraG TraU TrbC_Ftype F_T4SS_TraN TraF TraH TraG_N
NZ_AP024564.1	12	12	split_2	116039	97394	TraG-D_C TraE TrbI TraV TraC_F_IV P-loop_TraG TrbC_Ftype TraU F_T4SS_TraN TraF TraH TraG_N
NZ_CP128610.1	13	10	split_3	112214	67795	TrwB_AAD_bind TraG-D_C TraE TrbI TraV TraC_F_IV P-loop_TraG TrbC_Ftype TraU F_T4SS_TraN
NZ_OR724973.1	8	8	split_2	31098	22171	TraE TrbI TraV TraC_F_IV P-loop_TraG TrbC_Ftype TraU F_T4SS_TraN
NZ_MN476097.1	8	8	contiguous	31927	19430	TraE TrbI TraV TraC_F_IV P-loop_TraG TrbC_Ftype TraU F_T4SS_TraN
NZ_CP056879.1	13	13	contiguous	24699	4898	TraE TrbI TraV TraC_F_IV P-loop_TraG TraU TrbC_Ftype F_T4SS_TraN TraF TraH TraG_N TrwB_AAD_bind TraG-D_C
NZ_CP015441.1	12	10	split_2	98544	83340	TraE TrbI TraC_F_IV P-loop_TraG TraU TrbC_Ftype F_T4SS_TraN TraF TraH TraG_N
NZ_CP072998.1	13	13	contiguous	22711	5117	TraE TrbI TraV TraC_F_IV P-loop_TraG TraU TrbC_Ftype F_T4SS_TraN TraF TraH TraG_N TrwB_AAD_bind TraG-D_C
NZ_CP015823.1	13	13	contiguous	24416	5273	TraE TrbI TraV TraC_F_IV P-loop_TraG TraU TrbC_Ftype F_T4SS_TraN TraF TraH TraG_N TrwB_AAD_bind TraG-D_C
NZ_CP107479.1	13	13	contiguous	24058	5438	TraE TrbI TraV TraC_F_IV P-loop_TraG TraU TrbC_Ftype F_T4SS_TraN TraF TraH TraG_N TrwB_AAD_bind TraG-D_C
NZ_MW911671.1	13	10	split_2	250687	216032	TraE TrbI TraV TraC_F_IV P-loop_TraG TrbC_Ftype TraU F_T4SS_TraN TrwB_AAD_bind TraG-D_C
NZ_CP082828.1	13	13	contiguous	22985	5094	TraE TrbI TraV TraC_F_IV P-loop_TraG TraU TrbC_Ftype F_T4SS_TraN TraF TraH TraG_N TrwB_AAD_bind TraG-D_C
NZ_MH105050.1	13	13	split_3	155261	77412	TraE TrbI TraV TraC_F_IV P-loop_TraG TrbC_Ftype TraU F_T4SS_TraN TraF TraH TraG_N TrwB_AAD_bind TraG-D_C
NZ_OP242240.1	13	13	contiguous	22595	3748	TraE TrbI TraV TraC_F_IV P-loop_TraG TraU TrbC_Ftype F_T4SS_TraN TraF TraH TraG_N TrwB_AAD_bind TraG-D_C
NZ_AP025843.1	13	10	split_3	249249	205204	TraE TrbI TraV TraC_F_IV P-loop_TraG TrbC_Ftype TraU F_T4SS_TraN TrwB_AAD_bind TraG-D_C
NZ_CP092337.1	13	13	contiguous	27470	5272	TraE TrbI TraV TraC_F_IV P-loop_TraG TraU TrbC_Ftype F_T4SS_TraN TraF TraH TraG_N TrwB_AAD_bind TraG-D_C
NZ_CP061915.1	13	13	contiguous	23814	5038	TraE TrbI TraV TraC_F_IV P-loop_TraG TraU TrbC_Ftype F_T4SS_TraN TraF TraH TraG_N TrwB_AAD_bind TraG-D_C
NC_017570.1	13	13	contiguous	17647	3649	TraE TrbI TraV TraC_F_IV P-loop_TraG TraU TrbC_Ftype F_T4SS_TraN TraF TraH TraG_N TrwB_AAD_bind TraG-D_C
NZ_CP134354.1	13	13	contiguous	22322	3657	TraE TrbI TraV TraC_F_IV P-loop_TraG TraU TrbC_Ftype F_T4SS_TraN TraF TraH TraG_N TrwB_AAD_bind TraG-D_C
NZ_CP083513.1	13	13	contiguous	20798	4351	TraE TrbI TraV TraC_F_IV P-loop_TraG TraU TrbC_Ftype F_T4SS_TraN TraF TraH TraG_N TrwB_AAD_bind TraG-D_C
NZ_CP097191.1	13	9	split_3	178548	120424	TraE TraV TraC_F_IV P-loop_TraG TrbC_Ftype TraU F_T4SS_TraN TrwB_AAD_bind TraG-D_C
NZ_AP025501.1	13	13	split_2	41037	26647	TraE TrbI TraV TraC_F_IV P-loop_TraG TraU TrbC_Ftype F_T4SS_TraN TraF TraH TraG_N TrwB_AAD_bind TraG-D_C
NZ_CP114307.1	13	13	contiguous	24566	4416	TraE TrbI TraV TraC_F_IV P-loop_TraG TraU TrbC_Ftype F_T4SS_TraN TraF TraH TraG_N TrwB_AAD_bind TraG-D_C
CP139239.1	8	8	contiguous	10337	3636	TraE TrbI TraV TraC_F_IV P-loop_TraG TrwB_AAD_bind TraU TrbC_Ftype
OW967232.1	13	13	contiguous	26344	6046	TraE TrbI TraV TraC_F_IV P-loop_TraG TraU TrbC_Ftype F_T4SS_TraN TraF TraH TraG_N TrwB_AAD_bind TraG-D_C
NZ_CP054941.1	5	5	contiguous	2716	1685	TraE TraV TraC_F_IV P-loop_TraG TrwB_AAD_bind
NZ_CP093318.1	13	13	split_2	74883	50014	TrwB_AAD_bind TraG-D_C TraE TrbI TraV TraC_F_IV P-loop_TraG TrbC_Ftype TraU F_T4SS_TraN TraF TraH TraG_N
NZ_CP123041.1	13	13	contiguous	23206	5311	TraE TrbI TraV TraC_F_IV P-loop_TraG TraU TrbC_Ftype F_T4SS_TraN TraF TraH TraG_N TrwB_AAD_bind TraG-D_C
NZ_CP100745.1	13	10	split_3	223811	181084	TraE TrbI TraV TraC_F_IV P-loop_TraG TrbC_Ftype TraU F_T4SS_TraN TrwB_AAD_bind TraG-D_C
NZ_CP063841.1	12	10	contiguous	30593	10634	TraE TrbI TraC_F_IV P-loop_TraG TraU TrbC_Ftype F_T4SS_TraN TraF TraH TraG_N
NZ_CP014776.1	13	10	split_2	115331	80661	TraE TrbI TraV TraC_F_IV P-loop_TraG TrbC_Ftype TraU F_T4SS_TraN TrwB_AAD_bind TraG-D_C
NZ_CP039062.1	13	13	contiguous	17395	4298	TraE TrbI TraV TraC_F_IV P-loop_TraG TraU TrbC_Ftype F_T4SS_TraN TraF TraH TraG_N TrwB_AAD_bind TraG-D_C
NZ_ON209152.1	13	13	split_2	113867	89031	TrwB_AAD_bind TraG-D_C TraE TrbI TraV TraC_F_IV P-loop_TraG TrbC_Ftype TraU F_T4SS_TraN TraF TraH TraG_N
CP052526.1	13	13	contiguous	25445	4970	TraE TrbI TraV TraC_F_IV P-loop_TraG TraU TrbC_Ftype F_T4SS_TraN TraF TraH TraG_N TrwB_AAD_bind TraG-D_C
CP049164.1	12	12	contiguous	18878	3639	TraE TrbI TraV TraC_F_IV P-loop_TraG TrwB_AAD_bind TraU TrbC_Ftype F_T4SS_TraN TraF TraH TraG_N
NZ_MK413720.1	13	10	split_3	249237	190737	TraE TrbI TraV TraC_F_IV P-loop_TraG TrbC_Ftype TraU F_T4SS_TraN TrwB_AAD_bind TraG-D_C
LC744503.1	7	4	split_2	31006	25222	TraE TraV TraC_F_IV P-loop_TraG
NZ_CP115362.1	13	13	contiguous	22385	3682	TraE TrbI TraV TraC_F_IV P-loop_TraG TraU TrbC_Ftype F_T4SS_TraN TraF TraH TraG_N TrwB_AAD_bind TraG-D_C
NC_017630.1	13	13	contiguous	24567	4416	TraE TrbI TraV TraC_F_IV P-loop_TraG TraU TrbC_Ftype F_T4SS_TraN TraF TraH TraG_N TrwB_AAD_bind TraG-D_C
OW849038.1	13	13	contiguous	24627	5272	TraE TrbI TraV TraC_F_IV P-loop_TraG TraU TrbC_Ftype F_T4SS_TraN TraF TraH TraG_N TrwB_AAD_bind TraG-D_C
CP088805.1	13	13	contiguous	22483	3682	TraE TrbI TraV TraC_F_IV P-loop_TraG TraU TrbC_Ftype F_T4SS_TraN TraF TraH TraG_N TrwB_AAD_bind TraG-D_C
NZ_CP062214.1	13	13	contiguous	25251	7657	TraE TrbI TraV TraC_F_IV P-loop_TraG TraU TrbC_Ftype F_T4SS_TraN TraF TraH TraG_N TrwB_AAD_bind TraG-D_C
NZ_CP077841.1	13	13	contiguous	27762	12720	TrwB_AAD_bind TraG-D_C TraE TrbI TraV TraC_F_IV P-loop_TraG TraU TrbC_Ftype F_T4SS_TraN TraF TraH TraG_N
NZ_CP025919.1	13	13	contiguous	23275	5088	TraE TrbI TraV TraC_F_IV P-loop_TraG TraU TrbC_Ftype F_T4SS_TraN TraF TraH TraG_N TrwB_AAD_bind TraG-D_C
NZ_CP110937.1	13	13	contiguous	24416	5273	TraE TrbI TraV TraC_F_IV P-loop_TraG TraU TrbC_Ftype F_T4SS_TraN TraF TraH TraG_N TrwB_AAD_bind TraG-D_C
NZ_MK370990.1	13	13	split_2	141382	121556	TrwB_AAD_bind TraG-D_C TraE TrbI TraV TraC_F_IV P-loop_TraG TraU TrbC_Ftype F_T4SS_TraN TraF TraH TraG_N
NZ_MH491967.1	13	13	contiguous	31623	12203	TrwB_AAD_bind TraG-D_C TraE TrbI TraV TraC_F_IV P-loop_TraG TrbC_Ftype TraU TraF TraH TraG_N F_T4SS_TraN
NZ_CP124472.1	13	13	contiguous	24566	4416	TraE TrbI TraV TraC_F_IV P-loop_TraG TraU TrbC_Ftype F_T4SS_TraN TraF TraH TraG_N TrwB_AAD_bind TraG-D_C
NZ_CP107460.1	13	13	contiguous	24370	4526	TraE TrbI TraV TraC_F_IV P-loop_TraG TraU TrbC_Ftype F_T4SS_TraN TraF TraH TraG_N TrwB_AAD_bind TraG-D_C
NZ_CP043587.1	13	13	contiguous	25320	5368	TraE TrbI TraV TraC_F_IV P-loop_TraG TraU TrbC_Ftype F_T4SS_TraN TraF TraH TraG_N TrwB_AAD_bind TraG-D_C
NZ_CP083652.1	13	13	contiguous	26238	4621	TraE TrbI TraV TraC_F_IV P-loop_TraG TraU TrbC_Ftype F_T4SS_TraN TraF TraH TraG_N TrwB_AAD_bind TraG-D_C
NZ_MF190369.1	13	13	contiguous	19888	4490	TraE TrbI TraV TraC_F_IV P-loop_TraG TraU TrbC_Ftype F_T4SS_TraN TraF TraH TraG_N TrwB_AAD_bind TraG-D_C
NZ_CP015836.1	13	13	split_2	127408	105854	TraF TraH TraG_N TrwB_AAD_bind TraG-D_C TraE TrbI TraV TraC_F_IV P-loop_TraG TraU TrbC_Ftype F_T4SS_TraN
