accession	stratum	offset	traY_bit	excA_bit	excA_aa
NZ_CP069481.1	order#1	1	887.2	276.8	216
NZ_CP069659.1	order#1	1	886.1	232.5	166
NZ_CP069803.1	order#4+	1	795.4	169.2	210
NZ_CP069867.1	order#1	1	892.9	283.0	217
NZ_CP069944.1	order#3	1	702.4	149.6	210
NZ_CP069958.1	order#1	1	825.7	296.8	220
NZ_CP069972.1	order#4+	1	887.2	276.8	216
NZ_CP069999.1	order#1	1	894.6	256.3	216
NZ_CP070009.1	order#1	1	887.2	276.8	216
NZ_CP070070.1	order#1	1	887.2	276.8	216
NZ_CP070112.1	split_2	1	886.1	234.0	166
NZ_CP070178.1	split_2	1	759.3	113.5	207
NZ_CP070299.1	order#1	1	950.8	290.2	220
NZ_CP070438.1	order#3	1	757.3	116.0	207
NZ_CP070922.1	order#1	1	908.9	295.9	220
NZ_CP071076.1	order#1	1	873.5	232.7	204
NZ_CP071443.1	order#1	1	915.6	296.3	220
NZ_CP071713.1	order#1	1	894.5	263.0	215
NZ_CP071804.1	order#3	2	657.7	107.3	226
NZ_CP071822.1	order#1	1	951.6	290.2	220
NZ_CP071824.1	order#3	1	759.3	113.5	207
NZ_CP072743.1	order#3	3	655.4	112.5	224
NZ_CP072978.1	order#1	1	948.0	289.9	220
NZ_CP073009.1	order#4+	1	807.9	169.7	210
NZ_CP073375.1	order#3	1	759.3	113.5	207
NZ_CP073909.1	order#4+	1	951.6	254.0	180
NZ_CP074021.1	order#1	1	887.2	276.8	216
NZ_CP074036.1	order#1	1	877.8	232.7	204
NZ_CP074123.1	order#1	1	887.2	276.8	216
NZ_CP074145.1	order#3	3	657.1	112.8	224
NZ_CP074429.1	order#1	1	948.0	289.9	220
NZ_CP075376.1	order#1	1	950.8	290.2	220
NZ_CP075377.1	order#1	1	950.8	290.2	220
NZ_CP075629.1	order#1	1	876.7	231.5	204
NZ_CP075634.1	order#1	1	894.9	253.3	216
NZ_CP075654.1	order#1	1	888.2	255.4	216
NZ_CP075666.1	order#1	1	891.8	262.8	215
NZ_CP075687.1	order#3	3	828.2	285.6	214
NZ_CP075699.1	order#1	1	898.2	256.3	216
NZ_CP075740.1	order#1	1	950.8	289.5	220
NZ_CP075854.1	split_2	1	898.5	281.0	217
NZ_CP075892.1	order#3	1	757.3	116.0	207
NZ_CP076054.1	order#1	1	885.1	276.8	216
NZ_CP076055.1	order#1	1	949.5	289.9	220
NZ_CP076056.1	order#1	1	887.2	276.8	216
NZ_CP076261.1	order#1	1	407.4	232.7	204
NZ_CP076278.1	order#1	1	407.4	232.7	204
NZ_CP076281.1	order#1	1	949.3	288.2	220
NZ_CP076314.1	order#1	1	886.1	232.5	166
NZ_CP076647.1	split_2	1	877.8	233.6	204
NZ_CP076710.1	order#1	1	887.2	276.8	216
NZ_CP077263.1	order#4+	1	797.7	168.5	210
NZ_CP077333.1	split_2	1	806.9	167.6	205
NZ_CP077430.1	order#3	1	759.3	113.5	207
NZ_CP077674.1	order#4+	1	791.8	205.6	209
NZ_CP077776.1	order#3	1	759.3	113.5	207
NZ_CP078125.1	order#3	1	759.3	113.5	207
NZ_CP080057.1	order#1	1	897.9	278.4	217
NZ_CP080150.1	order#1	1	950.8	290.2	220
NZ_CP080158.1	order#1	1	895.6	255.8	216
NZ_CP080166.1	order#1	1	895.6	255.8	216
NZ_CP080167.1	order#1	1	901.4	281.0	217
NZ_CP080174.1	order#1	1	950.1	289.5	220
NZ_CP080225.1	order#1	1	908.9	296.8	220
NZ_CP080258.1	order#1	1	887.2	276.8	216
NZ_CP080261.1	order#4+	1	882.2	268.0	215
NZ_CP080262.1	order#1	1	894.8	253.1	216
NZ_CP080300.1	order#3	1	759.3	113.5	207
NZ_CP080306.1	order#3	1	759.3	113.5	207
NZ_CP080312.1	order#3	1	759.3	113.5	207
NZ_CP080365.1	order#1	1	951.2	289.9	220
NZ_CP081194.1	order#1	1	927.3	288.5	220
NZ_CP081822.1	order#3	1	759.3	113.5	207
NZ_CP081888.1	order#1	1	905.1	294.7	220
NZ_CP082058.1	split_2	1	895.5	283.0	217
NZ_CP082089.1	split_2	1	892.9	283.0	217
NZ_CP082096.1	split_2	1	893.0	262.1	215
NZ_CP082105.1	split_2	1	873.5	232.7	204
NZ_CP082210.1	order#3	1	758.4	113.5	207
NZ_CP082344.1	order#3	1	734.6	175.6	221
NZ_CP082756.1	order#3	1	759.3	113.5	207
NZ_CP082762.1	order#3	1	759.3	113.5	207
NZ_CP082768.1	order#3	1	759.3	113.5	207
NZ_CP082793.1	order#1	1	948.0	289.9	220
NZ_CP082826.1	split_2	1	948.0	289.9	220
NZ_CP082829.1	split_2	1	951.2	289.9	220
NZ_CP082899.1	order#3	1	759.3	113.5	207
NZ_CP083034.1	order#3	1	757.3	116.0	207
NZ_CP083490.1	order#4+	1	951.2	289.9	220
NZ_CP083499.1	order#1	1	951.5	289.9	220
NZ_CP083514.1	order#4+	1	887.2	276.8	216
NZ_CP083707.1	order#1	1	911.6	296.0	220
NZ_CP083890.1	split_2	1	950.8	289.5	220
NZ_CP084640.1	order#3	2	657.7	107.3	226
NZ_CP084649.1	order#3	2	657.7	107.3	226
NZ_CP084651.1	order#3	2	657.7	107.3	226
NZ_CP084653.1	split_2	2	657.7	107.3	226
NZ_CP084708.1	order#3	1	759.3	113.5	207
NZ_CP085621.1	order#1	1	948.0	289.9	220
NZ_CP085686.1	split_2	2	840.6	278.1	216
NZ_CP085700.1	order#1	1	948.0	289.9	220
NZ_CP085781.1	order#4+	1	798.7	173.3	210
NZ_CP085892.1	order#3	1	759.3	113.5	207
NZ_CP085982.1	order#1	1	887.2	276.8	216
NZ_CP085984.1	order#1	1	887.2	276.8	216
NZ_CP086260.1	order#1	1	894.6	256.3	216
NZ_CP086471.1	order#1	1	950.8	289.5	220
NZ_CP086481.1	order#1	1	950.8	289.5	220
NZ_CP086491.1	order#1	1	950.8	289.5	220
NZ_CP086501.1	order#1	1	950.8	289.5	220
NZ_CP086511.1	order#1	1	950.8	289.5	220
NZ_CP086607.1	order#4+	1	950.8	289.5	220
NZ_CP087145.1	order#3	1	759.3	113.5	207
NZ_CP087149.1	order#3	1	759.3	113.5	207
NZ_CP087154.1	order#3	1	759.3	113.5	207
NZ_CP087566.1	order#1	1	950.8	289.5	220
NZ_CP087626.1	order#3	1	759.3	113.5	207
NZ_CP087632.1	order#1	1	877.8	233.6	204
NZ_CP087642.1	split_2	1	759.3	113.5	207
NZ_CP088122.1	order#3	1	759.3	113.5	207
NZ_CP088128.1	order#3	1	759.3	113.5	207
NZ_CP088902.1	order#1	1	887.2	276.8	216
NZ_CP088994.1	order#3	1	759.3	113.5	207
NZ_CP089429.1	split_2	1	759.3	113.5	207
NZ_CP089878.1	order#3	1	759.3	113.5	207
NZ_CP089935.1	split_2	3	662.6	123.0	226
NZ_CP089943.1	split_2	3	662.6	123.0	226
NZ_CP090127.1	order#3	1	758.4	113.5	207
NZ_CP090346.1	order#3	1	759.0	113.5	207
NZ_CP090435.1	order#3	1	759.0	113.5	207
NZ_CP090465.1	order#3	1	759.3	113.5	207
NZ_CP090532.1	order#1	1	877.8	233.6	204
NZ_CP090538.1	split_2	1	895.5	283.0	217
NZ_CP090933.1	split_2	1	759.3	113.5	207
NZ_CP090964.1	order#3	3	674.7	114.2	226
NZ_CP091042.1	order#1	1	885.1	275.6	216
NZ_CP091071.1	order#3	1	759.3	113.5	207
NZ_CP091146.1	order#3	2	789.0	292.4	216
NZ_CP091472.1	order#3	1	754.6	113.5	207
NZ_CP091573.1	order#1	1	948.0	289.9	220
NZ_CP091653.1	order#1	1	950.8	289.5	220
NZ_CP091675.1	split_2	1	948.0	289.9	220
NZ_CP091678.1	order#1	1	885.1	276.8	216
NZ_CP091684.1	order#1	1	895.5	283.0	217
NZ_CP091698.1	split_2	1	948.0	289.9	220
NZ_CP092041.1	order#1	1	887.2	276.8	216
NZ_CP092253.1	order#1	1	941.0	285.4	220
NZ_CP092467.1	order#4+	1	798.1	169.0	210
NZ_CP092789.1	order#3	1	759.3	113.5	207
NZ_CP092796.1	order#3	1	759.3	113.5	207
NZ_CP092912.1	order#1	1	916.9	295.1	220
NZ_CP092920.1	order#3	1	806.8	256.5	219
NZ_CP093069.1	order#1	1	895.2	256.3	216
NZ_CP093229.1	order#1	1	895.5	283.0	217
NZ_CP093272.1	order#3	1	702.4	149.6	210
NZ_CP093285.1	order#1	1	877.8	233.6	204
NZ_CP093320.1	order#1	1	950.8	289.5	220
NZ_CP093374.1	order#1	1	949.5	289.9	220
NZ_CP093488.1	order#3	1	759.3	113.5	207
NZ_CP093498.1	order#3	1	759.3	113.5	207
NZ_CP093549.1	order#1	1	949.5	289.9	220
NZ_CP094198.1	order#1	1	885.1	276.8	216
NZ_CP094199.1	order#1	1	885.1	276.8	216
NZ_CP094200.1	order#1	1	885.1	276.8	216
NZ_CP094278.1	order#3	1	758.4	113.5	207
NZ_CP094826.1	order#1	1	877.8	233.6	204
NZ_CP094989.1	order#1	1	885.1	276.8	216
NZ_CP095003.1	order#3	1	756.5	112.9	207
NZ_CP095243.1	order#3	1	759.3	113.5	207
NZ_CP095249.1	order#3	1	759.3	113.5	207
NZ_CP095266.1	order#3	1	759.0	113.5	207
NZ_CP095273.1	order#1	2	739.9	232.5	166
NZ_CP095450.1	order#1	1	888.6	251.2	216
NZ_CP095790.1	order#1	1	950.8	289.5	220
NZ_CP095791.1	order#1	1	893.7	283.1	217
NZ_CP096831.1	order#1	1	877.8	233.6	204
NZ_CP096903.1	order#4+	1	891.4	216.5	160
NZ_CP097172.1	order#1	1	887.2	276.8	216
NZ_CP097366.1	order#1	1	895.5	283.0	217
NZ_CP097427.1	order#1	1	950.8	289.5	220
NZ_CP097431.1	order#1	1	950.8	289.5	220
NZ_CP097713.1	order#1	1	908.9	296.8	220
NZ_CP097714.1	split_2	1	888.8	268.3	215
NZ_CP097728.1	order#1	1	908.9	296.8	220
NZ_CP098180.1	order#1	1	950.8	290.2	220
NZ_CP098191.1	order#1	1	887.4	276.8	216
NZ_CP098196.1	order#1	1	877.3	233.6	204
NZ_CP098198.1	order#1	1	877.8	233.6	204
NZ_CP098212.1	order#1	1	877.3	233.6	204
NZ_CP098692.1	order#3	2	659.0	107.3	226
NZ_CP098696.1	order#3	2	659.0	107.3	226
NZ_CP098699.1	order#3	2	659.0	107.3	226
NZ_CP098707.1	order#3	2	659.0	107.3	226
NZ_CP098712.1	order#3	2	659.0	107.3	226
NZ_CP098715.1	order#3	2	659.0	107.3	226
NZ_CP098717.1	order#3	2	659.0	107.3	226
NZ_CP098720.1	order#3	2	659.0	107.3	226
NZ_CP098725.1	order#3	2	659.0	107.3	226
NZ_CP098760.1	split_2	1	951.6	290.2	220
NZ_CP099332.1	order#1	1	950.8	289.5	220
NZ_CP099339.1	order#1	1	885.1	276.8	216
NZ_CP099359.1	order#1	1	908.9	296.8	220
NZ_CP099416.1	order#3	1	759.3	113.5	207
NZ_CP099762.1	order#1	1	949.5	289.9	220
NZ_CP099768.1	order#1	1	950.6	289.1	220
NZ_CP099769.1	order#1	1	886.1	232.5	166
NZ_CP099772.1	order#1	1	885.1	276.8	216
NZ_CP099774.1	order#1	1	892.4	256.3	216
NZ_CP099777.1	order#1	1	890.4	276.8	216
NZ_CP099778.1	order#1	1	948.0	289.9	220
NZ_CP099779.1	order#1	1	877.8	232.7	204
NZ_CP099780.1	order#1	1	885.1	276.8	216
NZ_CP099781.1	order#1	1	950.6	290.6	220
NZ_CP099782.1	order#1	1	873.5	232.7	204
NZ_CP099783.1	order#1	1	916.9	296.3	220
NZ_CP099806.1	order#3	2	659.0	107.3	226
NZ_CP100074.1	order#3	1	759.3	113.5	207
NZ_CP100090.1	order#3	1	759.3	113.5	207
NZ_CP100097.1	order#3	1	759.3	113.5	207
NZ_CP100101.1	order#3	1	759.3	113.5	207
NZ_CP100109.1	split_2	1	759.3	113.5	207
NZ_CP100113.1	order#3	1	759.3	113.5	207
NZ_CP100488.1	order#1	1	911.3	295.5	220
NZ_CP100501.1	order#1	1	889.8	264.2	215
NZ_CP100502.1	order#1	1	885.1	276.7	216
NZ_CP100531.1	order#1	1	885.9	270.2	214
NZ_CP100546.1	order#1	1	885.1	276.7	216
NZ_CP100679.1	order#1	1	951.2	289.9	220
NZ_CP100704.1	order#1	1	951.2	289.9	220
NZ_CP100709.1	order#1	1	951.2	289.9	220
NZ_CP100734.1	order#1	1	908.9	296.8	220
NZ_CP100741.1	order#1	1	951.6	290.2	220
NZ_CP101198.1	order#1	1	877.8	233.6	204
NZ_CP101223.1	order#1	1	877.8	233.6	204
NZ_CP101225.1	order#1	1	886.1	234.0	166
NZ_CP101241.1	order#1	1	887.2	276.8	216
NZ_CP101247.1	order#1	1	887.2	276.8	216
NZ_CP101253.1	order#1	1	887.2	276.8	216
NZ_CP101259.1	order#1	1	887.2	276.8	216
NZ_CP101371.1	order#1	1	948.0	289.9	220
NZ_CP101515.1	order#1	1	950.8	290.2	220
NZ_CP101556.1	split_2	-96	948.0	253.8	178
NZ_CP101767.1	order#3	1	759.0	113.5	207
NZ_CP101772.1	order#3	1	759.0	113.5	207
NZ_CP101783.1	order#3	1	759.0	113.5	207
NZ_CP101788.1	order#3	1	759.0	113.5	207
NZ_CP102188.1	order#3	1	759.3	113.5	207
NZ_CP102194.1	order#3	1	759.3	113.5	207
NZ_CP102394.1	order#3	1	759.0	113.5	207
NZ_CP102633.1	order#1	1	877.8	233.6	204
NZ_CP102641.1	order#3	1	759.3	113.5	207
NZ_CP102740.1	order#1	1	950.8	290.2	220
NZ_CP102839.1	order#3	1	759.0	113.5	207
NZ_CP102856.1	order#1	1	950.3	289.9	220
NZ_CP102990.1	order#3	1	759.3	113.5	207
NZ_CP103318.1	order#3	1	759.3	113.5	207
NZ_CP103332.1	order#1	1	916.9	296.3	220
NZ_CP103470.1	order#1	1	950.8	290.2	220
NZ_CP103505.1	order#1	1	951.6	290.2	220
NZ_CP103522.1	order#1	1	887.2	276.8	216
NZ_CP103535.1	order#1	1	894.2	285.1	217
NZ_CP103546.1	order#1	1	950.8	289.5	220
NZ_CP103572.1	order#1	1	887.3	266.8	214
NZ_CP103590.1	order#1	1	948.0	289.9	220
NZ_CP103594.1	order#1	1	895.2	256.3	216
NZ_CP103624.1	order#1	1	886.1	232.5	166
NZ_CP103628.1	order#1	1	890.9	275.0	216
NZ_CP103647.1	order#1	1	886.3	270.9	214
NZ_CP103661.1	order#1	1	895.5	281.7	217
NZ_CP103772.1	order#1	1	948.0	289.9	220
NZ_CP103792.1	order#1	1	887.2	276.8	216
NZ_CP104024.1	order#3	1	741.0	176.3	223
NZ_CP104082.1	order#1	1	893.2	251.2	216
NZ_CP104118.1	split_2	1	897.3	278.4	217
NZ_CP104314.1	order#3	1	759.0	108.0	206
NZ_CP104512.1	order#1	1	916.9	296.3	220
NZ_CP104518.1	order#1	1	899.6	281.0	217
NZ_CP104525.1	order#1	1	908.9	296.8	220
NZ_CP104541.1	order#1	1	908.9	296.8	220
NZ_CP104594.1	split_2	1	950.3	289.9	220
NZ_CP106669.1	order#1	1	795.4	157.4	210
NZ_CP106763.1	order#3	1	759.0	113.5	207
NZ_CP106960.1	order#1	1	795.4	157.4	210
NZ_CP107011.1	order#1	1	883.5	276.8	216
NZ_CP107045.1	order#1	1	946.1	289.9	220
NZ_CP107046.1	split_2	1	759.3	113.5	207
NZ_CP107060.1	order#1	1	895.8	278.4	217
NZ_CP107136.1	order#1	1	887.2	276.8	216
NZ_CP107139.1	order#1	1	887.2	276.8	216
NZ_CP107157.1	order#1	1	911.6	296.0	220
NZ_CP107180.1	order#1	1	887.2	276.8	216
NZ_CP107186.1	order#1	1	877.8	233.6	204
NZ_CP107236.1	order#1	1	873.5	232.7	204
NZ_CP107288.1	order#1	1	895.5	283.0	217
NZ_CP107293.1	order#3	1	759.3	113.5	207
NZ_CP107299.1	order#3	1	759.3	113.5	207
NZ_CP107316.1	order#3	1	759.3	113.5	207
NZ_CP107324.1	order#3	1	759.0	113.5	207
NZ_CP107331.1	split_2	1	759.0	113.5	207
NZ_CP107338.1	split_2	1	759.0	113.5	207
NZ_CP107349.1	split_2	1	759.0	113.5	207
NZ_CP107376.1	order#3	1	759.0	113.5	207
NZ_CP107387.1	order#3	1	759.0	113.5	207
NZ_CP109675.1	order#4+	1	798.7	173.3	210
NZ_CP109771.1	split_2	1	759.3	113.5	207
NZ_CP109876.1	order#1	1	948.0	290.3	220
NZ_CP109951.1	order#3	1	759.0	113.5	207
NZ_CP109956.1	order#1	1	877.8	233.6	204
NZ_CP109976.1	order#3	1	759.0	113.5	207
NZ_CP110262.1	order#1	1	950.8	289.5	220
NZ_CP110513.1	order#1	1	949.3	288.2	220
NZ_CP110987.1	order#4+	1	797.9	174.5	210
NZ_CP115012.1	order#3	1	759.3	113.5	207
NZ_CP115018.1	order#3	1	759.3	113.5	207
NZ_CP115824.1	order#1	1	877.8	233.6	204
NZ_CP115836.1	order#1	1	951.2	289.9	220
NZ_CP115838.1	order#3	1	759.3	113.5	207
NZ_CP116036.1	split_2	-91	951.2	253.8	178
NZ_CP116068.1	order#1	1	894.6	256.3	216
NZ_CP116073.1	order#1	1	895.5	283.0	217
NZ_CP116076.1	order#1	1	951.2	289.9	220
NZ_CP116086.1	order#1	1	895.5	283.0	217
NZ_CP116090.1	order#1	1	948.0	289.9	220
NZ_CP116096.1	order#1	1	948.0	289.9	220
NZ_CP116109.1	order#1	1	877.8	233.6	204
NZ_CP116112.1	order#1	1	877.8	233.6	204
NZ_CP116117.1	order#1	1	887.2	276.8	216
NZ_CP116125.1	order#1	1	886.1	232.5	166
NZ_CP116171.1	order#1	1	895.5	283.0	217
NZ_CP116200.1	order#1	1	948.0	289.9	220
NZ_CP116217.1	order#3	1	756.5	112.9	207
NZ_CP116242.1	split_2	1	908.9	296.8	220
NZ_CP116493.1	order#3	1	759.3	113.5	207
NZ_CP116906.1	split_2	1	759.0	113.5	207
NZ_CP116924.1	order#1	1	407.4	232.7	204
NZ_CP116972.1	order#1	1	950.8	289.5	220
NZ_CP116977.1	order#1	1	950.8	289.5	220
NZ_CP117011.1	order#1	1	951.2	289.9	220
NZ_CP117169.1	order#3	1	812.1	235.2	211
NZ_CP117201.1	order#3	1	739.5	186.5	220
NZ_CP117318.1	order#1	1	951.2	289.9	220
NZ_CP117328.1	order#1	1	877.8	233.6	204
NZ_CP117350.1	order#1	1	887.2	276.8	216
NZ_CP117752.1	order#3	1	757.3	116.0	207
NZ_CP118015.1	order#1	1	877.8	233.6	204
NZ_CP118408.1	order#1	1	887.2	276.8	216
NZ_CP118694.1	order#3	1	759.3	113.5	207
NZ_CP118999.1	order#1	1	890.4	276.8	216
NZ_CP119002.1	order#1	1	949.1	289.9	220
NZ_CP119052.1	order#4+	1	795.4	168.4	210
NZ_CP119177.1	order#3	1	759.3	113.5	207
NZ_CP119981.1	order#1	1	949.5	289.9	220
NZ_CP119983.1	order#1	1	949.5	289.9	220
NZ_CP119985.1	order#1	1	949.5	289.9	220
NZ_CP119987.1	order#1	1	949.5	289.9	220
NZ_CP120326.1	order#1	1	887.2	276.8	216
NZ_CP120328.1	split_2	1	887.2	276.8	216
NZ_CP120332.1	order#1	1	887.2	276.8	216
NZ_CP120334.1	order#4+	1	887.2	276.8	216
NZ_CP120336.1	order#1	1	887.2	276.8	216
NZ_CP120338.1	order#1	1	887.2	276.8	216
NZ_CP120340.1	order#1	1	887.2	276.8	216
NZ_CP120344.1	order#1	2	559.5	276.8	216
NZ_CP120346.1	order#1	1	887.2	276.8	216
NZ_CP120348.1	order#4+	1	887.2	276.8	216
NZ_CP120350.1	order#1	1	887.2	276.8	216
NZ_CP120559.1	order#1	1	908.9	296.8	220
NZ_CP121357.1	order#1	1	887.2	274.4	216
NZ_CP122501.1	order#1	1	948.0	289.9	220
NZ_CP122505.1	split_2	-115	877.8	233.6	204
NZ_CP122511.1	split_2	1	948.0	289.9	220
NZ_CP122589.1	order#1	1	950.8	290.3	220
NZ_CP122602.1	order#1	1	886.1	209.3	158
NZ_CP122606.1	order#1	1	886.1	232.5	166
NZ_CP122623.1	order#1	1	908.9	296.8	220
NZ_CP122631.1	order#1	1	908.9	296.8	220
NZ_CP122636.1	order#1	1	894.6	256.3	216
NZ_CP122641.1	split_2	1	946.5	289.3	220
NZ_CP122654.1	order#1	1	886.8	276.8	216
NZ_CP122662.1	order#1	1	885.1	276.8	216
NZ_CP122674.1	split_2	1	890.4	276.8	216
NZ_CP122678.1	split_2	1	890.4	276.8	216
NZ_CP122687.1	split_2	1	887.1	276.8	216
NZ_CP122691.1	split_2	1	950.3	289.9	220
NZ_CP122723.1	split_2	3	353.8	276.8	216
NZ_CP122766.1	split_2	1	477.5	289.5	220
NZ_CP122770.1	split_2	1	950.8	289.5	220
NZ_CP122819.1	split_2	1	477.5	289.9	220
NZ_CP122835.1	order#4+	1	457.7	276.8	216
NZ_CP122847.1	order#1	1	950.8	290.3	220
NZ_CP122866.1	order#1	1	950.8	290.3	220
NZ_CP122881.1	order#1	1	877.8	233.6	204
NZ_CP122926.1	order#4+	1	391.3	233.6	204
NZ_CP123206.1	order#3	2	822.7	284.7	216
NZ_CP123208.1	order#3	2	842.0	279.2	214
NZ_CP123212.1	order#3	2	842.0	279.2	214
NZ_CP123213.1	order#3	2	822.7	284.7	216
NZ_CP123217.1	order#3	2	822.7	284.7	216
NZ_CP123219.1	order#3	2	842.0	279.2	214
NZ_CP123225.1	order#3	2	842.0	279.2	214
NZ_CP123226.1	order#3	2	822.7	284.7	216
NZ_CP123232.1	order#1	1	887.2	276.8	216
NZ_CP123249.1	order#1	1	926.5	289.0	220
NZ_CP123263.1	order#1	1	878.1	230.9	204
NZ_CP123269.1	order#1	1	893.7	283.1	217
NZ_CP123589.1	order#1	1	880.2	232.7	204
NZ_CP124431.1	order#1	1	890.4	276.8	216
NZ_CP124462.1	order#1	1	885.1	276.8	216
NZ_CP124468.1	order#1	1	950.8	289.5	220
NZ_CP124474.1	order#1	1	877.8	232.7	204
NZ_CP124477.1	order#1	1	950.3	289.9	220
NZ_CP124821.1	order#1	1	885.4	232.5	166
NZ_CP124868.1	order#1	1	948.0	289.9	220
NZ_CP125168.1	order#3	1	759.3	113.5	207
NZ_CP125335.1	split_2	1	759.3	113.5	207
NZ_CP125341.1	order#3	1	759.3	113.5	207
NZ_CP125348.1	split_2	1	759.3	113.5	207
NZ_CP125732.1	order#1	1	877.8	233.6	204
NZ_CP126327.1	order#1	1	887.2	276.8	216
NZ_CP126853.1	order#4+	1	798.7	173.3	210
NZ_CP126935.1	order#1	1	887.2	276.8	216
NZ_CP126939.1	order#1	1	887.2	270.1	215
NZ_CP126950.1	order#1	1	950.3	289.9	220
NZ_CP126954.1	order#1	1	950.8	289.5	220
NZ_CP127000.1	order#3	1	759.3	113.5	207
NZ_CP127047.1	order#3	16	586.5	285.6	214
NZ_CP127264.1	order#1	1	948.2	289.9	220
NZ_CP127310.1	order#1	1	886.6	277.7	216
NZ_CP127318.1	order#1	1	431.7	256.3	216
NZ_CP127849.1	order#1	1	895.5	283.0	217
NZ_CP128262.1	order#1	1	950.8	289.5	220
NZ_CP128878.1	order#1	1	950.8	253.3	178
NZ_CP128889.1	order#1	1	895.5	283.0	217
NZ_CP128940.1	order#1	1	940.4	288.2	220
NZ_CP128953.1	order#1	1	879.4	283.0	217
NZ_CP128981.1	order#1	1	950.8	289.5	220
NZ_CP129253.1	order#1	1	893.2	254.1	216
NZ_CP129260.1	order#1	1	896.0	254.6	216
NZ_CP129264.1	order#1	1	888.4	263.2	216
NZ_CP129282.1	order#4+	1	877.8	233.6	204
NZ_CP129386.1	split_2	1	952.1	289.9	220
NZ_CP129632.1	order#1	1	916.9	296.3	220
NZ_CP129821.1	order#1	1	951.6	290.2	220
NZ_CP129843.1	order#3	1	759.3	113.5	207
NZ_CP129868.1	order#3	1	757.8	116.0	207
NZ_CP130261.1	order#3	1	759.3	113.5	207
NZ_CP130267.1	order#3	1	759.3	113.5	207
NZ_CP130664.1	order#3	1	759.3	113.5	207
NZ_CP130686.1	order#3	1	759.3	113.5	207
NZ_CP130692.1	order#3	1	759.3	113.5	207
NZ_CP130708.1	order#1	1	950.3	289.9	220
NZ_CP130712.1	order#1	1	950.3	289.9	220
NZ_CP130916.1	order#3	1	757.3	116.0	207
NZ_CP131686.1	order#1	1	916.4	296.3	220
NZ_CP132045.1	order#3	1	759.0	113.5	207
NZ_CP132051.1	order#3	1	759.0	113.5	207
NZ_CP132667.1	order#3	1	759.3	113.5	207
NZ_CP132729.1	split_2	1	890.6	253.1	216
NZ_CP132731.1	order#1	1	896.2	254.2	216
NZ_CP133182.1	order#1	1	949.5	289.9	220
NZ_CP133214.1	order#1	1	950.3	289.9	220
NZ_CP133455.1	order#1	1	947.9	285.2	220
NZ_CP133855.1	split_2	1	892.4	256.3	216
NZ_CP133858.1	order#4+	1	797.5	175.5	210
NZ_CP133914.1	order#1	1	950.8	289.5	220
NZ_CP133926.1	order#1	1	885.1	276.8	216
NZ_CP133928.1	order#1	1	949.5	289.9	220
NZ_CP134355.1	order#1	1	950.8	289.5	220
NZ_CP134359.1	order#1	1	950.8	289.5	220
NZ_CP134365.1	order#1	1	950.8	289.5	220
NZ_CP134369.1	order#1	1	950.8	289.5	220
NZ_CP134372.1	order#1	1	950.8	289.5	220
NZ_CP134381.1	order#1	1	950.8	289.5	220
NZ_CP134386.1	order#1	1	950.8	287.3	220
NZ_CP134392.1	order#1	1	950.8	289.5	220
NZ_CP134640.1	split_2	3	527.7	114.5	226
NZ_CP134669.1	split_2	1	806.2	171.8	210
NZ_CP134673.1	order#4+	1	806.2	171.8	210
NZ_CP134810.1	order#3	1	759.3	113.5	207
NZ_CP135167.1	order#3	1	759.3	113.5	207
NZ_CP135206.1	order#1	1	887.2	276.8	216
NZ_CP135246.1	order#1	1	894.9	283.0	217
NZ_CP135645.1	order#1	1	895.5	283.0	217
NZ_CP135648.1	order#1	1	948.0	289.9	220
NZ_CP135650.1	order#1	1	886.1	232.5	166
NZ_CP135660.1	order#1	1	895.5	283.0	217
NZ_CP135672.1	order#1	1	898.6	281.0	217
NZ_CP135689.1	order#1	1	895.5	283.0	217
NZ_CP135699.1	order#1	1	895.5	283.0	217
NZ_CP135961.1	order#1	1	899.6	281.0	217
NZ_CP136142.1	order#1	1	886.1	232.5	166
NZ_CP136271.1	order#3	1	759.3	113.5	207
NZ_CP136553.1	order#1	1	877.8	232.7	204
NZ_CP136812.1	order#3	1	759.3	113.5	207
NZ_CP136830.1	order#1	1	915.6	294.5	220
NZ_CP136836.1	order#1	1	915.6	294.5	220
NZ_CP136848.1	order#3	1	759.3	113.5	207
NZ_CP137199.1	order#3	1	759.3	113.5	207
NZ_CP137349.1	order#3	1	759.3	113.5	207
NZ_CP137856.1	order#1	1	877.8	232.5	204
NZ_CP138415.1	order#1	1	949.5	289.9	220
NZ_CP138438.1	order#3	1	756.5	112.9	207
NZ_CP138482.1	order#1	1	877.8	233.6	204
NZ_CP138522.1	order#3	1	759.0	113.5	207
NZ_CP138689.1	order#3	1	759.3	113.5	207
NZ_CP138848.1	order#1	1	886.1	232.5	166
NZ_CP139380.1	order#3	1	759.3	113.5	207
NZ_CP139383.1	order#3	1	759.3	113.5	207
NZ_CP139391.1	order#3	1	759.3	113.5	207
NZ_CP139797.1	order#1	1	887.2	276.8	216
NZ_CP139805.1	order#1	1	949.5	289.9	220
NZ_CP139841.1	order#1	1	950.2	289.9	220
NZ_CP139905.1	order#1	1	877.8	233.6	204
NZ_CP139990.1	order#1	1	950.3	289.9	220
NZ_CP140406.1	order#1	1	876.7	233.6	204
NZ_CP140411.1	order#1	1	876.7	233.6	204
