accession	mpf_class_call	entry_criterion	n_cds	n_fa_fata_profiles	n_FA	n_FATA	fa_subclass	profile_support	FA_profiles	FATA_profiles	virb4	tcpA	t4cp1	t4cp2	MOBB	MOBC	MOBF	MOBH	MOBP1	MOBP2	MOBP3	MOBQ	MOBT	MOBV	virb4_bit	relaxase_profiles	exclusion_family_hit	slot_status
NZ_CP065038.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	119	5	0	5	FATA	high		FATA_cd411;FATA_prgF;FATA_prgHa;FATA_prgHb;FATA_prgIb	61:52406..54727:+	none	67:61054..62748:+	67:61054..62748:+	none	none	none	none	72:66052..67665:-	none	none	none	none	none	308.5	MOBP1		no_slot_defined
NZ_CP065195.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	41	6	4	2	FA	high	FA_orf13;FA_orf17a;FA_orf17b;FA_orf19	FATA_prgIc;FATA_trsG	17:13378..16050:-	none	none	22:18928..22065:-	none	21:18021..18869:-	none	none	none	none	none	none	none	none	67.1	MOBC		no_slot_defined
NZ_CP065214.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	153	2	1	1	unassigned	minimal	FA_orf14	FATA_cd419a	128:118474..120408:+	none	124:111740..114331:+	124:111740..114331:+	none	none	none	none	133:123566..124786:+	133:123566..124786:+	none	none	none	none	293.9	MOBP1;MOBP2		no_slot_defined
NZ_CP065336.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	153	2	1	1	unassigned	minimal	FA_orf14	FATA_cd419a	42:48895..50829:-	none	49:57758..60322:-	49:57758..60322:-	none	none	none	none	37:44486..45706:-	37:44486..45706:-	none	none	none	none	297.4	MOBP1;MOBP2		no_slot_defined
NZ_CP065516.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	45	3	2	1	FA	medium	FA_orf15;FA_orf17a	FATA_trsG	9:10289..12874:+	none	none	none	none	none	none	none	none	none	none	none	none	none	121.0			no_slot_defined
NZ_CP065633.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	62	2	1	1	unassigned	minimal	FA_orf17a	FATA_cd419a	38:31607..34129:-	44:37067..38683:-	none	none	none	none	none	none	none	none	none	none	none	none	86.0			no_slot_defined
NZ_CP065644.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	36	7	6	1	FA	high	FA_orf13;FA_orf14;FA_orf15;FA_orf17a;FA_orf17b;FA_orf19	FATA_cd419a	10:10818..13310:+	1:476..2971:+	1:476..2971:+	1:476..2971:+	none	0:170..475:+	none	none	none	none	none	none	none	none	103.6	MOBC	PF14729	no_slot_defined
NZ_CP065646.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	39	7	6	1	FA	high	FA_orf13;FA_orf14;FA_orf15;FA_orf17a;FA_orf17b;FA_orf19	FATA_cd419a	5:2486..4513:+	33:22969..25398:+	33:22969..25398:+	33:22969..25398:+	none	32:22286..22915:+	none	none	none	none	none	none	none	none	93.1	MOBC	PF14729	no_slot_defined
NZ_CP065648.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	76	7	6	1	FA	high	FA_orf13;FA_orf14;FA_orf15;FA_orf17a;FA_orf17b;FA_orf19	FATA_cd419a	31:26825..29317:+	58:47850..50531:+	28:22989..26159:+	58:47850..50531:+	none	27:22305..22988:+	none	none	none	none	none	none	none	none	103.6	MOBC	PF14729	no_slot_defined
NZ_CP065649.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	187	2	1	1	unassigned	minimal	FA_orf14	FATA_cd419a	185:177006..179096:+	none	145:135689..139207:-	145:135689..139207:-	none	none	none	none	none	none	none	none	none	none	329.4			no_slot_defined
NZ_CP065730.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	74	3	1	2	FATA	medium	FA_orf14	FATA_cd419a;FATA_trsC	34:27123..29096:-	none	38:33806..36730:-	38:33806..36730:-	none	none	none	none	27:21634..23049:-	27:21634..23049:-	none	none	none	none	268.8	MOBP1;MOBP2		no_slot_defined
NZ_CP065740.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	344	8	6	2	FA	high	FA_orf13;FA_orf14;FA_orf15;FA_orf17a;FA_orf17b;FA_orf19	FATA_cd419a;FATA_prgC	231:251209..253749:-	184:205246..206412:-	none	245:270531..273605:-	none	none	none	none	none	none	none	none	none	none	140.7			no_slot_defined
NZ_CP065741.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	191	3	1	2	FATA	medium	FA_orf14	FATA_cd419a;FATA_prgF	99:95367..97466:-	none	135:131432..134761:+	135:131432..134761:+	none	none	none	none	none	none	none	none	none	none	324.4			no_slot_defined
NZ_CP065744.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	206	7	6	1	FA	high	FA_orf13;FA_orf14;FA_orf15;FA_orf17a;FA_orf17b;FA_orf19	FATA_cd419a	20:20725..22782:-	194:203175..204341:-	36:40141..43215:-	36:40141..43215:-	none	none	none	none	none	none	none	none	none	none	134.7			no_slot_defined
NZ_CP065775.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	28	3	2	1	FA	medium	FA_orf14;FA_orf15	FATA_cd419a	25:21763..23859:+	none	none	none	none	none	none	none	none	none	none	none	none	20:17526..18563:-	88.6	MOBV		no_slot_defined
NZ_CP065786.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	59	6	3	3	unassigned	high	FA_orf13;FA_orf15;FA_orf17b	FATA_prgB;FATA_prgC;FATA_trsG	26:23458..25989:+	none	none	29:28691..30949:+	none	30:31471..32256:+	none	none	none	none	none	none	none	none	89.2	MOBC		no_slot_defined
NZ_CP065793.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	58	4	3	1	FA	medium	FA_orf17a;FA_orf17b;FA_orf19	FATA_trsG	42:41693..44374:+	none	none	37:35697..38810:+	none	none	none	none	none	none	none	none	none	none	71.1			no_slot_defined
NZ_CP065798.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	46	2	1	1	unassigned	minimal	FA_orf17a	FATA_trsG	20:15725..18310:-	none	none	none	none	none	none	none	none	none	none	none	none	none	116.7			no_slot_defined
NZ_CP065803.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	87	2	0	2	FATA	minimal		FATA_cd419a;FATA_prgB	74:71195..73147:+	none	60:55161..57875:+	60:55161..57875:+	none	none	none	none	none	none	none	none	none	none	184.7			no_slot_defined
NZ_CP065987.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	41	3	0	3	FATA	medium		FATA_prgF;FATA_prgHb;FATA_trsG	16:17818..20199:-	none	25:27284..28465:-	20:22011..22730:-	none	none	none	none	7:10157..11668:-	none	none	none	none	none	311.8	MOBP1		no_slot_defined
NZ_CP066025.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	83	2	1	1	unassigned	minimal	FA_orf14	FATA_cd419a	22:21237..23162:-	none	27:27531..30161:-	27:27531..30161:-	none	none	none	none	15:15390..16901:-	15:15390..16901:-	none	none	none	none	232.7	MOBP1;MOBP2		no_slot_defined
NZ_CP066190.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	93	2	1	1	unassigned	minimal	FA_orf14	FATA_cd419a	47:39119..41056:+	none	40:31167..33794:+	40:31167..33794:+	none	none	none	none	54:45249..46814:+	54:45249..46814:+	none	none	none	none	342.3	MOBP1;MOBP2		no_slot_defined
NZ_CP066195.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	64	4	3	1	FA	medium	FA_orf13;FA_orf15;FA_orf17a	FATA_cd419a	51:39388..41976:+	17:7561..8727:+	none	45:33564..36464:+	none	46:36485..37318:+	none	none	none	none	none	none	none	none	97.2	MOBC		no_slot_defined
NZ_CP066196.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	102	2	1	1	unassigned	minimal	FA_orf14	FATA_cd419a	47:39119..41056:+	none	40:31167..33794:+	40:31167..33794:+	none	none	none	none	54:45249..46814:+	54:45249..46814:+	none	none	none	none	342.3	MOBP1;MOBP2		no_slot_defined
NZ_CP066374.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	52	3	0	3	FATA	medium		FATA_gbs1350;FATA_gbs1354;FATA_trsG	7:7764..9722:-	none	13:14320..16884:-	13:14320..16884:-	none	none	none	none	45:36817..38160:+	45:36817..38160:+	none	none	none	none	270.1	MOBP1;MOBP2		no_slot_defined
NZ_CP066403.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	79	2	1	1	unassigned	minimal	FA_orf14	FATA_cd419a	33:25020..26645:-	none	38:30804..33662:-	38:30804..33662:-	none	none	none	none	22:16235..17770:-	22:16235..17770:-	none	none	none	none	247.6	MOBP1;MOBP2		no_slot_defined
NZ_CP066436.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	79	2	1	1	unassigned	minimal	FA_orf14	FATA_cd419a	7:5862..7487:-	none	12:11646..14504:-	12:11646..14504:-	none	none	none	none	75:62486..64021:-	75:62486..64021:-	none	none	none	none	247.8	MOBP1;MOBP2		no_slot_defined
NZ_CP066493.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	46	5	0	5	FATA	high		FATA_trsC;FATA_trsD;FATA_trsG;FATA_trsJ;FATA_trsL	31:19205..21205:+	none	37:24721..26388:+	37:24721..26388:+	none	none	none	none	none	none	none	23:14396..14731:+	none	none	307.5	MOBQ		no_slot_defined
NZ_CP066502.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	114	6	1	5	FATA	high	FA_orf14	FATA_cd419a;FATA_trsC;FATA_trsD;FATA_trsF;FATA_trsL	83:61722..63725:-	none	78:56638..58224:-	78:56638..58224:-	none	none	none	none	none	none	none	none	none	none	247.7			no_slot_defined
NZ_CP066639.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	81	2	1	1	unassigned	minimal	FA_orf14	FATA_cd419a	33:28766..30391:+	none	28:21749..24607:+	28:21749..24607:+	none	none	none	none	44:37641..39176:+	44:37641..39176:+	none	none	none	none	247.6	MOBP1;MOBP2		no_slot_defined
NZ_CP066818.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	86	2	0	2	FATA	minimal		FATA_cd419a;FATA_prgB	8:5681..7633:-	none	22:20953..23667:-	22:20953..23667:-	none	none	none	none	none	82:77244..79421:-	none	none	none	none	184.7	MOBP2		no_slot_defined
NZ_CP066832.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	341	2	1	1	unassigned	minimal	FA_orf17a	FATA_cd419a	317:296218..298821:-	none	none	312:288356..290842:-	none	311:287325..288359:-	none	none	none	none	none	none	none	none	83.1	MOBC		no_slot_defined
NZ_CP067070.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	352	7	6	1	FA	high	FA_orf13;FA_orf14;FA_orf15;FA_orf17a;FA_orf17b;FA_orf19	FATA_cd419a	95:82874..84409:-	42:34083..36419:-	none	107:100928..102307:-	none	none	none	none	none	none	none	none	none	none	78.7			no_slot_defined
NZ_CP068052.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	64	5	4	1	FA	high	FA_orf13;FA_orf15;FA_orf17a;FA_orf19	FATA_cd419a	63:65686..67959:-	none	63:65686..67959:-	5:3249..5795:-	none	none	none	none	none	none	none	none	none	none	125.1			no_slot_defined
NZ_CP068117.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	92	2	0	2	FATA	minimal		FATA_cd419a;FATA_prgC	34:26864..29353:+	none	30:21833..23281:+	31:23345..24391:+	none	none	none	none	38:31332..33278:+	38:31332..33278:+	none	none	none	none	210.3	MOBP1;MOBP2		no_slot_defined
NZ_CP068119.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	66	4	2	2	unassigned	medium	FA_orf15;FA_orf17b	FATA_cd419a;FATA_prgC	62:60629..63127:-	none	60:56000..58156:-	60:56000..58156:-	none	58:53920..54867:-	none	none	none	none	none	none	none	none	79.4	MOBC		no_slot_defined
NZ_CP068124.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	58	6	0	6	FATA	high		FATA_prgC;FATA_trsC;FATA_trsD;FATA_trsF;FATA_trsG;FATA_trsL	50:39004..40044:+	none	57:43529..45040:+	57:43529..45040:+	none	none	none	none	45:34706..36670:+	none	none	45:34706..36670:+	none	none	124.8	MOBP1;MOBQ		no_slot_defined
NZ_CP068513.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	65	6	0	6	FATA	high		FATA_prgF;FATA_prgHa;FATA_prgHb;FATA_prgIb;FATA_prgIc;FATA_trsG	11:9765..12152:-	none	16:14032..15867:-	16:14032..15867:-	none	none	none	none	2:1838..3355:-	none	none	none	none	none	314.1	MOBP1		no_slot_defined
NZ_CP068718.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	524	3	1	2	FATA	medium	FA_orf14	FATA_cd419a;FATA_prgC	0:53..901:+	none	469:539952..541463:-	467:535487..537349:-	none	none	none	none	none	none	none	none	none	none	142.3			no_slot_defined
NZ_CP068725.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	459	2	1	1	unassigned	minimal	FA_orf14	FATA_cd419a	234:243057..243905:+	396:391825..393114:+	161:165259..168759:-	161:165259..168759:-	none	none	67:68320..72075:-	none	none	none	none	none	none	none	144.6	MOBF		no_slot_defined
NZ_CP069130.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	115	4	2	2	unassigned	medium	FA_orf13;FA_orf14	FATA_cd419_1;FATA_cd419a	62:56726..58750:+	none	57:50601..53210:+	57:50601..53210:+	none	none	none	none	69:62948..64543:+	69:62948..64543:+	none	none	none	43:39364..39660:+	257.3	MOBP1;MOBP2;MOBV		no_slot_defined
NZ_CP069290.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	159	2	1	1	unassigned	minimal	FA_orf14	FATA_cd419a	14:15431..17365:+	144:131471..132604:+	7:6024..7772:+	9:10244..11152:+	none	none	none	none	none	21:22604..23800:+	none	none	none	none	300.9	MOBP2		no_slot_defined
NZ_CP069390.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	54	2	1	1	unassigned	minimal	FA_orf14	FATA_trsG	19:22666..24609:+	none	14:15103..17940:+	14:15103..17940:+	none	none	none	none	27:29687..31003:+	27:29687..31003:+	none	none	none	none	246.5	MOBP1;MOBP2		no_slot_defined
NZ_CP069398.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	188	5	1	4	FATA	high	FA_orf14	FATA_cd419a;FATA_trsC;FATA_trsD;FATA_trsL	70:78360..80294:+	113:120849..121982:+	118:124861..127302:-	65:71667..74222:+	none	none	none	none	76:85162..86358:+	76:85162..86358:+	none	136:140580..142601:+	none	none	297.9	MOBP1;MOBP2;MOBQ		no_slot_defined
NZ_CP069521.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	38	2	2	0	FA	minimal	FA_orf17a;FA_orf17b		22:15888..18536:-	26:20379..21881:-	none	none	none	none	none	none	none	none	none	none	none	none	84.2			no_slot_defined
NZ_CP069607.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	210	2	1	1	unassigned	minimal	FA_orf14	FATA_cd419a	17:13688..15622:-	64:53164..54297:-	21:19608..22172:-	21:19608..22172:-	none	none	none	none	12:9280..10500:-	12:9280..10500:-	none	none	none	none	291.4	MOBP1;MOBP2		no_slot_defined
NZ_CP069608.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	152	2	1	1	unassigned	minimal	FA_orf14	FATA_cd419a	17:14509..16443:-	none	24:23861..25627:-	22:20479..21387:-	none	none	none	none	none	11:9819..11015:-	none	none	none	none	309.4	MOBP2		no_slot_defined
NZ_CP069610.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	56	2	1	1	unassigned	minimal	FA_orf13	FATA_cd419a	50:51274..53817:-	none	none	55:56878..59247:-	none	none	none	none	none	none	none	none	none	none	116.2			no_slot_defined
NZ_CP070265.2	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	72	6	0	6	FATA	high		FATA_prgF;FATA_prgHa;FATA_prgHb;FATA_prgIb;FATA_prgIc;FATA_trsG	10:9574..11961:-	none	15:13709..15544:-	15:13709..15544:-	none	none	none	none	1:1625..3142:-	none	none	none	none	none	314.5	MOBP1		no_slot_defined
NZ_CP070340.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	312	2	0	2	FATA	minimal		FATA_cd419a;FATA_prgC	171:184008..185945:-	102:123496..124662:-	176:189903..191903:-	176:189903..191903:-	none	none	none	none	163:176848..178041:-	163:176848..178041:-	none	none	none	none	322.1	MOBP1;MOBP2		no_slot_defined
NZ_CP070341.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	100	4	3	1	FA	medium	FA_orf13;FA_orf15;FA_orf17a	FATA_cd419a	19:13404..15962:-	none	none	26:19718..22465:-	none	25:18870..19712:-	none	none	none	none	none	none	none	none	92.3	MOBC		no_slot_defined
NZ_CP070486.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	89	2	1	1	unassigned	minimal	FA_orf14	FATA_cd419a	16:11339..13234:-	none	20:17074..19434:-	20:17074..19434:-	none	none	none	none	10:6354..7586:-	10:6354..7586:-	none	none	none	none	257.2	MOBP1;MOBP2		no_slot_defined
NZ_CP070512.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	52	4	0	4	FATA	medium		FATA_cd419a;FATA_trsD;FATA_trsG;FATA_trsL	18:15310..17163:-	29:22894..24051:+	38:30663..32798:+	38:30663..32798:+	none	none	none	none	none	none	none	37:28713..30644:+	none	none	293.4	MOBQ		no_slot_defined
NZ_CP070845.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	89	2	1	1	unassigned	minimal	FA_orf14	FATA_cd419a	16:11339..13234:-	none	20:17074..19434:-	20:17074..19434:-	none	none	none	none	10:6354..7586:-	10:6354..7586:-	none	none	none	none	257.2	MOBP1;MOBP2		no_slot_defined
NZ_CP071181.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	61	2	0	2	FATA	minimal		FATA_cd419a;FATA_trsG	37:28099..30045:-	none	44:33605..35929:-	44:33605..35929:-	none	none	none	none	30:21938..23284:-	30:21938..23284:-	none	none	none	none	265.3	MOBP1;MOBP2		no_slot_defined
NZ_CP071277.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	87	2	1	1	unassigned	minimal	FA_orf14	FATA_cd419a	60:41221..43116:-	none	65:46955..49315:-	65:46955..49315:-	none	none	none	none	54:36236..37468:-	54:36236..37468:-	none	none	none	none	257.2	MOBP1;MOBP2		no_slot_defined
NZ_CP071286.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	80	3	0	3	FATA	medium		FATA_cd411;FATA_prgHb;FATA_prgIc	56:54634..57009:+	none	52:51351..53120:+	52:51351..53120:+	none	none	none	none	67:66341..67873:+	none	none	none	none	6:5826..7037:+	308.7	MOBP1;MOBV		no_slot_defined
NZ_CP071474.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	100	2	1	1	unassigned	minimal	FA_orf14	FATA_cd419a	23:19450..21384:-	48:43212..44345:-	28:25588..28206:-	28:25588..28206:-	none	47:42520..43215:-	none	none	none	17:14760..15956:-	none	none	none	none	307.4	MOBC;MOBP2	PF14729	no_slot_defined
NZ_CP071479.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	42	7	1	6	FATA	high	FA_orf14	FATA_cd411;FATA_cd419a;FATA_prgF;FATA_prgHa;FATA_prgIa;FATA_prgIb	38:23481..25889:-	none	30:16259..18076:-	30:16259..18076:-	none	none	none	none	7:5866..7179:+	none	none	none	none	none	323.3	MOBP1		no_slot_defined
NZ_CP071710.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	71	2	0	2	FATA	minimal		FATA_cd419a;FATA_trsL	67:55746..58136:+	none	49:36055..38190:+	49:36055..38190:+	none	none	none	none	48:35355..36047:+	none	none	none	none	none	268.6	MOBP1		no_slot_defined
NZ_CP071812.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	437	7	6	1	FA	high	FA_orf13;FA_orf14;FA_orf15;FA_orf17a;FA_orf17b;FA_orf19	FATA_cd419a	10:14622..17144:+	55:55564..56730:+	none	1:1523..4597:+	none	334:302262..302726:-	none	none	91:84859..85461:+	91:84859..85461:+	none	none	none	none	139.1	MOBC;MOBP1;MOBP2		no_slot_defined
NZ_CP071813.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	217	2	1	1	unassigned	minimal	FA_orf14	FATA_cd419a	185:176784..178721:-	6:5658..6839:+	190:182713..185295:-	190:182713..185295:-	none	7:6778..7392:+	none	none	180:172421..173614:-	180:172421..173614:-	none	none	none	none	329.3	MOBC;MOBP1;MOBP2		no_slot_defined
NZ_CP071972.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	83	2	1	1	unassigned	minimal	FA_orf14	FATA_cd419a	79:59145..61040:+	none	75:53173..55533:+	75:53173..55533:+	none	none	none	none	2:1084..2316:+	2:1084..2316:+	none	none	none	none	251.7	MOBP1;MOBP2		no_slot_defined
NZ_CP072056.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	459	3	1	2	FATA	medium	FA_orf14	FATA_cd419a;FATA_prgF	73:68240..70339:+	264:294760..295926:-	24:17825..21322:-	24:17825..21322:-	none	none	none	none	none	none	none	none	none	none	326.1			no_slot_defined
NZ_CP072062.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	467	2	1	1	unassigned	minimal	FA_orf14	FATA_cd419a	73:68193..70292:+	273:303849..305015:-	24:17825..21322:-	24:17825..21322:-	none	none	none	none	none	none	none	none	none	none	326.0			no_slot_defined
NZ_CP072066.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	394	3	1	2	FATA	medium	FA_orf14	FATA_cd419a;FATA_prgC	46:50132..52069:+	7:5906..7072:-	41:43580..46150:+	41:43580..46150:+	none	none	none	none	54:57977..59170:+	54:57977..59170:+	none	none	none	none	332.4	MOBP1;MOBP2		no_slot_defined
NZ_CP072067.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	80	3	1	2	FATA	medium	FA_orf14	FATA_cd419a;FATA_prgC	58:47151..49088:-	15:9661..10851:+	63:53133..55703:-	63:53133..55703:-	none	16:10790..11407:+	none	none	52:42503..43696:-	52:42503..43696:-	none	none	none	none	335.3	MOBC;MOBP1;MOBP2		no_slot_defined
NZ_CP072121.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	131	2	1	1	unassigned	minimal	FA_orf14	FATA_cd419a	87:63312..65210:+	none	83:57422..59782:+	83:57422..59782:+	none	none	none	none	10:5053..6285:+	10:5053..6285:+	none	none	none	none	247.2	MOBP1;MOBP2		no_slot_defined
NZ_CP072214.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	70	2	0	2	FATA	minimal		FATA_cd419a;FATA_trsC	9:6781..9621:+	none	37:27928..29883:+	37:27928..29883:+	none	none	none	none	3:3003..4622:+	none	none	none	none	none	473.8	MOBP1		no_slot_defined
NZ_CP072225.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	70	2	0	2	FATA	minimal		FATA_cd419a;FATA_trsC	52:44801..47641:-	none	23:24540..26495:-	23:24540..26495:-	none	none	none	none	3:3003..4622:+	none	none	none	none	none	473.8	MOBP1		no_slot_defined
NZ_CP072249.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	60	2	0	2	FATA	minimal		FATA_cd419a;FATA_trsC	42:33737..36577:-	none	14:13459..15414:-	14:13459..15414:-	none	none	none	none	3:3003..4622:+	none	none	none	none	none	473.8	MOBP1		no_slot_defined
NZ_CP072256.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	59	2	0	2	FATA	minimal		FATA_cd419a;FATA_trsC	41:34977..37817:-	none	12:13346..15301:-	12:13346..15301:-	none	none	none	none	2:2871..4490:+	none	none	none	none	none	475.1	MOBP1		no_slot_defined
NZ_CP072508.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	95	6	3	3	unassigned	high	FA_orf13;FA_orf15;FA_orf17b	FATA_prgB;FATA_prgC;FATA_trsG	58:58343..60907:-	none	none	55:53383..55641:-	none	54:52075..52803:-	none	none	none	none	none	none	none	none	88.4	MOBC		no_slot_defined
NZ_CP072693.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	155	2	1	1	unassigned	minimal	FA_orf14	FATA_cd419a	101:87610..89541:-	none	110:96140..98029:-	110:96140..98029:-	none	none	none	none	none	93:80176..81732:-	none	none	none	none	331.5	MOBP2		no_slot_defined
NZ_CP072694.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	87	4	3	1	FA	medium	FA_orf13;FA_orf15;FA_orf17a	FATA_cd419a	35:28715..31303:+	35:28715..31303:+	none	29:22849..25797:+	none	30:25797..26651:+	none	none	0:511..1449:-	none	none	none	none	none	92.1	MOBC;MOBP1		no_slot_defined
NZ_CP072695.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	75	5	0	5	FATA	high		FATA_cd419a;FATA_trsC;FATA_trsD;FATA_trsG;FATA_trsL	74:60182..62074:+	none	69:56561..57886:+	69:56561..57886:+	none	none	none	none	66:50718..53261:+	none	66:50718..53261:+	none	none	none	292.2	MOBP1;MOBP3		no_slot_defined
NZ_CP072770.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	78	5	4	1	FA	high	FA_orf13;FA_orf14;FA_orf15;FA_orf17a	FATA_cd419a	25:23818..26376:-	50:48529..49692:-	none	32:29896..32664:-	none	31:29048..29890:-	none	none	none	none	none	none	none	none	98.7	MOBC		no_slot_defined
NZ_CP072775.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	93	2	1	1	unassigned	minimal	FA_orf14	FATA_cd419a	92:72342..74276:+	none	85:64057..66690:+	85:64057..66690:+	none	none	none	none	6:4222..5778:+	6:4222..5778:+	none	none	none	none	332.3	MOBP1;MOBP2		no_slot_defined
