accession	mpf_class	slot_anchor	slot_occupant_family	slot_occupant_coords	slot_occupant_aa	slot_family_bit	slot_status
NZ_CP107123.1	MPF_F	TraG_N		116917..117426	169		candidate
NZ_CP107127.1	MPF_F	TraG_N		82193..82702	169		candidate
NZ_CP107129.1	MPF_F	TraG_N	TraS	109673..110164	163	325.3	eex_occupied
NZ_CP107135.1	MPF_F	TraG_N		78430..78939	169		candidate
NZ_CP107138.1	MPF_F	TraG_N		100240..100749	169		candidate
NZ_CP107141.1	MPF_F	TraG_N		79523..80032	169		candidate
NZ_CP107144.1	MPF_F	TraG_N	TraS	68686..69177	163	327.2	eex_occupied
NZ_CP107148.1	MPF_F	TraG_N		78497..79006	169		candidate
NZ_CP107152.1	MPF_F	TraG_N		116910..117419	169		candidate
NZ_CP107154.1	MPF_F	TraG_N		66359..66868	169		candidate
NZ_CP107156.1	MPF_F	TraG_N	TraS	39640..40131	163	327.2	eex_occupied
NZ_CP107163.1	MPF_F	TraG_N		67784..68293	169		candidate
NZ_CP107173.1	MPF_F	TraG_N	TraS	85123..85614	163	327.2	eex_occupied
NZ_CP107176.1	MPF_F	TraG_N	TraS	68686..69177	163	327.2	eex_occupied
NZ_CP107179.1	MPF_F	TraG_N		89098..89607	169		candidate
NZ_CP107183.1	MPF_F	TraG_N		65301..65810	169		candidate
NZ_CP107185.1	MPF_F	TraG_N		81143..81652	169		candidate
NZ_CP107189.1	MPF_F	TraG_N		83899..84408	169		candidate
NZ_CP107235.1	MPF_F	TraG_N		78752..79207	151		candidate
NZ_CP107245.1	MPF_F	TraG_N	TraS	89925..90527	200	47.9	eex_occupied
NZ_CP107285.1	MPF_F	TraG_N		92065..92574	169		candidate
NZ_CP107309.1	MPF_F	TraG_N		26246..26767	173		candidate
NZ_CP107313.1	MPF_F	TraG_N		11996..12517	173		candidate
NZ_CP107360.1	MPF_F	TraG_N		9846..10367	173		candidate
NZ_CP107368.1	MPF_F	TraG_N		9089..9610	173		candidate
NZ_CP107380.1	MPF_F	TraG_N		10346..10867	173		candidate
NZ_CP107391.1	MPF_F	TraG_N		9846..10367	173		candidate
NZ_CP107395.1	MPF_F	TraG_N		9846..10367	173		candidate
NZ_CP107399.1	MPF_F	TraG_N	TraS	181225..181827	200	47.9	eex_occupied
NZ_CP107400.1	MPF_F	TraG_N		141666..142187	173		candidate
NZ_CP107404.1	MPF_F	TraG_N		9846..10367	173		candidate
NZ_CP107409.1	MPF_F	TraG_N		25756..26277	173		candidate
NZ_CP107413.1	MPF_F	TraG_N	TraS	181225..181827	200	47.9	eex_occupied
NZ_CP107414.1	MPF_F	TraG_N		141666..142187	173		candidate
NZ_CP107418.1	MPF_F	TraG_N		148834..149355	173		candidate
NZ_CP107419.1	MPF_F	TraG_N	TraS	181228..181830	200	47.9	eex_occupied
NZ_CP107423.1	MPF_F	TraG_N		154918..155439	173		candidate
NZ_CP107427.1	MPF_F	TraG_N	TraS	181222..181824	200	47.9	eex_occupied
NZ_CP107428.1	MPF_F	TraG_N		9846..10367	173		candidate
NZ_CP107434.1	MPF_F	TraG_N		45211..45732	173		candidate
NZ_CP107437.1	MPF_F	TraG_N	TraS	181221..181823	200	47.9	eex_occupied
NZ_CP107438.1	MPF_F	TraG_N		9846..10367	173		candidate
NZ_CP107442.1	MPF_F	TraG_N	TraS	181222..181824	200	47.9	eex_occupied
NZ_CP107443.1	MPF_F	TraG_N		9846..10367	173		candidate
NZ_CP107448.1	MPF_F	TraG_N	TraS	181235..181837	200	47.9	eex_occupied
NZ_CP107449.1	MPF_F	TraG_N		9846..10367	173		candidate
NZ_CP107453.1	MPF_F	TraG_N		135581..136105	174		candidate
NZ_CP107459.1	MPF_F	TraG_N	TraS	181224..181826	200	47.9	eex_occupied
NZ_CP107460.1	MPF_F	TraG_N		9846..10367	173		candidate
NZ_CP107469.1	MPF_F	TraG_N	TraS	181224..181826	200	47.9	eex_occupied
NZ_CP107470.1	MPF_F	TraG_N		9846..10367	173		candidate
NZ_CP107474.1	MPF_F	TraG_N	TraS	181548..182150	200	47.9	eex_occupied
NZ_CP107475.1	MPF_F	TraG_N		9846..10367	173		candidate
NZ_CP107479.1	MPF_F	TraG_N	TraS	181128..181730	200	47.9	eex_occupied
NZ_CP107480.1	MPF_F	TraG_N		9846..10367	173		candidate
NZ_CP107484.1	MPF_F	TraG_N	TraS	181219..181821	200	47.9	eex_occupied
NZ_CP107485.1	MPF_F	TraG_N		9846..10367	173		candidate
NZ_CP107489.1	MPF_F	TraG_N	TraS	181221..181823	200	47.9	eex_occupied
NZ_CP107490.1	MPF_F	TraG_N		9846..10367	173		candidate
NZ_CP107494.1	MPF_F	TraG_N	TraS	181224..181826	200	47.9	eex_occupied
NZ_CP107495.1	MPF_F	TraG_N		9846..10367	173		candidate
NZ_CP107499.1	MPF_F	TraG_N	TraS	181225..181827	200	47.9	eex_occupied
NZ_CP107500.1	MPF_F	TraG_N		9846..10367	173		candidate
NZ_CP107504.1	MPF_F	TraG_N	TraS	181225..181827	200	47.9	eex_occupied
NZ_CP107505.1	MPF_F	TraG_N		9846..10367	173		candidate
NZ_CP107509.1	MPF_F	TraG_N	TraS	181228..181830	200	47.9	eex_occupied
NZ_CP107510.1	MPF_F	TraG_N		9846..10367	173		candidate
NZ_CP107514.1	MPF_F	TraG_N	TraS	182288..182890	200	47.9	eex_occupied
NZ_CP107515.1	MPF_F	TraG_N		9846..10367	173		candidate
NZ_CP107519.1	MPF_F	TraG_N	TraS	181223..181825	200	47.9	eex_occupied
NZ_CP107520.1	MPF_F	TraG_N		9846..10367	173		candidate
NZ_CP107588.1	MPF_F	TraG_N		61420..61938	172		candidate
NZ_CP107591.1	MPF_F	TraG_N		61420..61938	172		candidate
NZ_CP107606.1	MPF_F	TraG_N		61420..61938	172		candidate
NZ_CP109602.1	MPF_F	TraG_N	TraS	58430..58921	163	335.2	eex_occupied
NZ_CP109609.1	MPF_F	TraG_N		126034..126702	222		candidate
NZ_CP109615.1	MPF_F	TraG_N		142939..143607	222		candidate
NZ_CP109678.1	MPF_F	TraG_N	TraS	950..1381	143	146.5	eex_occupied
NZ_CP109697.1	MPF_F	TraG_N		121079..121795	238		candidate
NZ_CP109730.1	MPF_F	TraG_N		24175..25578	467		candidate
NZ_CP109731.1	MPF_F	TraG_N		9578..10267	229		candidate
NZ_CP109740.1	MPF_F	TraG_N		100729..100944	71		candidate
NZ_CP109774.1	MPF_F	TraG_N	TraS	132995..133597	200	47.9	eex_occupied
NZ_CP109825.1	MPF_F	TraG_N		8234..8770	178		candidate
NZ_CP109830.1	MPF_F	TraG_N		78712..79245	177		candidate
NZ_CP109837.1	MPF_F	TraG_N		64958..65476	172		candidate
NZ_CP109847.1	MPF_F	TraG_N		71575..72096	173		candidate
NZ_CP109877.1	MPF_F	TraG_N	TraS	56956..57453	165	300.9	eex_occupied
NZ_CP109909.1	MPF_F	TraG_N		53671..54240	189		candidate
NZ_CP109930.1	MPF_F	TraG_N	TraS	63145..63624	159	310.7	eex_occupied
NZ_CP109955.1	MPF_F	TraG_N		184321..185301	326		candidate
NZ_CP109985.1	MPF_F	TraG_N		42208..42741	177		candidate
NZ_CP109986.1	MPF_F	TraG_N	TraS	53677..54108	143	146.5	eex_occupied
NZ_CP109987.1	MPF_F	TraG_N		70881..71444	187		candidate
NZ_CP110118.1	MPF_F	TraG_N	TraS	81911..82402	163	327.2	eex_occupied
NZ_CP110144.1	MPF_F	TraG_N		190585..191109	174		candidate
NZ_CP110169.1	MPF_F	TraG_N		76924..77457	177		candidate
NZ_CP110171.1	MPF_F	TraG_N		113799..114332	177		candidate
NZ_CP110194.1	MPF_F	TraG_N	TraS	142965..143456	163	327.2	eex_occupied
NZ_CP110195.1	MPF_F	TraG_N		2853..3386	177		candidate
NZ_CP110196.1	MPF_F	TraG_N		20628..21137	169		candidate
NZ_CP110199.1	MPF_F	TraG_N	TraS	62914..63393	159	312.7	eex_occupied
NZ_CP110259.1	MPF_F	TraG_N		53630..54139	169		candidate
NZ_CP110261.1	MPF_F	TraG_N		87778..88848	356		candidate
NZ_CP110370.1	MPF_F	TraG_N	TraS	162147..162749	200	48.3	eex_occupied
NZ_CP110467.1	MPF_F	TraG_N		66072..66590	172		candidate
NZ_CP110472.1	MPF_F	TraG_N		57178..57639	153		candidate
NZ_CP110515.1	MPF_F	TraG_N		239479..239685	68		candidate
NZ_CP110516.1	MPF_F	TraG_N		142247..143536	429		candidate
NZ_CP110524.1	MPF_F	TraG_N		239394..239600	68		candidate
NZ_CP110525.1	MPF_F	TraG_N		173842..175131	429		candidate
NZ_CP110672.1	MPF_F	TraG_N		116..499	127		candidate
NZ_CP110777.1	MPF_F	TraG_N		36370..36930	186		candidate
NZ_CP110815.1	MPF_F	TraG_N		149253..149774	173		candidate
NZ_CP110817.1	MPF_F	TraG_N		148418..148939	173		candidate
NZ_CP110874.1	MPF_F	TraG_N	TraS	84993..85466	157	162.5	eex_occupied
NZ_CP110878.1	MPF_F	TraG_N		57428..57988	186		candidate
NZ_CP110908.1	MPF_F	TraG_N		31092..31667	191		candidate
NZ_CP110937.1	MPF_F	TraG_N		189682..190212	176		candidate
NZ_CP110938.1	MPF_F	TraG_N		154431..154979	182		candidate
NZ_CP110942.1	MPF_F	TraG_N		154435..154983	182		candidate
NZ_CP110943.1	MPF_F	TraG_N		72443..72973	176		candidate
NZ_CP110948.1	MPF_F	TraG_N		154285..154815	176		candidate
NZ_CP110949.1	MPF_F	TraG_N		15992..16540	182		candidate
NZ_CP110953.1	MPF_F	TraG_N		85791..86339	182		candidate
NZ_CP110958.1	MPF_F	TraG_N		154285..154815	176		candidate
NZ_CP110959.1	MPF_F	TraG_N		85791..86339	182		candidate
NZ_CP110963.1	MPF_F	TraG_N		154285..154815	176		candidate
NZ_CP110964.1	MPF_F	TraG_N		88567..89115	182		candidate
NZ_CP110968.1	MPF_F	TraG_N		110445..110993	182		candidate
NZ_CP110986.1	MPF_F	TraG_N		302557..303135	192		candidate
NZ_CP110989.1	MPF_F	TraG_N		134786..136075	429		candidate
NZ_CP110995.1	MPF_F	TraG_N		80364..80873	169		candidate
NZ_CP110998.1	MPF_F	TraG_N	TraS	154078..154557	159	312.7	eex_occupied
NZ_CP111116.1	MPF_F	TraG_N		77963..78478	171		candidate
NZ_CP112888.1	MPF_F	TraG_N		82703..83371	222		candidate
NZ_CP113079.1	MPF_F	TraG_N		44662..45180	172		candidate
NZ_CP113081.1	MPF_F	TraG_N		44540..45058	172		candidate
NZ_CP113164.1	MPF_F	TraG_N		215031..216320	429		candidate
NZ_CP113167.1	MPF_F	TraG_N		71765..72295	176		candidate
NZ_CP113170.1	MPF_F	TraG_N		85828..86358	176		candidate
NZ_CP113187.1	MPF_F	TraG_N		88111..88641	176		candidate
NZ_CP113188.1	MPF_F	TraG_N		56213..56734	173		candidate
NZ_CP113201.1	MPF_F	TraG_N	TraS	55697..56299	200	47.9	eex_occupied
NZ_CP113204.1	MPF_F	TraG_N	TraS	158801..159403	200	47.9	eex_occupied
NZ_CP113213.1	MPF_F	TraG_N	TraS	159932..160534	200	47.9	eex_occupied
NZ_CP113489.1	MPF_F	TraG_N	TraS	78220..78699	159	312.7	eex_occupied
NZ_CP113494.1	MPF_F	TraG_N	TraS	95023..95514	163	325.3	eex_occupied
NZ_CP113905.1	MPF_F	TraG_N		114825..115349	174		candidate
NZ_CP114198.1	MPF_F	TraG_N		75686..76129	147		candidate
NZ_CP114199.1	MPF_F	TraG_N		24545..24994	149		candidate
NZ_CP114307.1	MPF_F	TraG_N	TraS	59306..59785	159	310.6	eex_occupied
NZ_CP114309.1	MPF_F	TraG_N		188341..188871	176		candidate
NZ_CP114364.1	MPF_F	TraG_N	TraS	61354..61833	159	312.7	eex_occupied
NZ_CP114567.1	MPF_F	TraG_N		94690..95403	237		candidate
NZ_CP114572.1	MPF_F	TraG_N		58041..58652	203		candidate
NZ_CP114577.1	MPF_F	TraG_N		72473..73096	207		candidate
NZ_CP114774.1	MPF_F	TraG_N	TraS	160591..161205	204	53.8	eex_occupied
NZ_CP114775.1	MPF_F	TraG_N		101323..101850	175		candidate
NZ_CP114803.1	MPF_F	TraG_N		88388..89098	236		candidate
NZ_CP114854.1	MPF_F	TraG_N		16704..17228	174		candidate
NZ_CP114980.1	MPF_F	TraG_N		87937..88626	229		candidate
NZ_CP114987.1	MPF_F	TraG_N		55781..56302	173		candidate
NZ_CP115130.1	MPF_F	TraG_N	TraS	55732..56163	143	146.5	eex_occupied
NZ_CP115217.1	MPF_F	TraG_N		279463..280179	238		candidate
NZ_CP115314.1	MPF_F	TraG_N	TraS	40601..41098	165	300.9	eex_occupied
NZ_CP115325.1	MPF_F	TraG_N		86701..87909	402		candidate
NZ_CP115331.1	MPF_F	TraG_N	TraS	90749..91240	163	327.2	eex_occupied
NZ_CP115353.1	MPF_F	TraG_N	TraS	61876..62355	159	312.7	eex_occupied
NZ_CP115362.1	MPF_F	TraG_N	TraS	86654..87145	163	334.5	eex_occupied
NZ_CP115367.1	MPF_F	TraG_N		55780..56301	173		candidate
NZ_CP115371.1	MPF_F	TraG_N		70135..70644	169		candidate
NZ_CP115391.1	MPF_F	TraG_N	TraS	91903..92382	159	310.6	eex_occupied
NZ_CP115395.1	MPF_F	TraG_N	TraS	69145..69624	159	312.7	eex_occupied
NZ_CP115624.1	MPF_F	TraG_N		66000..66518	172		candidate
NZ_CP115627.1	MPF_F	TraG_N		66000..66518	172		candidate
NZ_CP115630.1	MPF_F	TraG_N		63933..64451	172		candidate
NZ_CP115673.1	MPF_F	TraG_N		124929..125525	198		candidate
NZ_CP115681.1	MPF_F	TraG_N	TraS	92225..92827	200	47.9	eex_occupied
NZ_CP115697.1	MPF_F	TraG_N		124929..125525	198		candidate
NZ_CP115709.1	MPF_F	TraG_N		103684..104214	176		candidate
NZ_CP115715.1	MPF_F	TraG_N	TraS	69414..70016	200	44.8	eex_occupied
NZ_CP115716.1	MPF_F	TraG_N		62991..63524	177		candidate
NZ_CP115822.1	MPF_F	TraG_N		87734..88243	169		candidate
NZ_CP115827.1	MPF_F	TraG_N		22013..22534	173		candidate
NZ_CP115832.1	MPF_F	TraG_N		123496..124020	174		candidate
NZ_CP115833.1	MPF_F	TraG_N		82187..82717	176		candidate
NZ_CP115835.1	MPF_F	TraG_N		223430..224719	429		candidate
NZ_CP115898.1	MPF_F	TraG_N		121635..122168	177		candidate
NZ_CP115931.1	MPF_F	TraG_N		97720..98292	190		candidate
NZ_CP115933.1	MPF_F	TraG_N		27691..28023	110		candidate
NZ_CP116045.1	MPF_F	TraG_N		55454..55975	173		candidate
NZ_CP116048.1	MPF_F	TraG_N		55083..55604	173		candidate
NZ_CP116069.1	MPF_F	TraG_N	TraS	68192..68671	159	312.7	eex_occupied
NZ_CP116072.1	MPF_F	TraG_N	TraS	66019..66510	163	334.5	eex_occupied
NZ_CP116075.1	MPF_F	TraG_N		82775..83284	169		candidate
NZ_CP116077.1	MPF_F	TraG_N		55157..55666	169		candidate
NZ_CP116087.1	MPF_F	TraG_N	TraS	67303..67782	159	310.6	eex_occupied
NZ_CP116089.1	MPF_F	TraG_N	TraS	146483..146974	163	334.5	eex_occupied
NZ_CP116095.1	MPF_F	TraG_N	TraS	53412..53903	163	334.5	eex_occupied
NZ_CP116101.1	MPF_F	TraG_N	TraS	88511..89002	163	334.5	eex_occupied
NZ_CP116102.1	MPF_F	TraG_N	TraS	56953..57450	165	300.9	eex_occupied
NZ_CP116107.1	MPF_F	TraG_N		181131..182420	429		candidate
NZ_CP116108.1	MPF_F	TraG_N	TraS	108485..108976	163	334.5	eex_occupied
NZ_CP116111.1	MPF_F	TraG_N	TraS	91693..92184	163	334.5	eex_occupied
NZ_CP116113.1	MPF_F	TraG_N		89606..90127	173		candidate
NZ_CP116137.1	MPF_F	TraG_N	TraS	89099..89578	159	312.7	eex_occupied
NZ_CP116147.1	MPF_F	TraG_N		69244..69765	173		candidate
NZ_CP116154.1	MPF_F	TraG_N	TraS	52131..52610	159	312.7	eex_occupied
NZ_CP116160.1	MPF_F	TraG_N	TraS	98840..99331	163	327.2	eex_occupied
NZ_CP116170.1	MPF_F	TraG_N		12737..13246	169		candidate
NZ_CP116177.1	MPF_F	TraG_N		80019..80540	173		candidate
NZ_CP116183.1	MPF_F	TraG_N		89864..90385	173		candidate
NZ_CP116199.1	MPF_F	TraG_N	TraS	56360..56851	163	334.5	eex_occupied
NZ_CP116216.1	MPF_F	TraG_N	TraS	130095..130709	204	53.8	eex_occupied
NZ_CP116243.1	MPF_F	TraG_N		113580..114089	169		candidate
NZ_CP116250.1	MPF_F	TraG_N	TraS	130505..130936	143	146.5	eex_occupied
NZ_CP116259.1	MPF_F	TraG_N		16662..17231	189		candidate
NZ_CP116267.1	MPF_F	TraG_N		46628..47197	189		candidate
NZ_CP116407.1	MPF_F	TraG_N	TraS	61539..62036	165	300.9	eex_occupied
NZ_CP116410.1	MPF_F	TraG_N	TraS	36585..37064	159	310.6	eex_occupied
NZ_CP116417.1	MPF_F	TraG_N		44213..44773	186		candidate
NZ_CP116418.1	MPF_F	TraG_N		77854..78036	60		candidate
NZ_CP116482.1	MPF_F	TraG_N	TraS	21113..21610	165	300.9	eex_occupied
NZ_CP116678.1	MPF_F	TraG_N		51790..52299	169		candidate
NZ_CP116679.1	MPF_F	TraG_N		9870..10412	180		candidate
NZ_CP116944.1	MPF_F	TraG_N		64167..64379	70		candidate
NZ_CP116946.1	MPF_F	TraG_N		13760..14371	203		candidate
NZ_CP116971.1	MPF_F	TraG_N	TraS	107252..107743	163	335.2	eex_occupied
NZ_CP116974.1	MPF_F	TraG_N	TraS	66310..66789	159	312.7	eex_occupied
NZ_CP116982.1	MPF_F	TraG_N	TraS	144067..144564	165	300.9	eex_occupied
NZ_CP116988.1	MPF_F	TraG_N		114503..115012	169		candidate
NZ_CP116995.1	MPF_F	TraG_N		114503..115012	169		candidate
NZ_CP117004.1	MPF_F	TraG_N	TraS	53474..53971	165	298.3	eex_occupied
NZ_CP117007.1	MPF_F	TraG_N	TraS	127037..127516	159	314.4	eex_occupied
NZ_CP117034.1	MPF_F	TraG_N		147871..149160	429		candidate
NZ_CP117035.1	MPF_F	TraG_N	TraS	54332..54829	165	300.9	eex_occupied
NZ_CP117046.1	MPF_F	TraG_N		105456..105860	134		candidate
NZ_CP117050.1	MPF_F	TraG_N		105455..105859	134		candidate
NZ_CP117056.1	MPF_F	TraG_N		30716..31246	176		candidate
NZ_CP117185.1	MPF_F	TraG_N	TraS	50806..51285	159	312.7	eex_occupied
NZ_CP117190.1	MPF_F	TraG_N		54811..55332	173		candidate
NZ_CP117245.1	MPF_F	TraG_N	TraS	80759..81247	162	331.2	eex_occupied
NZ_CP117333.1	MPF_F	TraG_N		49908..50417	169		candidate
NZ_CP117358.1	MPF_F	TraG_N	TraS	28291..28779	162	331.2	eex_occupied
NZ_CP117484.1	MPF_F	TraG_N	TraS	2847..3449	200	43.4	eex_occupied
NZ_CP117559.1	MPF_F	TraG_N	TraS	74263..74742	159	313.4	eex_occupied
NZ_CP117571.1	MPF_F	TraG_N	TraS	67039..67530	163	334.5	eex_occupied
NZ_CP117593.1	MPF_F	TraG_N		45566..46087	173		candidate
NZ_CP117601.1	MPF_F	TraG_N		86259..86768	169		candidate
NZ_CP117603.1	MPF_F	TraG_N		68148..68657	169		candidate
NZ_CP117607.1	MPF_F	TraG_N	TraS	77123..77614	163	335.2	eex_occupied
NZ_CP117611.1	MPF_F	TraG_N	TraS	54462..54941	159	311.1	eex_occupied
NZ_CP117617.1	MPF_F	TraG_N	TraS	79783..80202	139	239.6	eex_occupied
NZ_CP117621.1	MPF_F	TraG_N	TraS	81458..81955	165	300.9	eex_occupied
NZ_CP117622.1	MPF_F	TraG_N	TraS	84642..85139	165	300.9	eex_occupied
NZ_CP117629.1	MPF_F	TraG_N		101413..101922	169		candidate
NZ_CP117631.1	MPF_F	TraG_N	TraS	71132..71629	165	300.9	eex_occupied
NZ_CP117638.1	MPF_F	TraG_N		106419..106592	57		candidate
NZ_CP117655.1	MPF_F	TraG_N		86003..86512	169		candidate
NZ_CP117660.1	MPF_F	TraG_N		61046..61567	173		candidate
NZ_CP117673.1	MPF_F	TraG_N	TraS	40827..41318	163	334.5	eex_occupied
NZ_CP117681.1	MPF_F	TraG_N		49240..49890	216		candidate
NZ_CP117716.1	MPF_F	TraG_N	TraS	31524..32015	163	334.5	eex_occupied
NZ_CP117718.1	MPF_F	TraG_N	TraS	35932..36423	163	334.5	eex_occupied
NZ_CP117731.1	MPF_F	TraG_N	TraS	153623..154225	200	43.4	eex_occupied
NZ_CP117733.1	MPF_F	TraG_N		100457..100972	171		candidate
NZ_CP117734.1	MPF_F	TraG_N		54381..54914	177		candidate
NZ_CP117735.1	MPF_F	TraG_N		54293..54841	182		candidate
NZ_CP117763.1	MPF_F	TraG_N		49813..50331	172		candidate
NZ_CP117765.1	MPF_F	TraG_N		55629..56147	172		candidate
NZ_CP117815.1	MPF_F	TraG_N		39992..40579	195		candidate
NZ_CP117816.1	MPF_F	TraG_N		7531..8118	195		candidate
NZ_CP117882.1	MPF_F	TraG_N		721188..722081	297		candidate
NZ_CP117958.1	MPF_F	TraG_N	TraS	81480..81959	159	314.4	eex_occupied
NZ_CP117961.1	MPF_F	TraG_N		151206..151727	173		candidate
NZ_CP118040.1	MPF_F	TraG_N	TraS	50283..50885	200	43.4	eex_occupied
NZ_CP118190.1	MPF_F	TraG_N		150683..151198	171		candidate
NZ_CP118384.1	MPF_F	TraG_N		97633..98346	237		candidate
NZ_CP118385.1	MPF_F	TraG_N		55197..55757	186		candidate
NZ_CP118406.1	MPF_F	TraG_N		168753..169283	176		candidate
NZ_CP118441.1	MPF_F	TraG_N		135311..136780	489		candidate
NZ_CP118553.1	MPF_F	TraG_N		97540..98253	237		candidate
NZ_CP118554.1	MPF_F	TraG_N		55197..55757	186		candidate
NZ_CP118602.1	MPF_F	TraG_N		179734..181023	429		candidate
NZ_CP118603.1	MPF_F	TraG_N		85362..85883	173		candidate
NZ_CP118693.1	MPF_F	TraG_N		53966..54487	173		candidate
NZ_CP118701.1	MPF_F	TraG_N		170883..171587	234		candidate
NZ_CP118724.1	MPF_F	TraG_N		51570..52106	178		candidate
NZ_CP118904.1	MPF_F	TraG_N		113407..113940	177		candidate
NZ_CP118937.1	MPF_F	TraG_N	TraS	98515..99117	200	48.3	eex_occupied
NZ_CP118940.1	MPF_F	TraG_N		11611..12888	425		candidate
NZ_CP118944.1	MPF_F	TraG_N		80114..81388	424		candidate
NZ_CP118998.1	MPF_F	TraG_N		128450..128959	169		candidate
NZ_CP119001.1	MPF_F	TraG_N		40922..41431	169		candidate
NZ_CP119004.1	MPF_F	TraG_N	TraS	110012..110503	163	335.2	eex_occupied
NZ_CP119007.1	MPF_F	TraG_N	TraS	19998..20489	163	335.2	eex_occupied
NZ_CP119012.1	MPF_F	TraG_N	TraS	150976..151467	163	335.2	eex_occupied
NZ_CP119049.1	MPF_F	TraG_N	TraS	98130..98561	143	146.5	eex_occupied
NZ_CP119167.1	MPF_F	TraG_N	TraS	65970..66446	158	86.6	eex_occupied
NZ_CP119168.1	MPF_F	TraG_N	TraS	113002..113478	158	86.6	eex_occupied
NZ_CP119171.1	MPF_F	TraG_N		81060..83135	691		candidate
NZ_CP119304.1	MPF_F	TraG_N		44865..45314	149		candidate
NZ_CP119442.1	MPF_F	TraG_N		243931..244440	169		candidate
NZ_CP119452.1	MPF_F	TraG_N		37340..37861	173		candidate
NZ_CP119578.1	MPF_F	TraG_N		208171..209460	429		candidate
NZ_CP119728.1	MPF_F	TraG_N	TraS	60879..61370	163	334.5	eex_occupied
NZ_CP119732.1	MPF_F	TraG_N	TraS	104644..105135	163	334.5	eex_occupied
NZ_CP119735.1	MPF_F	TraG_N		171413..172702	429		candidate
NZ_CP119736.1	MPF_F	TraG_N		33256..33765	169		candidate
NZ_CP119738.1	MPF_F	TraG_N	TraS	70695..71174	159	312.7	eex_occupied
NZ_CP119742.1	MPF_F	TraG_N		31907..32416	169		candidate
NZ_CP119744.1	MPF_F	TraG_N	TraS	83650..84129	159	312.7	eex_occupied
NZ_CP119748.1	MPF_F	TraG_N	TraS	82507..82998	163	334.5	eex_occupied
NZ_CP120521.1	MPF_F	TraG_N		95188..95901	237		candidate
NZ_CP120529.1	MPF_F	TraG_N		64460..64957	165		candidate
NZ_CP120537.1	MPF_F	TraG_N		38994..39491	165		candidate
NZ_CP120543.1	MPF_F	TraG_N		38323..38820	165		candidate
NZ_CP120550.1	MPF_F	TraG_N		87579..88088	169		candidate
NZ_CP120551.1	MPF_F	TraG_N		60114..60623	169		candidate
NZ_CP120558.1	MPF_F	TraG_N	TraS	76502..76999	165	300.9	eex_occupied
NZ_CP120569.1	MPF_F	TraG_N	TraS	76191..76682	163	334.5	eex_occupied
NZ_CP120634.1	MPF_F	TraG_N	TraS	59744..60223	159	310.6	eex_occupied
NZ_CP120721.1	MPF_F	TraG_N		223124..224938	604		candidate
NZ_CP120848.1	MPF_F	TraG_N	TraS	5026..5628	200	47.9	eex_occupied
NZ_CP121088.1	MPF_F	TraG_N	TraS	91951..92442	163	334.5	eex_occupied
NZ_CP121128.1	MPF_F	TraG_N		93387..93911	174		candidate
NZ_CP121130.1	MPF_F	TraG_N		215891..216415	174		candidate
NZ_CP121132.1	MPF_F	TraG_N		192147..192671	174		candidate
NZ_CP121134.1	MPF_F	TraG_N		115653..116177	174		candidate
NZ_CP121136.1	MPF_F	TraG_N		56567..57091	174		candidate
NZ_CP121138.1	MPF_F	TraG_N		24833..25357	174		candidate
NZ_CP121140.1	MPF_F	TraG_N		9931..10455	174		candidate
NZ_CP121142.1	MPF_F	TraG_N		24854..25378	174		candidate
NZ_CP121144.1	MPF_F	TraG_N		44286..44810	174		candidate
NZ_CP121146.1	MPF_F	TraG_N		142450..142974	174		candidate
NZ_CP121152.1	MPF_F	TraG_N		99980..100501	173		candidate
NZ_CP121158.1	MPF_F	TraG_N	TraS	133758..134237	159	312.7	eex_occupied
NZ_CP121221.1	MPF_F	TraG_N	TraS	85329..85820	163	327.2	eex_occupied
NZ_CP121362.1	MPF_F	TraG_N		64994..65569	191		candidate
NZ_CP121561.1	MPF_F	TraG_N		63840..64358	172		candidate
NZ_CP121564.1	MPF_F	TraG_N		839..1357	172		candidate
NZ_CP121568.1	MPF_F	TraG_N		31012..31530	172		candidate
NZ_CP121589.1	MPF_F	TraG_N		34530..35048	172		candidate
NZ_CP121596.1	MPF_F	TraG_N		18900..19418	172		candidate
NZ_CP121599.1	MPF_F	TraG_N		55731..56249	172		candidate
NZ_CP121627.1	MPF_F	TraG_N		62253..62771	172		candidate
NZ_CP121792.1	MPF_F	TraG_N		145644..145802	52		candidate
NZ_CP122323.1	MPF_F	TraG_N		14235..14696	153		candidate
NZ_CP122383.1	MPF_F	TraG_N		102630..103160	176		candidate
NZ_CP122390.1	MPF_F	TraG_N		56240..57529	429		candidate
NZ_CP122391.1	MPF_F	TraG_N	TraS	183483..184085	200	47.9	eex_occupied
NZ_CP122443.1	MPF_F	TraG_N		116274..116468	64		candidate
NZ_CP122449.1	MPF_F	TraG_N	TraS	100549..101028	159	310.6	eex_occupied
NZ_CP122450.1	MPF_F	TraG_N		78145..78654	169		candidate
NZ_CP122452.1	MPF_F	TraG_N	TraS	99490..99969	159	310.6	eex_occupied
NZ_CP122453.1	MPF_F	TraG_N		80232..80741	169		candidate
NZ_CP122455.1	MPF_F	TraG_N	TraS	99489..99968	159	310.6	eex_occupied
NZ_CP122456.1	MPF_F	TraG_N		80232..80741	169		candidate
NZ_CP122462.1	MPF_F	TraG_N		136597..137121	174		candidate
